"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Surprised Müller isn't jumping in front of the reus jersey. Or at least trying to get in the shot. #ger http://t.co/kInDWPlDgB",FALSE,0,NA,2014-07-13 23:59:43,FALSE,NA,"488472874898841601",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jared_m_randle",0,FALSE,FALSE,NA,NA
"2","RT @soccer__tweetz_: GIVEAWAY! If Germany wins, we will give away this Müller Jersey! Just:
1. Must be following us
2. RT This
GOODLUCK! ht…",FALSE,0,NA,2014-07-13 22:50:25,FALSE,NA,"488455433154473984",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LarocheMathilde",235,TRUE,FALSE,NA,NA
"3","Can someone get me a Müller Jersey to wear on the first day of school?",FALSE,0,NA,2014-07-13 22:43:10,FALSE,NA,"488453610045308928",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WilhelmBernardo",0,FALSE,FALSE,NA,NA
"4","@paiggehenderson little but vulgar there, but nah I'm buying you a Müller jersey",FALSE,0,"paiggehenderson",2014-07-13 22:34:51,FALSE,"488449390424899584","488451517171896321","2276465365","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jamez_tv",0,FALSE,FALSE,NA,NA
"5","I really want a Müller jersey now... #bandwagon",FALSE,1,NA,2014-07-13 22:32:52,FALSE,NA,"488451017407987712",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jcoopertroop",0,FALSE,FALSE,NA,NA
"6","I'm going to Germany Tuesday, I already have a Müller jersey, should I be a frontrunner and get a Götze while I'm there homies",FALSE,1,NA,2014-07-13 22:18:30,FALSE,NA,"488447402362560512",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","fuckcolleen",0,FALSE,FALSE,NA,NA
"7","I really want a Müller jersey now. That was an exciting game. #WorldCupFinal #GER",FALSE,1,NA,2014-07-13 22:14:34,FALSE,NA,"488446413223645184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EmperorVero",0,FALSE,FALSE,NA,NA
"8","did you hear that? that was the sound of Drake taking off his Messi jersey and switching it for a Müller one and be like ""We did it yo #GER""",FALSE,3,NA,2014-07-13 22:06:44,FALSE,NA,"488444441041321984",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HarveyDenttt",0,FALSE,FALSE,NA,NA
"9","Disappointed Messi fans immediately going out to buy Müller jersey as soon as they find out what team he plays for.",FALSE,0,NA,2014-07-13 22:02:42,FALSE,NA,"488443427986898944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ChimAllen",0,FALSE,FALSE,NA,NA
"10","So happy they won, wearing my lucky Müller jersey",FALSE,0,NA,2014-07-13 22:02:24,FALSE,NA,"488443352913027073",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","andreaellend",0,FALSE,FALSE,NA,NA
"11","YES I GOT CONNECTION FINALLY. IM BUYING A THOMAS MÜLLER JERSEY IDGAF BRUH LETS GO",FALSE,0,NA,2014-07-13 22:01:17,FALSE,NA,"488443070166618112",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","eli_wrestler",0,FALSE,FALSE,NA,NA
