"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @9GAG: Messi wins Golden Ball; Rodriguez wins Golden Boot; Neuer wins Golden Glove; and Su√°rez wins Golden Teeth. #worldcup #award",FALSE,0,NA,2014-07-13 23:59:59,FALSE,NA,"488472940577447936",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","melatitasyaa",5142,TRUE,FALSE,NA,NA
"2","RT @chippers1975: #itvworldcup also said #Neuer as best keeper was not deservedÌ†ΩÌ∏ÇÌ†ΩÌ∏Ç. Maybe because they thought against Algeria he was the be‚Ä¶",FALSE,0,NA,2014-07-13 23:59:59,FALSE,NA,"488472940481351680",NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android Tablets</a>","qnida",8,TRUE,FALSE,NA,NA
"3","Brazil 2014 #Neuer ....Golden Glove, Messiah...Golden ball, Rodriguez....Golden boot,   Suarez...... Golden teeth,  Mikel Obi....Golden????",FALSE,0,NA,2014-07-13 23:59:59,FALSE,NA,"488472940275834880",NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for  Android</a>","bayo207",0,FALSE,FALSE,"3.380712","6.6668226"
"4","@442Ref @JRBrockie neuer defo in with a shout very solid",FALSE,0,"442Ref",2014-07-13 23:59:58,FALSE,"488471601000628225","488472939725991936","2189016127","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PaulIfill",0,FALSE,FALSE,NA,NA
"5","RT @Joey7Barton: Neuer would not have conceded that. Difference between the two sides comes down to their keepers. Neuer = World's best. Ro‚Ä¶",FALSE,0,NA,2014-07-13 23:59:58,FALSE,NA,"488472939533447168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","yasinfinucane",607,TRUE,FALSE,NA,NA
"6","RT @bogdan_bvb09: Neuer, Kevin and the German flag. I loved this :'D http://t.co/51avUpd2QB",FALSE,0,NA,2014-07-13 23:59:58,FALSE,NA,"488472939294367744",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Florian_Vienna",4,TRUE,FALSE,NA,NA
"7","RT @9GAG: Messi wins Golden Ball; Rodriguez wins Golden Boot; Neuer wins Golden Glove; and Su√°rez wins Golden Teeth. #worldcup #award",FALSE,0,NA,2014-07-13 23:59:58,FALSE,NA,"488472937372983296",NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for  Android</a>","zieyrakechik",5142,TRUE,FALSE,NA,NA
"8","‚Äú@Manuel_Neuer: Endlich geht's los! #WM2014 http://t.co/T1T49U5JzJ‚Äù How do you feel about a Texas woman??‚ù§Ô∏èÌ†ΩÌ≤ô",FALSE,2,"Manuel_Neuer",2014-07-13 23:59:57,FALSE,"477180253774041088","488472935154196480","1269425228","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DanielleHarmsU",0,FALSE,FALSE,NA,NA
"9","RT @J_Green37: Congrats Germany!Ì†ºÌ∑©Ì†ºÌ∑™ Awesome Job. You deserved it! @BSchweinsteiger @ToniKroos @esmuellert_ @Manuel_Neuer @MarioGoetze @JB17O‚Ä¶",FALSE,0,NA,2014-07-13 23:59:57,FALSE,NA,"488472933703385088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Bukephalose",758,TRUE,FALSE,NA,NA
"10","RT @9GAG: Messi wins Golden Ball; Rodriguez wins Golden Boot; Neuer wins Golden Glove; and Su√°rez wins Golden Teeth. #worldcup #award",FALSE,0,NA,2014-07-13 23:59:56,FALSE,NA,"488472931471609856",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","IIffaafrina",5142,TRUE,FALSE,NA,NA
"11","RT @9GAG: Messi wins Golden Ball; Rodriguez wins Golden Boot; Neuer wins Golden Glove; and Su√°rez wins Golden Teeth. #worldcup #award",FALSE,0,NA,2014-07-13 23:59:56,FALSE,NA,"488472931270291456",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","andy_fransisko",5142,TRUE,FALSE,NA,NA
"12","RT @9GAG: Messi wins Golden Ball; Rodriguez wins Golden Boot; Neuer wins Golden Glove; and Su√°rez wins Golden Teeth. #worldcup #award",FALSE,0,NA,2014-07-13 23:59:56,FALSE,NA,"488472929877770242",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SY2A4Z5WAN",5142,TRUE,FALSE,NA,NA
"13","‚≠êÔ∏è‚≠êÔ∏è‚≠êÔ∏èÌ†ºÌºüÌ†ºÌæâ Ì†ºÌ∑©Ì†ºÌ∑™ Ì†ΩÌ∏ç #Germany #WORLDCHAMPION #GER @MarioGoetze great Job Ì†ΩÌ∏ç @BSchweinsteiger gut durchgehalten Ì†ΩÌ±å @Manuel_Neuer MEIN HELD Ì†ºÌ∑©Ì†ºÌ∑™Ì†ºÌ∑©Ì†ºÌ∑™Ì†ºÌ∑©Ì†ºÌ∑™Ì†ΩÌπåÌ†ΩÌ±ç",FALSE,0,NA,2014-07-13 23:59:55,FALSE,NA,"488472926505926656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sherinchristin",0,FALSE,FALSE,NA,NA
"14","RT @9GAG: Messi wins Golden Ball; Rodriguez wins Golden Boot; Neuer wins Golden Glove; and Su√°rez wins Golden Teeth. #worldcup #award",FALSE,0,NA,2014-07-13 23:59:55,FALSE,NA,"488472926195179520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AsraffOhara",5142,TRUE,FALSE,NA,NA
"15","RT @9GAG: Messi wins Golden Ball; Rodriguez wins Golden Boot; Neuer wins Golden Glove; and Su√°rez wins Golden Teeth. #worldcup #award",FALSE,0,NA,2014-07-13 23:59:55,FALSE,NA,"488472925469552640",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry¬Æ</a>","aldi_bayuajie",5142,TRUE,FALSE,NA,NA
"16","RT @ComplexMag: FIFA has named their individual award winners for the World Cup, and there are some controversial choices: http://t.co/7OPg‚Ä¶",FALSE,0,NA,2014-07-13 23:59:54,FALSE,NA,"488472922424897536",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ceca0025",10,TRUE,FALSE,NA,NA
"17","RT @9GAG: Messi wins Golden Ball; Rodriguez wins Golden Boot; Neuer wins Golden Glove; and Su√°rez wins Golden Teeth. #worldcup #award",FALSE,0,NA,2014-07-13 23:59:54,FALSE,NA,"488472920717402112",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","fariz_bowler",5142,TRUE,FALSE,NA,NA
"18","cc @emirates ‚Äú@AFP: Germany's goalkeeper Neuer hugs Chancellor Merkel at the Maracana Stadium #WorldCup #Ger #Arg http://t.co/eCZLN8yttP‚Äù",FALSE,0,"AFP",2014-07-13 23:59:54,FALSE,"488466720919912448","488472919589543936","380648579","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tigerymous",0,FALSE,FALSE,NA,NA
