"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Boateng jersey ordered",FALSE,0,NA,2014-07-13 22:34:45,FALSE,NA,"488451493259800577",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>","NateMehringer",0,FALSE,FALSE,NA,NA
"2","Wearing my German jersey right now n taking a walk on d street! See fans hailing n horning! I just dey smile! I'm boateng's cousin anyway",FALSE,0,NA,2014-07-13 22:21:55,FALSE,NA,"488448261054033920",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","mcjltr",0,FALSE,FALSE,NA,NA
"3","Boateng holding up the Marco Reus jersey during the celebrations! #Classy!",FALSE,0,NA,2014-07-13 22:06:34,FALSE,NA,"488444398061907968",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","C_Panke",0,FALSE,FALSE,NA,NA
"4","""@ForeverJEMIMA: Who's that black guy in the ""20"" jersey?Ì†ΩÌ∏çÌ†ΩÌ∏çÌ†ΩÌ∏çÌ†ΩÌ∏çÌ†ΩÌ∏ç""loool boateng girl",FALSE,1,NA,2014-07-13 22:05:10,FALSE,NA,"488444047791759361",NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for  Android</a>","StellaLele",0,FALSE,FALSE,NA,NA
"5","RT @johncrossmirror: Ozil and Boateng got stronger and stronger as the game wore on. They were superb for #GER. Terrific and tense final. #‚Ä¶",FALSE,0,NA,2014-07-13 21:45:52,FALSE,NA,"488439192582905857",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","The_Jersey_Fitz",429,TRUE,FALSE,NA,NA
"6","Boateng jersey #20his my man of the Match#Germany",FALSE,0,NA,2014-07-13 21:10:26,FALSE,NA,"488430271923228672",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry¬Æ</a>","cele_sandile33",0,FALSE,FALSE,NA,NA
"7","RT @its_fayhad: Buying a Boateng jersey brb",FALSE,0,NA,2014-07-13 21:00:24,FALSE,NA,"488427747786891264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoeyWags",1,TRUE,FALSE,NA,NA
"8","Buying a Boateng jersey brb",FALSE,1,NA,2014-07-13 21:00:00,FALSE,NA,"488427647735971840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","its_fayhad",1,FALSE,FALSE,NA,NA
"9","RT @samuelJayC: Hummels, nervy first-half, outstanding second. Boateng too. #GER",FALSE,0,NA,2014-07-13 20:53:08,FALSE,NA,"488425920437710848",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","The_Jersey_Fitz",18,TRUE,FALSE,NA,NA
"10","RT @pweedyella: His jersey name is 'Boateng' he plays for Germany...that his faggit brother ein Jersey name be 'Prince' he plays for Ghana",FALSE,0,NA,2014-07-13 20:01:10,FALSE,NA,"488412841071108098",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaystepz",10,TRUE,FALSE,NA,NA
"11","‚Äú@pweedyella: His jersey name is 'Boateng' he plays for Germany...that his faggit brother ein Jersey name be 'Prince' he plays for Ghana‚Äùlol",FALSE,0,"pweedyella",2014-07-13 20:01:09,FALSE,"488409001286459394","488412836507705344","787144442","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaystepz",0,FALSE,FALSE,NA,NA
"12","RT @efeanderson: Lmao!!! ""@pweedyella: His jersey name is 'Boateng' he plays for Germany...that his faggit brother ein Jersey name be 'Prin‚Ä¶",FALSE,0,NA,2014-07-13 19:59:26,FALSE,NA,"488412406679609345",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EL_orME",3,TRUE,FALSE,NA,NA
"13","RT @miz_lomo: RT @george_nii: ""@pweedyella: His jersey name is 'Boateng' he plays for Germany...that his faggit brother (cont) http://t.co/‚Ä¶",FALSE,0,NA,2014-07-13 19:59:04,FALSE,NA,"488412312009576449",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","boateng05",2,TRUE,FALSE,NA,NA
"14","RT @efeanderson: Lmao!!! ""@pweedyella: His jersey name is 'Boateng' he plays for Germany...that his faggit brother ein Jersey name be 'Prin‚Ä¶",FALSE,0,NA,2014-07-13 19:58:47,FALSE,NA,"488412243990548480",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","whats_be4_you",3,TRUE,FALSE,NA,NA
"15","RT @efeanderson: Lmao!!! ""@pweedyella: His jersey name is 'Boateng' he plays for Germany...that his faggit brother ein Jersey name be 'Prin‚Ä¶",FALSE,0,NA,2014-07-13 19:56:11,FALSE,NA,"488411587741745154",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","pweedyella",3,TRUE,FALSE,NA,NA
"16","Lmao!!! ""@pweedyella: His jersey name is 'Boateng' he plays for Germany...that his faggit brother ein Jersey name be 'Prince' he plays for G",FALSE,0,NA,2014-07-13 19:53:53,FALSE,NA,"488411008768417792",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","efeanderson",3,FALSE,FALSE,NA,NA
"17","RT @pweedyella: His jersey name is 'Boateng' he plays for Germany...that his faggit brother ein Jersey name be 'Prince' he plays for Ghana",FALSE,0,NA,2014-07-13 19:51:20,FALSE,NA,"488410367111200768",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kwabenaUniTed",10,TRUE,FALSE,NA,NA
