"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@socialcasualty It was so sad. I saw ""Garay"" on the ARG jersey right as I'm screaming for GER to score. Awwwkward. Lol.",FALSE,0,"socialcasualty",2014-07-13 20:42:29,FALSE,"488422078702714881","488423239723790336","40980661","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TinyTim_Turner",0,FALSE,FALSE,NA,NA
"2","RT @scaryhairyman: If GARAY's jersey folded just a bit in the center it would be quite a chuckle.",FALSE,0,NA,2014-07-13 20:17:49,FALSE,NA,"488417033277546497",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RTRajaa",1,TRUE,FALSE,NA,NA
"3","Garay hugging Hummels and Rojo turning Muller jersey into a U neck.Worried much?FUCK ARGENTINA.",FALSE,0,NA,2014-07-13 20:17:04,FALSE,NA,"488416842864943105",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chueko2187",0,FALSE,FALSE,NA,NA
"4","If GARAY's jersey folded just a bit in the center it would be quite a chuckle.",FALSE,1,NA,2014-07-13 20:14:26,FALSE,NA,"488416179275329536",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","scaryhairyman",1,FALSE,FALSE,NA,NA
"5","@socialcasualty It was so sad. I saw ""Garay"" on the ARG jersey right as I'm screaming for GER to score. Awwwkward. Lol.",FALSE,0,"socialcasualty",2014-07-13 20:42:29,FALSE,"488422078702714881","488423239723790336","40980661","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TinyTim_Turner",0,FALSE,FALSE,NA,NA
"6","RT @scaryhairyman: If GARAY's jersey folded just a bit in the center it would be quite a chuckle.",FALSE,0,NA,2014-07-13 20:17:49,FALSE,NA,"488417033277546497",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RTRajaa",1,TRUE,FALSE,NA,NA
"7","Garay hugging Hummels and Rojo turning Muller jersey into a U neck.Worried much?FUCK ARGENTINA.",FALSE,0,NA,2014-07-13 20:17:04,FALSE,NA,"488416842864943105",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chueko2187",0,FALSE,FALSE,NA,NA
"8","If GARAY's jersey folded just a bit in the center it would be quite a chuckle.",FALSE,1,NA,2014-07-13 20:14:26,FALSE,NA,"488416179275329536",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","scaryhairyman",1,FALSE,FALSE,NA,NA
"9","@socialcasualty It was so sad. I saw ""Garay"" on the ARG jersey right as I'm screaming for GER to score. Awwwkward. Lol.",FALSE,0,"socialcasualty",2014-07-13 20:42:29,FALSE,"488422078702714881","488423239723790336","40980661","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TinyTim_Turner",0,FALSE,FALSE,NA,NA
"10","RT @scaryhairyman: If GARAY's jersey folded just a bit in the center it would be quite a chuckle.",FALSE,0,NA,2014-07-13 20:17:49,FALSE,NA,"488417033277546497",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RTRajaa",1,TRUE,FALSE,NA,NA
"11","Garay hugging Hummels and Rojo turning Muller jersey into a U neck.Worried much?FUCK ARGENTINA.",FALSE,0,NA,2014-07-13 20:17:04,FALSE,NA,"488416842864943105",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chueko2187",0,FALSE,FALSE,NA,NA
"12","If GARAY's jersey folded just a bit in the center it would be quite a chuckle.",FALSE,1,NA,2014-07-13 20:14:26,FALSE,NA,"488416179275329536",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","scaryhairyman",1,FALSE,FALSE,NA,NA
"13","@socialcasualty It was so sad. I saw ""Garay"" on the ARG jersey right as I'm screaming for GER to score. Awwwkward. Lol.",FALSE,0,"socialcasualty",2014-07-13 20:42:29,FALSE,"488422078702714881","488423239723790336","40980661","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TinyTim_Turner",0,FALSE,FALSE,NA,NA
"14","RT @scaryhairyman: If GARAY's jersey folded just a bit in the center it would be quite a chuckle.",FALSE,0,NA,2014-07-13 20:17:49,FALSE,NA,"488417033277546497",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RTRajaa",1,TRUE,FALSE,NA,NA
"15","Garay hugging Hummels and Rojo turning Muller jersey into a U neck.Worried much?FUCK ARGENTINA.",FALSE,0,NA,2014-07-13 20:17:04,FALSE,NA,"488416842864943105",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chueko2187",0,FALSE,FALSE,NA,NA
"16","If GARAY's jersey folded just a bit in the center it would be quite a chuckle.",FALSE,1,NA,2014-07-13 20:14:26,FALSE,NA,"488416179275329536",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","scaryhairyman",1,FALSE,FALSE,NA,NA
"17","@socialcasualty It was so sad. I saw ""Garay"" on the ARG jersey right as I'm screaming for GER to score. Awwwkward. Lol.",FALSE,0,"socialcasualty",2014-07-13 20:42:29,FALSE,"488422078702714881","488423239723790336","40980661","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TinyTim_Turner",0,FALSE,FALSE,NA,NA
"18","RT @scaryhairyman: If GARAY's jersey folded just a bit in the center it would be quite a chuckle.",FALSE,0,NA,2014-07-13 20:17:49,FALSE,NA,"488417033277546497",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RTRajaa",1,TRUE,FALSE,NA,NA
"19","Garay hugging Hummels and Rojo turning Muller jersey into a U neck.Worried much?FUCK ARGENTINA.",FALSE,0,NA,2014-07-13 20:17:04,FALSE,NA,"488416842864943105",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chueko2187",0,FALSE,FALSE,NA,NA
"20","If GARAY's jersey folded just a bit in the center it would be quite a chuckle.",FALSE,1,NA,2014-07-13 20:14:26,FALSE,NA,"488416179275329536",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","scaryhairyman",1,FALSE,FALSE,NA,NA
"21","@socialcasualty It was so sad. I saw ""Garay"" on the ARG jersey right as I'm screaming for GER to score. Awwwkward. Lol.",FALSE,0,"socialcasualty",2014-07-13 20:42:29,FALSE,"488422078702714881","488423239723790336","40980661","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TinyTim_Turner",0,FALSE,FALSE,NA,NA
"22","RT @scaryhairyman: If GARAY's jersey folded just a bit in the center it would be quite a chuckle.",FALSE,0,NA,2014-07-13 20:17:49,FALSE,NA,"488417033277546497",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RTRajaa",1,TRUE,FALSE,NA,NA
