"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","man höwedes jersey who's gonna wash that look at them stains",FALSE,0,NA,2014-07-13 20:36:44,FALSE,NA,"488421791610966016",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kaikkuma",0,FALSE,FALSE,NA,NA
"2","RT @SportsCenter: Off the post! Germany defender Benedikt Hoewedes' header from close range can't find the back of the net. #GER and #ARG s…",FALSE,0,NA,2014-07-13 19:58:40,FALSE,NA,"488412210889125888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jersey_niglet",532,TRUE,FALSE,NA,NA
"3","Come on Germany! Cheering for my roots today. Wearing my @BVB Jersey and wishing @woodyinho could play. Thought Höwedes was in! #GER",FALSE,1,NA,2014-07-13 19:54:40,FALSE,NA,"488411207422865408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DeeJNeezy",0,FALSE,FALSE,NA,NA
"4","man höwedes jersey who's gonna wash that look at them stains",FALSE,0,NA,2014-07-13 20:36:44,FALSE,NA,"488421791610966016",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kaikkuma",0,FALSE,FALSE,NA,NA
"5","RT @SportsCenter: Off the post! Germany defender Benedikt Hoewedes' header from close range can't find the back of the net. #GER and #ARG s…",FALSE,0,NA,2014-07-13 19:58:40,FALSE,NA,"488412210889125888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jersey_niglet",532,TRUE,FALSE,NA,NA
"6","Come on Germany! Cheering for my roots today. Wearing my @BVB Jersey and wishing @woodyinho could play. Thought Höwedes was in! #GER",FALSE,1,NA,2014-07-13 19:54:40,FALSE,NA,"488411207422865408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DeeJNeezy",0,FALSE,FALSE,NA,NA
"7","man höwedes jersey who's gonna wash that look at them stains",FALSE,0,NA,2014-07-13 20:36:44,FALSE,NA,"488421791610966016",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kaikkuma",0,FALSE,FALSE,NA,NA
"8","RT @SportsCenter: Off the post! Germany defender Benedikt Hoewedes' header from close range can't find the back of the net. #GER and #ARG s…",FALSE,0,NA,2014-07-13 19:58:40,FALSE,NA,"488412210889125888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jersey_niglet",532,TRUE,FALSE,NA,NA
"9","Come on Germany! Cheering for my roots today. Wearing my @BVB Jersey and wishing @woodyinho could play. Thought Höwedes was in! #GER",FALSE,1,NA,2014-07-13 19:54:40,FALSE,NA,"488411207422865408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DeeJNeezy",0,FALSE,FALSE,NA,NA
"10","man höwedes jersey who's gonna wash that look at them stains",FALSE,0,NA,2014-07-13 20:36:44,FALSE,NA,"488421791610966016",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kaikkuma",0,FALSE,FALSE,NA,NA
"11","RT @SportsCenter: Off the post! Germany defender Benedikt Hoewedes' header from close range can't find the back of the net. #GER and #ARG s…",FALSE,0,NA,2014-07-13 19:58:40,FALSE,NA,"488412210889125888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jersey_niglet",532,TRUE,FALSE,NA,NA
"12","Come on Germany! Cheering for my roots today. Wearing my @BVB Jersey and wishing @woodyinho could play. Thought Höwedes was in! #GER",FALSE,1,NA,2014-07-13 19:54:40,FALSE,NA,"488411207422865408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DeeJNeezy",0,FALSE,FALSE,NA,NA
"13","man höwedes jersey who's gonna wash that look at them stains",FALSE,0,NA,2014-07-13 20:36:44,FALSE,NA,"488421791610966016",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kaikkuma",0,FALSE,FALSE,NA,NA
"14","RT @SportsCenter: Off the post! Germany defender Benedikt Hoewedes' header from close range can't find the back of the net. #GER and #ARG s…",FALSE,0,NA,2014-07-13 19:58:40,FALSE,NA,"488412210889125888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jersey_niglet",532,TRUE,FALSE,NA,NA
"15","Come on Germany! Cheering for my roots today. Wearing my @BVB Jersey and wishing @woodyinho could play. Thought Höwedes was in! #GER",FALSE,1,NA,2014-07-13 19:54:40,FALSE,NA,"488411207422865408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DeeJNeezy",0,FALSE,FALSE,NA,NA
"16","man höwedes jersey who's gonna wash that look at them stains",FALSE,0,NA,2014-07-13 20:36:44,FALSE,NA,"488421791610966016",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kaikkuma",0,FALSE,FALSE,NA,NA
"17","RT @SportsCenter: Off the post! Germany defender Benedikt Hoewedes' header from close range can't find the back of the net. #GER and #ARG s…",FALSE,0,NA,2014-07-13 19:58:40,FALSE,NA,"488412210889125888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jersey_niglet",532,TRUE,FALSE,NA,NA
"18","Come on Germany! Cheering for my roots today. Wearing my @BVB Jersey and wishing @woodyinho could play. Thought Höwedes was in! #GER",FALSE,1,NA,2014-07-13 19:54:40,FALSE,NA,"488411207422865408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DeeJNeezy",0,FALSE,FALSE,NA,NA
"19","man höwedes jersey who's gonna wash that look at them stains",FALSE,0,NA,2014-07-13 20:36:44,FALSE,NA,"488421791610966016",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kaikkuma",0,FALSE,FALSE,NA,NA
