"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @Sophi_1996: Mats Hummels in a Dallas Mavericks jersey? Ummm, I'll take him to a game! http://t.co/uc2DaMo5W9",FALSE,0,NA,2014-07-13 23:31:31,FALSE,NA,"488465778552098816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pbl_15",1,TRUE,FALSE,NA,NA
"2","Should I buy Ozil or Hummels jersey? Hmm",FALSE,0,NA,2014-07-13 23:21:11,FALSE,NA,"488463179618349056",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","katybirdG4L",0,FALSE,FALSE,NA,NA
"3","whem hummels wears the black and red jersey god bless",FALSE,0,NA,2014-07-13 22:50:45,FALSE,NA,"488455520529838083",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","juhyuks",0,FALSE,FALSE,NA,NA
"4","At least now I have an excuse to buy the black and red German jersey, I need that 4th star! Hummels it is!",FALSE,2,NA,2014-07-13 22:44:20,FALSE,NA,"488453903269527552",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MikeWaked_",0,FALSE,FALSE,NA,NA
"5","I appreciate you for holding my babe's jersey thank you traitor! Thank you hummels :'",FALSE,0,NA,2014-07-13 22:26:59,FALSE,NA,"488449538210807808",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","faura_alfi",0,FALSE,FALSE,NA,NA
"6","GOETZE AND HUMMELS WERE HOLDING MARCO'S JERSEY LIKE SERIOUSLY IM NOT OKAY I CANT HOLD MY TEARS",FALSE,0,NA,2014-07-13 22:13:29,FALSE,NA,"488446139243327489",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rgwdysr",0,FALSE,FALSE,NA,NA
"7","Okay, whose jersey should I get? Ozil? kroos? Or Hummels?",FALSE,0,NA,2014-07-13 21:59:54,FALSE,NA,"488442722533912577",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Nahbeel",0,FALSE,FALSE,NA,NA
"8","‚Äú@Joseph56Saenz: Hummels better win best player of the cup. Great defending and two goals.‚Äù That's why I'm getting his jersey. That and #5",FALSE,0,"Joseph56Saenz",2014-07-13 21:59:43,FALSE,"488440474064003072","488442677331898369","517178407","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mpruva5",0,FALSE,FALSE,NA,NA
"9","@poglankford @LybargerBrewery @MisterMapes @paulfoster19 hummels man united jersey. (Me) (I think)",FALSE,0,"poglankford",2014-07-13 21:52:55,FALSE,"488440250587684864","488440965300883456","2361775909","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","MisterMapes",0,FALSE,FALSE,NA,NA
"10","Mats Hummels can't wait to see u turn up in the @manutd jersey in a few days #GER #MUFC",FALSE,0,NA,2014-07-13 21:50:53,FALSE,NA,"488440453637742592",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","AnkitDutta7",0,FALSE,FALSE,NA,NA
"11","@BrooklynJBeck But now I'll lose 100$ because I have to buy a Hummels jersey :D",FALSE,0,"BrooklynJBeck",2014-07-13 21:49:49,FALSE,"488438426296156160","488440185454362625","2294262244","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sophia_x2000",0,FALSE,FALSE,NA,NA
"12","Unfortunately I'm still saving up for a Hummels jersey",FALSE,0,NA,2014-07-13 21:43:11,FALSE,NA,"488438513646702592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","drybonevalley",0,FALSE,FALSE,NA,NA
"13","I won the bet against my friend and now I'm getting a customized Germany away jersey Ì†ΩÌ∏ä #5 #Hummels",FALSE,3,NA,2014-07-13 21:40:39,FALSE,NA,"488437879530467328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Edgarexx",0,FALSE,FALSE,NA,NA
"14","I will be getting G√∂tze or Hummels' jersey.",FALSE,1,NA,2014-07-13 21:31:31,FALSE,NA,"488435578581446657",NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android Tablets</a>","_oscarlainez",0,FALSE,FALSE,NA,NA
"15","‚Äú@Yasmine_Abdo: Hummels is too cute to be a football player. He should be a Hollywood star.‚ÄùMafi shi lab2 3lehi aktar mn el Germany jersey Ì†ΩÌ∏ç",FALSE,1,"Yasmine_Abdo",2014-07-13 20:58:23,FALSE,"488425839046828033","488427242536452098","287606111","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","noorhusami",0,FALSE,FALSE,NA,NA
"16","I want a Hummels jersey so badÌ†ΩÌ∏≠",FALSE,1,NA,2014-07-13 20:54:30,FALSE,NA,"488426262096908288",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TeranFrankie",0,FALSE,FALSE,NA,NA
"17","@mychemnikki HUMMELS JERSEY??",FALSE,0,"mychemnikki",2014-07-13 20:41:01,FALSE,"488422687627558912","488422871069646849","157665372","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iŒüS</a>","SelenaMCR",0,FALSE,FALSE,NA,NA
"18","#Hummels dont think #Aguero's jersey can fit you.",FALSE,0,NA,2014-07-13 20:22:14,FALSE,NA,"488418145305378816",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Pnardos",0,FALSE,FALSE,NA,NA
"19","Garay hugging Hummels and Rojo turning Muller jersey into a U neck.Worried much?FUCK ARGENTINA.",FALSE,0,NA,2014-07-13 20:17:04,FALSE,NA,"488416842864943105",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chueko2187",0,FALSE,FALSE,NA,NA
"20","I would hug Hummels and try to rip Mullers jersey off too....",FALSE,0,NA,2014-07-13 20:14:47,FALSE,NA,"488416267695443968",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","monicasalas",0,FALSE,FALSE,NA,NA
"21","I want to get a custom Germany jersey, but can't pick which first: M√ºller, Lahm, Schweinsteiger, Klose or maybe Hummels? Or Kroos? Or Durm?",FALSE,0,NA,2014-07-13 19:44:44,FALSE,NA,"488408708591149056",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","itsstephh__",0,FALSE,FALSE,NA,NA
