"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @NeymarStuff: PHOTO: Today's captain David Luiz and Julio Cesar with a Neymar jersey during the national anthem - http://t.co/vYVklLWfIe",FALSE,0,NA,2014-07-13 23:56:03,FALSE,NA,"488471951963209728",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","slaylikejdb",224,TRUE,FALSE,NA,NA
"2","RT @NeymarStuff: A wonderful photo of Neymar's jersey being held high by David Luiz during Brazil's national anthem - http://t.co/xYm6ak9i7R",FALSE,0,NA,2014-07-13 23:55:57,FALSE,NA,"488471926038216704",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","slaylikejdb",670,TRUE,FALSE,NA,NA
"3","Imma get a David Luiz jersey. I've been thinking about it.",FALSE,0,NA,2014-07-13 23:07:45,FALSE,NA,"488459795717193729",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pvpvssy",0,FALSE,FALSE,NA,NA
"4","@The_Jersey_Fitz what about David Luiz???? xD",FALSE,0,"The_Jersey_Fitz",2014-07-13 23:02:23,FALSE,"488456987194425344","488458448066326528","241442394","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SyedAli91",0,FALSE,FALSE,NA,NA
"5","@SyedAli91 My TOT: Not Luiz, Not Luiz, Not Luiz, Not Luiz, Not Luiz, Not Luiz, Not Luiz, Not Luiz, Not Luiz, Not Luiz, Not Luiz.",FALSE,0,"SyedAli91",2014-07-13 22:56:35,FALSE,"488454793682489344","488456987194425344","246353322","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","The_Jersey_Fitz",0,FALSE,FALSE,NA,NA
"6","HAHAHAHAHAHAHAHA LUIZ IS IN THE TEAM OF THE TOURNAMENT WHAT A FUCKING JOKE",FALSE,5,NA,2014-07-13 22:49:02,FALSE,NA,"488455086092603392",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","The_Jersey_Fitz",3,FALSE,FALSE,NA,NA
"7","RT @NeymarStuff: PHOTO: Today's captain David Luiz and Julio Cesar with a Neymar jersey during the national anthem - http://t.co/vYVklLWfIe",FALSE,0,NA,2014-07-13 22:39:31,FALSE,NA,"488452691954110464",NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for  Android</a>","farah_ismi",224,TRUE,FALSE,NA,NA
"8","RT @NeymarStuff: A wonderful photo of Neymar's jersey being held high by David Luiz during Brazil's national anthem - http://t.co/xYm6ak9i7R",FALSE,0,NA,2014-07-13 22:39:24,FALSE,NA,"488452662195527681",NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for  Android</a>","farah_ismi",670,TRUE,FALSE,NA,NA
"9","Saving up to either get me a neymar or david luiz Jersey or might just get both :)",FALSE,0,NA,2014-07-13 22:37:58,FALSE,NA,"488452300881395713",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_Alexaalorimaar",0,FALSE,FALSE,NA,NA
"10","RT @Ahmadkhan12: Gotze holding Marco Reus' jersey. Brilliant. That's how you do it, Luiz and Cesar. #Class",FALSE,0,NA,2014-07-13 22:27:05,FALSE,NA,"488449562982375424",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","fabreyas",11,TRUE,FALSE,NA,NA
"11","RT @Ahmadkhan12: Gotze holding Marco Reus' jersey. Brilliant. That's how you do it, Luiz and Cesar. #Class",FALSE,0,NA,2014-07-13 22:21:00,FALSE,NA,"488448033773084672",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","Lami_Smokey",11,TRUE,FALSE,NA,NA
"12","RT @Ahmadkhan12: Gotze holding Marco Reus' jersey. Brilliant. That's how you do it, Luiz and Cesar. #Class",FALSE,0,NA,2014-07-13 22:18:54,FALSE,NA,"488447501721022464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sathv1k",11,TRUE,FALSE,NA,NA
"13","RT @Ahmadkhan12: Gotze holding Marco Reus' jersey. Brilliant. That's how you do it, Luiz and Cesar. #Class",FALSE,0,NA,2014-07-13 22:18:12,FALSE,NA,"488447328403992577",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BH_FR_Ahmad",11,TRUE,FALSE,NA,NA
"14","RT @Ahmadkhan12: Gotze holding Marco Reus' jersey. Brilliant. That's how you do it, Luiz and Cesar. #Class",FALSE,0,NA,2014-07-13 22:16:50,FALSE,NA,"488446981719592962",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","wijayadhimaz",11,TRUE,FALSE,NA,NA
"15","RT @Ahmadkhan12: Gotze holding Marco Reus' jersey. Brilliant. That's how you do it, Luiz and Cesar. #Class",FALSE,0,NA,2014-07-13 22:13:11,FALSE,NA,"488446067000614912",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Alan_Heartbreak",11,TRUE,FALSE,NA,NA
"16","RT @Ahmadkhan12: Gotze holding Marco Reus' jersey. Brilliant. That's how you do it, Luiz and Cesar. #Class",FALSE,0,NA,2014-07-13 22:11:36,FALSE,NA,"488445667925172225",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NEONCL0UDS",11,TRUE,FALSE,NA,NA
"17","RT @Ahmadkhan12: Gotze holding Marco Reus' jersey. Brilliant. That's how you do it, Luiz and Cesar. #Class",FALSE,0,NA,2014-07-13 22:10:58,FALSE,NA,"488445504926138368",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SyarulHaffyan",11,TRUE,FALSE,NA,NA
"18","RT @Ahmadkhan12: Gotze holding Marco Reus' jersey. Brilliant. That's how you do it, Luiz and Cesar. #Class",FALSE,0,NA,2014-07-13 22:10:48,FALSE,NA,"488445467228123136",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>","Follydprice",11,TRUE,FALSE,NA,NA
"19","RT @Ahmadkhan12: Gotze holding Marco Reus' jersey. Brilliant. That's how you do it, Luiz and Cesar. #Class",FALSE,0,NA,2014-07-13 22:09:41,FALSE,NA,"488445184720384000",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>","SalamPax",11,TRUE,FALSE,NA,NA
"20","RT @Ahmadkhan12: Gotze holding Marco Reus' jersey. Brilliant. That's how you do it, Luiz and Cesar. #Class",FALSE,0,NA,2014-07-13 22:08:55,FALSE,NA,"488444990108872705",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","haoominn",11,TRUE,FALSE,NA,NA
"21","Gotze holding Marco Reus' jersey. Brilliant. That's how you do it, Luiz and Cesar. #Class",FALSE,5,NA,2014-07-13 22:08:27,FALSE,NA,"488444872504774656",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Ahmadkhan12",11,FALSE,FALSE,NA,NA
"22","RT @NeymarStuff: A wonderful photo of Neymar's jersey being held high by David Luiz during Brazil's national anthem - http://t.co/xYm6ak9i7R",FALSE,0,NA,2014-07-13 17:34:46,FALSE,NA,"488375997956227072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shankcaster",670,TRUE,FALSE,NA,NA
"23","@ChloeLipovsky @JozyAltidore @Cristiano @Kiki_Sikkemaa Looks like David Luiz stole Ronaldo's jersey.",FALSE,1,"ChloeLipovsky",2014-07-13 17:16:11,FALSE,"488358978850541568","488371322548793347","2460467377","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CimmerianHeart",0,FALSE,FALSE,NA,NA
"24","RT @NeymarStuff: A wonderful photo of Neymar's jersey being held high by David Luiz during Brazil's national anthem - http://t.co/xYm6ak9i7R",FALSE,0,NA,2014-07-13 17:13:40,FALSE,NA,"488370687824777218",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NazrulSzwn",670,TRUE,FALSE,NA,NA
