"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","#BRA need a total revamp..Worst Brazialian team I've ever seen..Only thiago silva does justice to that yellow jersey #WorldCup2014",FALSE,0,NA,2014-07-13 22:56:29,FALSE,NA,"488456960824451073",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SuckerForSpeed",0,FALSE,FALSE,"72.83543356","19.104302"
"2","Pops says NY all the way!!! Glad he likes his jersey  thanks to jerseys_from_jay  for it Ì†ΩÌ∏ÅÌ†ΩÌ±çÌ†ΩÌ±ç http://t.co/fWJeQ88bjD",FALSE,0,NA,2014-07-13 22:48:58,FALSE,NA,"488455068870770688",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","silva_izzy",0,FALSE,FALSE,NA,NA
"3","RT @ExpressFootbal1: If #ARG win the World Cup we'll give away a signed Messi jersey. Winner will be DM'ed. Just rt &amp; follow to enter. http‚Ä¶",FALSE,0,NA,2014-07-13 21:07:19,FALSE,NA,"488429488544710656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","diog_silva",157,TRUE,FALSE,NA,NA
"4","I really want a Thiago Silva jersey.",FALSE,0,NA,2014-07-13 20:19:02,FALSE,NA,"488417338308325376",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AlexandriaKai",0,FALSE,FALSE,NA,NA
"5","RT @FCPortoWorld: Still wearing my #POR jersey today. Geeve.",FALSE,0,NA,2014-07-13 18:42:00,FALSE,NA,"488392920190697472",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Andre_Silva_94",8,TRUE,FALSE,NA,NA
"6","Our signed jersey from RVN, Ballack, Silva, Foudy, Lalas, Martinez, Twellman, Mcmanaman will be 1 of the items on silent auction on 7/26.",FALSE,0,NA,2014-07-13 18:40:28,FALSE,NA,"488392532527951872",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","scsurfsoccer",1,FALSE,FALSE,NA,NA
"7","RT @worldsoccershop: CONTEST (1/5) 
If #GER beat #ARG we'll give away a Commemorative #Germany Final jersey. Follow &amp; RT to enter! #allin h‚Ä¶",FALSE,0,NA,2014-07-13 18:26:34,FALSE,NA,"488389036281589760",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Gui9_Silva",10689,TRUE,FALSE,NA,NA
"8","RT @ENews: JWoww Gives Birth! Jersey Shore Star and Fianc√© Roger Mathews Welcome Their Baby Daughter--Find Out Her Name! http://t.co/eBYQVu‚Ä¶",FALSE,0,NA,2014-07-13 17:39:09,FALSE,NA,"488377100382916610",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","shauna_silva",121,TRUE,FALSE,NA,NA
"9","@HaaziqUvais team machan. That yellow and green jersey. Thiago Silva wore it in semi Finals.",FALSE,0,"HaaziqUvais",2014-07-13 17:35:04,FALSE,"488375423323996160","488376074657484802","438270766","<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","ZamanX90",0,FALSE,FALSE,NA,NA
"10","http://t.co/yeDyY4seoO #7: Adidas Silva #21 Spain Home Jersey World Cup 2014 (M)

Adidas Silva #21 Spain Home J... http://t.co/Rc679GjNTC",FALSE,0,NA,2014-07-13 05:11:38,FALSE,NA,"488188985047396352",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","TristaE6",0,FALSE,FALSE,NA,NA
"11","RT @Anstem_Tunechi: 3 na him jersey numba ""@Da_moxy: ""So u sabi ball like Dis sef @bimbexy: thiago silva didnt play, una chop 7, now he pla‚Ä¶",FALSE,0,NA,2014-07-12 22:19:43,FALSE,NA,"488085320672755713",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Da_moxy",1,TRUE,FALSE,NA,NA
"12","3 na him jersey numba ""@Da_moxy: ""So u sabi ball like Dis sef @bimbexy: thiago silva didnt play, una chop 7, now he played una chop 3 ...",FALSE,1,NA,2014-07-12 22:19:13,FALSE,NA,"488085194839441408",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry¬Æ</a>","Anstem_Tunechi",1,FALSE,FALSE,NA,NA
"13","Only oscar,thiago silva n neymar deserved dat brazilian jersey.brazil should hold a national prayer to cleanse themselves of bad luck.",FALSE,0,NA,2014-07-12 22:18:26,FALSE,NA,"488084997870329857",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BajiBarako",0,FALSE,FALSE,NA,NA
"14","@TheWitness727 Not until he pulls Thiago Silva's jersey over his head and starts speed bagging his face. #thecode",FALSE,1,"TheWitness727",2014-07-12 20:50:03,FALSE,"488060946850803712","488062755417489409","52907159","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","BuddhaNipple",0,FALSE,FALSE,NA,NA
"15","@eyi3000  T.Silva never continued with his pulling of Robben's jersey into the 18yards box. Pls,watch the replay carefully.",FALSE,0,"eyi3000",2014-07-12 20:38:59,FALSE,NA,"488059969841790976","370165639","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Adefreshy",0,FALSE,FALSE,NA,NA
"16","Scolari should put a yellow jersey on and take the field in place of Thiago Silva.  #grandpafutball",FALSE,0,NA,2014-07-12 20:15:09,FALSE,NA,"488053971253489664",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","tylerjz",0,FALSE,FALSE,NA,NA
"17","Silva get three yellow card since this World Cup. I think that's a lot. He collecting yellow cards to make a Brazilian jersey or sumn?",FALSE,0,NA,2014-07-12 20:13:34,FALSE,NA,"488053575713423360",NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for  Android</a>","JaviHopeful",0,FALSE,FALSE,NA,NA
"18","Thiago Silva should have gone #Suarez on him instead of going for the jersey pull. Let's see some teeth! #BrazilVsNetherlands",FALSE,0,NA,2014-07-12 20:12:55,FALSE,NA,"488053412043292672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Barctwain",0,FALSE,FALSE,"-117.88804117","33.68088995"
"19","Silva shoulda gotten tossed and Brazil is doin lots of jersey pulling. not impressedÌ†ΩÌ∏í",FALSE,0,NA,2014-07-12 20:12:08,FALSE,NA,"488053215603064832",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SophieZell",0,FALSE,FALSE,NA,NA
"20","This ref is garbage doesn't give Silva the red and know books Robben for getting his jersey pulled? Good job @FIFAcom @FIFAWorldCup #garbage",FALSE,1,NA,2014-07-12 20:10:34,FALSE,NA,"488052818784161792",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LetGioBeWithYou",0,FALSE,FALSE,NA,NA
