"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @A__Piscean: Varane will replace Per when he is also 25.... And Pogba will wear the Arsenal No. 4 jersey that same year as well. So prou‚Ä¶",FALSE,0,NA,2014-07-13 14:56:09,FALSE,NA,"488336084209004544",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry¬Æ</a>","Adorayyble",5,TRUE,FALSE,NA,NA
"2","RT @A__Piscean: Varane will replace Per when he is also 25.... And Pogba will wear the Arsenal No. 4 jersey that same year as well. So prou‚Ä¶",FALSE,0,NA,2014-07-13 14:55:35,FALSE,NA,"488335939383869440",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Madaraa5",5,TRUE,FALSE,NA,NA
"3","RT @A__Piscean: Varane will replace Per when he is also 25.... And Pogba will wear the Arsenal No. 4 jersey that same year as well. So prou‚Ä¶",FALSE,0,NA,2014-07-13 14:54:57,FALSE,NA,"488335782072311808",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ibro__",5,TRUE,FALSE,NA,NA
"4","RT @A__Piscean: Varane will replace Per when he is also 25.... And Pogba will wear the Arsenal No. 4 jersey that same year as well. So prou‚Ä¶",FALSE,0,NA,2014-07-13 14:54:26,FALSE,NA,"488335652111392768",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MrsGiroud",5,TRUE,FALSE,NA,NA
"5","Varane will replace Per when he is also 25.... And Pogba will wear the Arsenal No. 4 jersey that same year as well. So proud to be a Gooner!",FALSE,1,NA,2014-07-13 14:50:29,FALSE,NA,"488334655436107776",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","A__Piscean",5,FALSE,FALSE,NA,NA
"6","@mayito_559 that foo is gonna be way better this season bro! I want a varane or carvajal jersey",FALSE,0,"mayito_559",2014-07-14 21:58:27,FALSE,"488804397665640448","488804744966590465","2600326183","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Serggg11",0,FALSE,FALSE,NA,NA
"7","@hadi_abd92 size L. Eh i change my mind get me a varane jersey. I wanna be super hipster",FALSE,0,"hadi_abd92",2014-07-15 06:50:40,FALSE,"488937686925717506","488938683345956864","732994297","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","robofobo",0,FALSE,FALSE,NA,NA
"8","Wearing my Varane jersey Ì†ΩÌ∏çÌ†ΩÌ∏çÌ†ΩÌ∏ç",FALSE,7,NA,2014-07-16 14:45:58,FALSE,NA,"489420681629925376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HanaaShamseddin",0,FALSE,FALSE,NA,NA
"9","RT @ItsMePablitoO: I don't know which jersey I'm gonna have to get... Benzema, Isco, Kroos, Cristiano, Bale, Ramos, Varane or James when he‚Ä¶",FALSE,0,NA,2014-07-17 22:23:33,FALSE,NA,"489898224728039424",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Hectorknowsall",1,TRUE,FALSE,NA,NA
"10","I don't know which jersey I'm gonna have to get... Benzema, Isco, Kroos, Cristiano, Bale, Ramos, Varane or James when he signs....",FALSE,1,NA,2014-07-17 20:24:56,FALSE,NA,"489868376626311168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ItsMePablitoO",1,FALSE,FALSE,NA,NA
"11","Varane would look nice in a United jerseyÌ†ΩÌ∏èÌ†ΩÌ±å",FALSE,0,NA,2014-07-18 13:35:57,FALSE,NA,"490127837048090624",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iŒüS</a>","josephquinn14",0,FALSE,FALSE,NA,NA
"12","Varane would look nice in a United jerseyÌ†ΩÌ∏èÌ†ΩÌ±å",FALSE,0,NA,2014-07-18 13:35:57,FALSE,NA,"490127837048090624",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iŒüS</a>","josephquinn14",0,FALSE,FALSE,NA,NA
