"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","i was wondering who will get #5 jersey next season.Unless its Vertonghen or Hummels ther number should be kept for a while",FALSE,0,NA,2014-07-15 22:21:04,FALSE,NA,"489172824985063424",NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for  Android</a>","tnvr23",0,FALSE,FALSE,NA,NA
"2","I'll see you guys in Chicago! maybe I can get a jersey from one of you. @Jan_Vertonghen @kylewalker2 @andros_townsend @Coco_Lamela",FALSE,0,NA,2014-07-15 13:00:17,FALSE,NA,"489031700119158784",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dj_nashty",0,FALSE,FALSE,NA,NA
"3","i was wondering who will get #5 jersey next season.Unless its Vertonghen or Hummels ther number should be kept for a while",FALSE,0,NA,2014-07-15 22:21:04,FALSE,NA,"489172824985063424",NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for  Android</a>","tnvr23",0,FALSE,FALSE,NA,NA
"4","I'll see you guys in Chicago! maybe I can get a jersey from one of you. @Jan_Vertonghen @kylewalker2 @andros_townsend @Coco_Lamela",FALSE,0,NA,2014-07-15 13:00:17,FALSE,NA,"489031700119158784",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dj_nashty",0,FALSE,FALSE,NA,NA
"5","i was wondering who will get #5 jersey next season.Unless its Vertonghen or Hummels ther number should be kept for a while",FALSE,0,NA,2014-07-15 22:21:04,FALSE,NA,"489172824985063424",NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for  Android</a>","tnvr23",0,FALSE,FALSE,NA,NA
"6","I'll see you guys in Chicago! maybe I can get a jersey from one of you. @Jan_Vertonghen @kylewalker2 @andros_townsend @Coco_Lamela",FALSE,0,NA,2014-07-15 13:00:17,FALSE,NA,"489031700119158784",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dj_nashty",0,FALSE,FALSE,NA,NA
"7","@Jan_Vertonghen I hope you wear a jersey Barcelona next season",FALSE,0,"Jan_Vertonghen",2014-07-18 17:50:58,FALSE,NA,"490192013992525824","507489702","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ferddii_",0,FALSE,FALSE,NA,NA
"8","QOTD: Ericksen or Vertonghen jersey?",FALSE,0,NA,2014-07-18 16:25:05,FALSE,NA,"490170403558416385",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Conor__McDonald",0,FALSE,FALSE,NA,NA
"9","@c_bafi if vertonghen goes to Barça I'll buy that jersey",FALSE,0,"c_bafi",2014-07-18 08:57:03,FALSE,"489762714021924866","490057651036766208","1371502760","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","D_Harg",0,FALSE,FALSE,NA,NA
"10","RT @1_Hotspur: I now know why Vertonghen would want to leave. 

He looks left and he see's Rose, he looks right and there's Michael Dawson.…",FALSE,0,NA,2014-07-19 20:48:03,FALSE,NA,"490598968326225920",NA,"<a href=""http://hotot.org"" rel=""nofollow"">Hotot for Chrome</a>","spurs_jersey",106,TRUE,FALSE,NA,NA
