"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Why the Fuck does pogba get the young player award ! 
Stefan de vrij was much better and consistent !",FALSE,1,NA,2014-07-13 23:58:31,FALSE,NA,"488472573596803072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SalmanRooney",1,FALSE,FALSE,NA,NA
"2","RT @football_oranje: Robben is in, but apparently David Luiz a better centre back than Vlaar and De Vrij, while Rojo in ahead of Daley Blin…",FALSE,0,NA,2014-07-13 23:55:06,FALSE,NA,"488471713575743490",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Getsuga9Tenshou",128,TRUE,FALSE,NA,NA
"3","Stefan de Vrij with his speculation of changing club to MU... whereas, Jasper Cillissen's awkward pose sitting on objects goes viral",FALSE,0,NA,2014-07-13 23:52:16,FALSE,NA,"488471001726869504",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","IemAzhar",0,FALSE,FALSE,NA,NA
"4","Countless of defenders were better than David Luiz.
Garay, De Vrij, Indi, Vlaar, Boateng, Varane all performed better.",FALSE,0,NA,2014-07-13 23:51:58,FALSE,NA,"488470924534886400",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","haz_elnino",1,FALSE,FALSE,NA,NA
"5","RT @football_oranje: Robben is in, but apparently David Luiz a better centre back than Vlaar and De Vrij, while Rojo in ahead of Daley Blin…",FALSE,0,NA,2014-07-13 23:45:06,FALSE,NA,"488469197065048064",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","aakashmistry",128,TRUE,FALSE,NA,NA
"6","RT @football_oranje: Robben is in, but apparently David Luiz a better centre back than Vlaar and De Vrij, while Rojo in ahead of Daley Blin…",FALSE,0,NA,2014-07-13 23:44:58,FALSE,NA,"488469162734649346",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","neildyermta",128,TRUE,FALSE,NA,NA
"7","@NEPD_Loyko I'm not that high on Blind. But he will be interesting for 2nd tier teams in England. De Vrij and Indi will make big transfers.",FALSE,0,"NEPD_Loyko",2014-07-13 23:42:25,FALSE,"488467856380530689","488468520079200256","23781317","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SamAlzahawi",0,FALSE,FALSE,NA,NA
"8","De Vrij is looking like another potential CB and from what ive seen I like. We just cannot go in and challenge with Jones/Smalling/Evans.",FALSE,0,NA,2014-07-13 23:41:43,FALSE,NA,"488468345235472385",NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for  Android</a>","robinmurray__77",0,FALSE,FALSE,NA,NA
"9","@AdamRyanDawson my fav player has been Stefan de Vrij.  I don't normally pick defenders but he is class. Robben cheats too much for me.",FALSE,0,"AdamRyanDawson",2014-07-13 23:40:24,FALSE,"488467190287708160","488468014699122688","299501012","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BazPos",0,FALSE,FALSE,NA,NA
"10","RT @StefanCoerts: Hectic weeks await #Feyenoord. Pelle already gone, Martins Indi set to join Porto &amp; offers will come in for De Vrij, Janm…",FALSE,0,NA,2014-07-13 23:33:43,FALSE,NA,"488466330946117633",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","philmeegan",71,TRUE,FALSE,NA,NA
"11","RT @football_oranje: Robben is in, but apparently David Luiz a better centre back than Vlaar and De Vrij, while Rojo in ahead of Daley Blin…",FALSE,0,NA,2014-07-13 23:32:57,FALSE,NA,"488466140138856448",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","mister__lemon",128,TRUE,FALSE,NA,NA
"12","RT @football_oranje: Ron Vlaar and Stefan de Vrij kept the golden ball winner in their pocket! Another thing to be proud of! #NED",FALSE,0,NA,2014-07-13 23:32:55,FALSE,NA,"488466129224871936",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","bboobean",97,TRUE,FALSE,NA,NA
"13","RT @football_oranje: Robben is in, but apparently David Luiz a better centre back than Vlaar and De Vrij, while Rojo in ahead of Daley Blin…",FALSE,0,NA,2014-07-13 23:31:36,FALSE,NA,"488465800383447040",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Gallie8",128,TRUE,FALSE,NA,NA
"14","RT @football_oranje: Robben is in, but apparently David Luiz a better centre back than Vlaar and De Vrij, while Rojo in ahead of Daley Blin…",FALSE,0,NA,2014-07-13 23:31:19,FALSE,NA,"488465729453588480",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","Humor_Monger",128,TRUE,FALSE,NA,NA
"15","RT @intercbs: David Luiz made FIFA's World Cup XI ahead of Thiago Silva/Vlaar/de Vrij/Garay. Man, joke of the century.",FALSE,0,NA,2014-07-13 23:27:52,FALSE,NA,"488464860611477504",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rayanmezher",10,TRUE,FALSE,NA,NA
"16","RT @intercbs: David Luiz made FIFA's World Cup XI ahead of Thiago Silva/Vlaar/de Vrij/Garay. Man, joke of the century.",FALSE,0,NA,2014-07-13 23:27:51,FALSE,NA,"488464855460876288",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","michaelsalem1",10,TRUE,FALSE,NA,NA
"17","RT @SagarGGMU: Marquee Signing: Vidal
Utility Signing: Blind
Solid centre half: De Vrij

#Realistic #Enough",FALSE,0,NA,2014-07-13 23:26:26,FALSE,NA,"488464497992933377",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_MUFC_GGMU_",84,TRUE,FALSE,NA,NA
"18","Van Gaal has 34 days to sign Vidal, Hummels and a winger please!! He can do it!! De Vrij too would be good",FALSE,1,NA,2014-07-13 23:26:21,FALSE,NA,"488464477244121088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LiamBessey",0,FALSE,FALSE,NA,NA
"19","RT @intercbs: David Luiz made FIFA's World Cup XI ahead of Thiago Silva/Vlaar/de Vrij/Garay. Man, joke of the century.",FALSE,0,NA,2014-07-13 23:24:12,FALSE,NA,"488463935922638849",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alihayek96",10,TRUE,FALSE,NA,NA
"20","RT @intercbs: David Luiz made FIFA's World Cup XI ahead of Thiago Silva/Vlaar/de Vrij/Garay. Man, joke of the century.",FALSE,0,NA,2014-07-13 23:20:50,FALSE,NA,"488463089294409728",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MCherry86",10,TRUE,FALSE,NA,NA
"21","@Kanaans_ then choked when it really mattered,  to make the team u have to be consistent thruout, he wasn't,Medel/Vlaar/De vrij shld hv 4 me",FALSE,0,"Kanaans_",2014-07-13 23:20:43,FALSE,"488462616826630144","488463061960122370","2580756938","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ARK__17",0,FALSE,FALSE,NA,NA
