"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @Madrid_Indo: #RealMadridVacation @Benzema http://t.co/KtlDc5rl4P",FALSE,0,NA,2014-07-14 23:03:02,FALSE,NA,"488820999421718528",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","MDG_Jersey",44,TRUE,FALSE,NA,NA
"2","RT @Madrid_Indo: #RealMadridVacation via @SocialRMadrid: Benzema enjoying his holidays. http://t.co/yql27tW7qi",FALSE,0,NA,2014-07-14 16:58:25,FALSE,NA,"488729238032625664",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","MDG_Jersey",66,TRUE,FALSE,NA,NA
"3","78965027472954-lol you made this difficult but I wanna chill soon foreal you seem mad funny and I'm getting a Benzema jersey soo",FALSE,1,NA,2014-07-14 03:23:40,FALSE,NA,"488524200748277760",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","youngsbeezy5",0,FALSE,FALSE,NA,NA
"4","@BrianForney32 @P3terG dude I got a Ribery and Benzema jersey cuz they're to nice! Who are your top three hated players haha",FALSE,0,"BrianForney32",2014-07-14 01:07:14,FALSE,"488487804213542912","488489866867785728","922724467","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hollywoodasilva",0,FALSE,FALSE,NA,NA
"5","RT @Madrid_Indo: #RealMadridVacation @Benzema http://t.co/KtlDc5rl4P",FALSE,0,NA,2014-07-14 23:03:02,FALSE,NA,"488820999421718528",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","MDG_Jersey",44,TRUE,FALSE,NA,NA
"6","RT @Madrid_Indo: #RealMadridVacation via @SocialRMadrid: Benzema enjoying his holidays. http://t.co/yql27tW7qi",FALSE,0,NA,2014-07-14 16:58:25,FALSE,NA,"488729238032625664",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","MDG_Jersey",66,TRUE,FALSE,NA,NA
"7","78965027472954-lol you made this difficult but I wanna chill soon foreal you seem mad funny and I'm getting a Benzema jersey soo",FALSE,1,NA,2014-07-14 03:23:40,FALSE,NA,"488524200748277760",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","youngsbeezy5",0,FALSE,FALSE,NA,NA
"8","@BrianForney32 @P3terG dude I got a Ribery and Benzema jersey cuz they're to nice! Who are your top three hated players haha",FALSE,0,"BrianForney32",2014-07-14 01:07:14,FALSE,"488487804213542912","488489866867785728","922724467","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hollywoodasilva",0,FALSE,FALSE,NA,NA
"9","I see Real Madrid in less than a month and I haven't gotten my Benzema jersey in the mail yet I have anxiety",FALSE,1,NA,2014-07-16 23:36:29,FALSE,NA,"489554190381752320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cassidy_rourke",0,FALSE,FALSE,NA,NA
"10","@Faysalfacil ..where's my Benzema jersey though í ½í¸Œ",FALSE,0,"Faysalfacil",2014-07-16 21:43:09,FALSE,"489521204126961664","489525670830039041","491727236","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ka3akboi",0,FALSE,FALSE,NA,NA
"11","http://t.co/hmaOfuoZ0n - Real Madrid 2014 2015 jersey away pink ... - http://t.co/PF31amCqIF http://t.co/kdWtku1F5f",FALSE,0,NA,2014-07-16 21:15:08,FALSE,NA,"489518620318261249",NA,"<a href=""http://allsportauctions.com"" rel=""nofollow"">WorldSoccerFans</a>","WorldSoccerFans",0,FALSE,FALSE,NA,NA
"12","http://t.co/ub6BsZd7mu Real Madrid 2014 2015 jersey away pink ... - http://t.co/lszYfGvaMu http://t.co/88IOezKL54",FALSE,0,NA,2014-07-16 21:15:07,FALSE,NA,"489518615641591811",NA,"<a href=""http://www.soccerfanbids.com"" rel=""nofollow"">RealMadridX2</a>","Real_MadridX2",0,FALSE,FALSE,NA,NA
