"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@MikailaGlambert that happened to me at a Fred Meyer store with a guy wearing a Lakers Jersey and me wearing my Blazers shirt #dirtylooks",FALSE,1,"MikailaGlambert",2014-07-13 23:10:47,FALSE,"488458768884051969","488460559688687616","430361877","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","albert_hoy",0,FALSE,FALSE,NA,NA
"2","RT @WeAreFootbaII: If Germany #GER score first we will giveaway their home jersey!
 
To enter RT &amp; follow 
@FUTSoti + @WeAreFootbaII http:/…",FALSE,0,NA,2014-07-13 21:14:44,FALSE,NA,"488431356813144064",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fred_moya",579,TRUE,FALSE,NA,NA
"3","What is Fred doing on the field wearing a blue #9 jersey today?",FALSE,0,NA,2014-07-13 19:34:25,FALSE,NA,"488406111666446337",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ajit_bhaskar",0,FALSE,FALSE,NA,NA
"4","RT @worldsoccershop: CONTEST (1/5) 
If #GER beat #ARG we'll give away a Commemorative #Germany Final jersey. Follow &amp; RT to enter! #allin h…",FALSE,0,NA,2014-07-13 19:25:00,FALSE,NA,"488403740547092481",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Cody_fred",10677,TRUE,FALSE,NA,NA
"5","RT @worldsoccershop: CONTEST (2/5)
If #ARG beat #GER we'll give away a Commemorative #Argentina Final jersey. Follow &amp; RT to enter! #allin …",FALSE,0,NA,2014-07-13 19:24:57,FALSE,NA,"488403729302175744",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Cody_fred",9355,TRUE,FALSE,NA,NA
"6","RT @Cobhoza: Fifa must issue Fred with a Life Ban for dragging the great Brazilian Ronaldo's jersey through the mud!!",FALSE,0,NA,2014-07-13 18:56:27,FALSE,NA,"488396554651590656",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Moelemo",1,TRUE,FALSE,NA,NA
"7","RT @WorldKeeperShop: And If #Romero keeps a clean sheet for #ARG we'll give away the adidas Onore 14 Jersey (Gold). RT &amp; Follow to enter! h…",FALSE,0,NA,2014-07-13 18:50:41,FALSE,NA,"488395105431470080",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Fred_manee",2222,TRUE,FALSE,NA,NA
"8","Fifa must issue Fred with a Life Ban for dragging the great Brazilian Ronaldo's jersey through the mud!!",FALSE,0,NA,2014-07-13 18:40:52,FALSE,NA,"488392635590385665",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Cobhoza",1,FALSE,FALSE,NA,NA
"9","RT @worldsoccershop: CONTEST (2/5)
If #ARG beat #GER we'll give away a Commemorative #Argentina Final jersey. Follow &amp; RT to enter! #allin …",FALSE,0,NA,2014-07-13 18:33:04,FALSE,NA,"488390668918599681",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Eric_The_Fred",9355,TRUE,FALSE,NA,NA
"10","RT @worldsoccershop: CONTEST (1/5) 
If #GER beat #ARG we'll give away a Commemorative #Germany Final jersey. Follow &amp; RT to enter! #allin h…",FALSE,0,NA,2014-07-13 18:32:55,FALSE,NA,"488390633308946433",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Eric_The_Fred",10677,TRUE,FALSE,NA,NA
"11","RT @worldsoccershop: CONTEST (1/5) 
If #GER beat #ARG we'll give away a Commemorative #Germany Final jersey. Follow &amp; RT to enter! #allin h…",FALSE,0,NA,2014-07-13 18:26:50,FALSE,NA,"488389103717986304",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Fred_manee",10677,TRUE,FALSE,NA,NA
"12","RT @worldsoccershop: CONTEST (2/5)
If #ARG beat #GER we'll give away a Commemorative #Argentina Final jersey. Follow &amp; RT to enter! #allin …",FALSE,0,NA,2014-07-13 18:26:47,FALSE,NA,"488389087821561856",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Fred_manee",9355,TRUE,FALSE,NA,NA
"13","So Fred announces his retirement from international football, finally! Now keep that number 9 jersey safe!. Like he even had a career",FALSE,0,NA,2014-07-13 17:25:17,FALSE,NA,"488373613595471872",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Doberman_Pinsch",1,FALSE,FALSE,NA,NA
"14","Booed right out of the yellow jersey “@CentreTransfer: Fred has announced his retirement from international football. (voetbalzone.nl)”",FALSE,0,"CentreTransfer",2014-07-13 17:05:59,FALSE,"488365563606216704","488368757027647490","991417442","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","daemz",0,FALSE,FALSE,"6.977519","4.79597435"
"15","Hulk is not that bad bro! “@HenRay_DS: Players like Fred, Jo, Hulk, Paulinho n Dante should not be seen in a Brazil jersey again.”",FALSE,0,"HenRay_DS",2014-07-13 16:57:42,FALSE,"488365981413433344","488366672110034944","260206760","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CallMeNada",0,FALSE,FALSE,NA,NA
"16","Players like Fred, Jo, Hulk, Paulinho n Dante should not be seen in a Brazil jersey again.",FALSE,0,NA,2014-07-13 16:54:58,FALSE,NA,"488365981413433344",NA,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for BlackBerry</a>","HenRay_DS",0,FALSE,FALSE,NA,NA
"17","It's gone be clutch to see Gasol in a Bulls Jersey",FALSE,0,NA,2014-07-13 16:49:27,FALSE,NA,"488364594369658881",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iThink_he_Fred",0,FALSE,FALSE,NA,NA
"18","RT @AaronCL4CK: I'm sure which is gonna hurt me more, Bill O'Herlihy retiring or my good pal Fred hanging up his brazil jersey",FALSE,0,NA,2014-07-13 16:35:49,FALSE,NA,"488361164859252739",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Planty1929",1,TRUE,FALSE,NA,NA
"19","I'm sure which is gonna hurt me more, Bill O'Herlihy retiring or my good pal Fred hanging up his brazil jersey",FALSE,0,NA,2014-07-13 16:33:05,FALSE,NA,"488360477509300224",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AaronCL4CK",1,FALSE,FALSE,"-6.47753627","53.37038199"
"20","“@DeadlineDayLive: Fred has announced his retirement from international football. (Source: voetbalzone.nl)”

Thank goodness!",FALSE,0,"DeadlineDayLive",2014-07-13 16:10:36,FALSE,"488350485049798656","488354817954566144","1030711922","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jersey_Geordie",0,FALSE,FALSE,NA,NA
"21","We will miss Fred in Brazil jersey @___Nobody____",FALSE,0,NA,2014-07-13 16:08:05,FALSE,NA,"488354185608306688",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","asaltanat",0,FALSE,FALSE,NA,NA
"22","RT @matt_poulton: My girlfriend got me 2 tickets to the Bills-Dolphins game by the Bills bench and a Fred Jackson jersey. I'm the luckiest …",FALSE,0,NA,2014-07-13 15:59:26,FALSE,NA,"488352009636966400",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","FatGuyFix",1,TRUE,FALSE,NA,NA
"23","My girlfriend got me 2 tickets to the Bills-Dolphins game by the Bills bench and a Fred Jackson jersey. I'm the luckiest person ever!",FALSE,10,NA,2014-07-13 15:54:45,FALSE,NA,"488350829716332544",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","matt_poulton",1,FALSE,FALSE,NA,NA
"24","RT @Young_Dan_: I wanna move from outta new jersey",FALSE,0,NA,2014-07-13 04:23:56,FALSE,NA,"488176977728532480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Fred__987",4,TRUE,FALSE,NA,NA
"25","This Fred is looking to score at the bar, but if his jersey choice is any indication it’s gonna be a rough night. http://t.co/QA1aSjXB8g",FALSE,1,NA,2014-07-13 04:16:02,FALSE,NA,"488174989976551424",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","rcengelsman",0,FALSE,FALSE,NA,NA
"26","@fred_kieser ""Jersey"" in downtown Hudson. Seen them before, they are so/so.",FALSE,0,"fred_kieser",2014-07-12 23:48:01,FALSE,"488107018990125056","488107541012836352","1191203977","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jsigmund",0,FALSE,FALSE,NA,NA
