"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @saabrian: Germany got lucky that Fernando Torres snuck on to the field wearing an Higuain jersey. #ger #arg #wroldcup",FALSE,0,NA,2014-07-13 22:39:40,FALSE,NA,"488452729678090240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","offical_oliver",1,TRUE,FALSE,NA,NA
"2","Germany got lucky that Fernando Torres snuck on to the field wearing an Higuain jersey. #ger #arg #wroldcup",FALSE,1,NA,2014-07-13 21:43:43,FALSE,NA,"488438650485899264",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","saabrian",1,FALSE,FALSE,NA,NA
"3","I wanted Messi to win so bad. Higuain and Palacio please never wear an Argentina jersey again in your life. Fuck both of you.",FALSE,1,NA,2014-07-13 21:39:00,FALSE,NA,"488437463505829888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KobeAlic",0,FALSE,FALSE,NA,NA
"4","After today I need a Higuain jersey, even if they lose #ARG",FALSE,1,NA,2014-07-13 21:25:12,FALSE,NA,"488433988134899712",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Marcelo_Huerta4",0,FALSE,FALSE,NA,NA
"5","If Argentina win this game, Imma get a jersey. Either Messi, Mascherano, Aguero, or Higuain.",FALSE,0,NA,2014-07-13 21:17:03,FALSE,NA,"488431938861281282",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FDB_Chris",0,FALSE,FALSE,NA,NA
"6","Diff between Higuain and Palacio? Name spelling, Jersey number and hair style. Both Useless. I'm so angry.",FALSE,0,NA,2014-07-13 21:15:18,FALSE,NA,"488431500338413569",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>","shina_pitta",0,FALSE,FALSE,NA,NA
"7","RT @WSJSports: Higuaín clearly belongs to the ""point at your jersey"" school of goal celebrations. http://t.co/ah45WwOCXw http://t.co/EuGTQ0…",FALSE,0,NA,2014-07-13 20:58:40,FALSE,NA,"488427312913063936",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","jaredross81",11,TRUE,FALSE,NA,NA
"8","My dad thinks the jersey is Higuain's problem",FALSE,0,NA,2014-07-13 20:38:53,FALSE,NA,"488422334957486080",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","sallychandraaa",0,FALSE,FALSE,NA,NA
"9","Higuain did not have a good time today",FALSE,0,NA,2014-07-13 20:36:50,FALSE,NA,"488421816692924416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","The_Jersey_Fitz",0,FALSE,FALSE,NA,NA
"10","Lolz on argentina jersey""@dahSpecial1: Now I know, Aguero is more useless than Higuain, I mean very useless...""",FALSE,0,NA,2014-07-13 20:31:43,FALSE,NA,"488420528513118208",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","Lakesman25",1,FALSE,FALSE,NA,NA
"11","If to say i was born in argentina i will firstly had jersey b4 dis Higuain RT See Higuain super striker RT Kuchmania: German machine i trust",FALSE,0,NA,2014-07-13 20:24:45,FALSE,NA,"488418777566953474",NA,"<a href=""http://www.writelonger.com"" rel=""nofollow"">Write Longer</a>","Kuchmania",0,FALSE,FALSE,NA,NA
"12","So Neuer's jersey knocked Higuain out?! GTFU!!! #GERARG",FALSE,0,NA,2014-07-13 20:16:53,FALSE,NA,"488416798706900993",NA,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","stlsa",0,FALSE,FALSE,NA,NA
"13","Not sure how that's a foul by Higuain.",FALSE,0,NA,2014-07-13 20:15:45,FALSE,NA,"488416513377206272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","The_Jersey_Fitz",0,FALSE,FALSE,NA,NA
"14","Higuain is not having a fun time",FALSE,0,NA,2014-07-13 20:05:36,FALSE,NA,"488413956563013633",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","The_Jersey_Fitz",0,FALSE,FALSE,NA,NA
"15","I should of gotten both the Higuain and Callejon jerseys in Italy but I got one t shirt and one jersey cause I was being cheap lmao",FALSE,0,NA,2014-07-13 20:01:04,FALSE,NA,"488412817427402752",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vivalacaitybaby",0,FALSE,FALSE,"-74.0602611","41.4851338"
