"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","......what if i impulse-bought a klose jersey rn..................",FALSE,0,NA,2014-07-13 23:45:15,FALSE,NA,"488469234926628864",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","percipere",0,FALSE,FALSE,NA,NA
"2","You guys, I can't wait to get my #FourStars jersey. Gonna get the #Klose one too cuz #DankeKlose &amp; farewell to my fav player. #LEGEND",FALSE,0,NA,2014-07-13 23:27:27,FALSE,NA,"488464753891614720",NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","mb20obsessor",0,FALSE,FALSE,NA,NA
"3","Best thing about this game is Kruz has to buy me a Klose jersey Ì†ΩÌ∏Ü so glad I didn't have to buy him a Messi one haaaaaaaa",FALSE,1,NA,2014-07-13 23:25:31,FALSE,NA,"488464266941317120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RickMurdaaa",0,FALSE,FALSE,NA,NA
"4","Can't wait for my miroslav klose jersey to come in the mail! Gotta buy a schweinsteiger one too!‚ù§Ô∏èÌ†ºÌ∑©Ì†ºÌ∑™Ì†ºÌ∑©Ì†ºÌ∑™Ì†ºÌ∑©Ì†ºÌ∑™Ì†ºÌ∑©Ì†ºÌ∑™",FALSE,0,NA,2014-07-13 23:15:49,FALSE,NA,"488461828737880065",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JanKipper",0,FALSE,FALSE,NA,NA
"5","""@thommie08: Miroslav Klose is the happiest person in the world right now"" I am so buying his jersey",FALSE,0,NA,2014-07-13 23:00:12,FALSE,NA,"488457898302119936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","11Jamen",0,FALSE,FALSE,NA,NA
"6","Can't wait to buy my 4 star Klose Jersey!!! ‚≠êÔ∏è‚≠êÔ∏è‚≠êÔ∏è‚≠êÔ∏èÌ†ºÌ∑©Ì†ºÌ∑™Ì†ºÌ∑©Ì†ºÌ∑™Ì†ºÌ∑©Ì†ºÌ∑™Ì†ºÌ∑©Ì†ºÌ∑™",FALSE,0,NA,2014-07-13 22:58:08,FALSE,NA,"488457375545040897",NA,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for iPhone</a>","camkin",0,FALSE,FALSE,NA,NA
"7","Got my Klose jersey on #11 #GER",FALSE,0,NA,2014-07-13 22:57:59,FALSE,NA,"488457338014031873",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Carlitos305_",0,FALSE,FALSE,NA,NA
"8","Klose. Hook her up @thesoccergalaxy RT  @aSomia: I told myself I was going to buy a authentic jersey from SoccerGalaxy. Which player?",FALSE,0,NA,2014-07-13 22:49:34,FALSE,NA,"488455222620983296",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","UmairA916",0,FALSE,FALSE,NA,NA
"9","#GER my second team after #ENG.
Cheering since WC 2002.
klose's jersey since 2008
Thanks @MiroKloseFans for ur career
#pt",FALSE,1,NA,2014-07-13 22:47:40,FALSE,NA,"488454743086624769",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HemaNasr2011",0,FALSE,FALSE,NA,NA
"10","@churailesque YES I KIND OF (KIND OF REALLY) (EXTREMELY) WANT A KLOSE JERSEY BUT ISN'T IT KIND OF SILLY TO HAVE TWO OF THE SAME KIT",FALSE,0,"churailesque",2014-07-13 22:46:24,FALSE,"488454276067229697","488454426466988032","414498544","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","solcelo",0,FALSE,FALSE,NA,NA
