"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@CJ_Johnson15 Messi jersey all day http://t.co/55Rl3lHTZm",FALSE,1,"CJ_Johnson15",2014-07-13 23:59:52,FALSE,"488472253596590080","488472914665037824","93512720","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CJBasch",0,FALSE,FALSE,NA,NA
"2","Am still gonna wear argentina's jersey out bcos im messi.. I meant messy",FALSE,0,NA,2014-07-13 23:57:51,FALSE,NA,"488472407326208000",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","thefastingasian",0,FALSE,FALSE,NA,NA
"3","RT @Jamayz: If you see messi lason! You go dey wish to touch! Dey dre sayin  U̅ won't collect a signed jersey! Ptcheeew",FALSE,0,NA,2014-07-13 23:55:40,FALSE,NA,"488471854768607232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","je_suis_Michael",2,TRUE,FALSE,NA,NA
"4","RT @RickyD884: Genuine Lionel Messi World Cup jersey for sale. Offers considered... http://t.co/YUnHODEtqw",FALSE,0,NA,2014-07-13 23:52:56,FALSE,NA,"488471168517959680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thersrgoinup",6,TRUE,FALSE,NA,NA
"5","If you see messi lason! You go dey wish to touch! Dey dre sayin  U̅ won't collect a signed jersey! Ptcheeew",FALSE,0,NA,2014-07-13 23:52:52,FALSE,NA,"488471152885792768",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","Jamayz",2,FALSE,FALSE,NA,NA
"6","RT @BabarMallik: #Messi with #Israel but #Ronaldo the Hero refused to exchange jersey with Israeli player 2 condemn attack on #Gaza http://…",FALSE,0,NA,2014-07-13 23:51:48,FALSE,NA,"488470881136439296",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MuetZakir",258,TRUE,FALSE,NA,NA
"7","RT @anthonyladao: So Germany and Argentina...Germany is a great team love the way they play, but I'm rocking my Messi jersey today. http://…",FALSE,0,NA,2014-07-13 23:47:43,FALSE,NA,"488469853167452161",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","fernanda_dorado",1092,TRUE,FALSE,NA,NA
"8","RT @JoeyDiggsJr: You see the jersey. #WorldCupFinal #WorldCup2014 #Messi http://t.co/f47UcEGojd",FALSE,0,NA,2014-07-13 23:45:08,FALSE,NA,"488469204765769730",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","make_aLaugh",314,TRUE,FALSE,NA,NA
"9","Wore my Germany jersey all day. But after the match I changed into my Messi shirt. #mixedemotions",FALSE,0,NA,2014-07-13 23:44:42,FALSE,NA,"488469096775024640",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","becker_nic",0,FALSE,FALSE,NA,NA
"10","@squid_with_ink messi is a great phenomenal player ............ With a Barcelona jersey on ... Robben was Jesus in this cup !!",FALSE,0,"squid_with_ink",2014-07-13 23:44:32,FALSE,"488468784131616768","488469056085704704","40452789","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ILoveJesusWater",0,FALSE,FALSE,NA,NA
"11","#9: 2014/2015 FC BARCELONA HOME LIONEL MESSI 10 FOOTBALL SOCCER KIDS JERSEY: 2014/2015 FC BARCELONA HOME LIONEL... http://t.co/MdTSawiKI5",FALSE,0,NA,2014-07-13 23:44:16,FALSE,NA,"488468985625595904",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","SuperJohn2014",0,FALSE,FALSE,NA,NA
"12","Wanna get Messi's old club jersey, #startup",FALSE,2,NA,2014-07-13 23:42:52,FALSE,NA,"488468633585086466",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","melohernz",0,FALSE,FALSE,NA,NA
"13","RT @anthonyladao: So Germany and Argentina...Germany is a great team love the way they play, but I'm rocking my Messi jersey today. http://…",FALSE,0,NA,2014-07-13 23:42:34,FALSE,NA,"488468560163770368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","geneva_estrada",1092,TRUE,FALSE,NA,NA
"14","http://t.co/GZ6I6qXXU4 Argentina Home Messi 10 Football Soccer Kids Jersey with Free Shorts &amp; Socks

Argentina ... http://t.co/SL4cNQWK7J",FALSE,0,NA,2014-07-13 23:42:33,FALSE,NA,"488468554430554112",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","SuperJohn2014",0,FALSE,FALSE,NA,NA
"15","So mad Argentina lost, so happy I got a Messi Jersey :D",FALSE,0,NA,2014-07-13 23:42:29,FALSE,NA,"488468538416300032",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","IMBrandonRice",0,FALSE,FALSE,NA,NA
"16","@___Abdull I would get him but everybody has him. It makes me look like I just have the jersey because I like messi and not Argentina",FALSE,0,"___Abdull",2014-07-13 23:39:38,FALSE,"488455930716377088","488467819898494977","597889605","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MuadhAgraw",0,FALSE,FALSE,NA,NA
"17","RT @JoeyDiggsJr: You see the jersey. #WorldCupFinal #WorldCup2014 #Messi http://t.co/f47UcEGojd",FALSE,0,NA,2014-07-13 23:37:46,FALSE,NA,"488467351650959360",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FiammaCoronel",314,TRUE,FALSE,NA,NA
"18","RT @ACraig18: Ordering a Messi jersey and taping a golden ball to it #haters",FALSE,0,NA,2014-07-13 23:37:09,FALSE,NA,"488467195031068672",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RSmitty_19",1,TRUE,FALSE,NA,NA
"19","RT @iamjoseh_: Ozil is celebrating shirtless because Messi asked for his jersey",FALSE,0,NA,2014-07-13 23:36:41,FALSE,NA,"488467078442397696",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","echavilinsia",19,TRUE,FALSE,NA,NA
"20","cruz's jersey is messi too yaaaas http://t.co/WLSLzFqiOC",FALSE,0,NA,2014-07-13 23:36:29,FALSE,NA,"488467028052037633",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","llukehemmings",0,FALSE,FALSE,NA,NA
"21","RT @Royblink182: Michel Platini asked for Mesut Özil's jersey. Not Messi's. Sorry. Let that sink in.",FALSE,0,NA,2014-07-13 23:36:25,FALSE,NA,"488467010826018816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Aminu_Mj",6,TRUE,FALSE,NA,NA
"22","Did messi ask for ozil's jersey",FALSE,0,NA,2014-07-13 23:36:13,FALSE,NA,"488466961286701056",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","mxhou",0,FALSE,FALSE,NA,NA
"23","RT @oluobededom: Retweet if you think Messi is not worth the Golden Ball. ""@Tobby_kalahari: LMAO people are mean Messi's Jersey&gt;&gt; http://t.…",FALSE,0,NA,2014-07-13 23:36:07,FALSE,NA,"488466934275772418",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HighPriest_",7,TRUE,FALSE,NA,NA
"24","RT @Royblink182: Michel Platini asked for Mesut Özil's jersey. Not Messi's. Sorry. Let that sink in.",FALSE,0,NA,2014-07-13 23:35:01,FALSE,NA,"488466656696352768",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NovembrsVryOwn",6,TRUE,FALSE,NA,NA
"25","at least bae made me happy by wearing a messi jersey http://t.co/quhFb7rOZY",FALSE,0,NA,2014-07-13 23:34:55,FALSE,NA,"488466634882187265",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","llukehemmings",0,FALSE,FALSE,NA,NA
"26","RT @exobibimbap: messi's jersey number ""@chensubs: world cup 2010 spain won 1-0 and now germany wins 1-0 wow what happens with 1-0”",FALSE,0,NA,2014-07-13 23:34:31,FALSE,NA,"488466534801489920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jpp39_",23,TRUE,FALSE,NA,NA
"27","#6: FWC 2014 Lionel Messi 10 Argentina Away Futbol Football Soccer Jersey &amp; Short: FWC 2014 Lionel Messi 10... http://t.co/fklDohLDH9",FALSE,0,NA,2014-07-13 23:34:31,FALSE,NA,"488466532511395840",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","SuperJohn2014",0,FALSE,FALSE,NA,NA
"28","RT @ElementTheCity: I need a Messi jersey",FALSE,0,NA,2014-07-13 23:33:45,FALSE,NA,"488466339049504768",NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android Tablets</a>","Jaysia_Dillon",11,TRUE,FALSE,NA,NA
"29","RT @JoeyDiggsJr: You see the jersey. #WorldCupFinal #WorldCup2014 #Messi http://t.co/f47UcEGojd",FALSE,0,NA,2014-07-13 23:33:14,FALSE,NA,"488466209348669440",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","amariaa_x",314,TRUE,FALSE,NA,NA
"30","RT @beeetoolz: My brother was so upset Argentina lost he wanted to burn his messi jersey http://t.co/LM3V1b9jxg",FALSE,0,NA,2014-07-13 23:32:41,FALSE,NA,"488466073662930946",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ali_doosan",1,TRUE,FALSE,NA,NA
"31","http://t.co/UfesctHOwA CM-CG Kids Argentina Home World Cup NO.10 Messi Shirt Jersey &amp; Shorts Set 4-13Y

CM-CG K... http://t.co/dWwYTAr3C8",FALSE,0,NA,2014-07-13 23:31:40,FALSE,NA,"488465816883838976",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","lizbeth672",0,FALSE,FALSE,NA,NA
"32","RT @ComedyJKT48: WTS jersey original Lionel Messi special edition final World Cup 2014. Minat? PM gans. http://t.co/9JEhDm0j47",FALSE,0,NA,2014-07-13 23:31:20,FALSE,NA,"488465732154699777",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","asproid",84,TRUE,FALSE,NA,NA
"33","RT @Royblink182: Michel Platini asked for Mesut Özil's jersey. Not Messi's. Sorry. Let that sink in.",FALSE,0,NA,2014-07-13 23:30:04,FALSE,NA,"488465414381268993",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Basaura_jnr",6,TRUE,FALSE,NA,NA
"34","RT @pollyfuckit: Most of the ones in the pub were wearing the German jersey, had face paints, and screamed MESSHIT every time Messi attempt…",FALSE,0,NA,2014-07-13 23:29:42,FALSE,NA,"488465320642764801",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gingerclouds",2,TRUE,FALSE,NA,NA
"35","RT @anthonyladao: So Germany and Argentina...Germany is a great team love the way they play, but I'm rocking my Messi jersey today. http://…",FALSE,0,NA,2014-07-13 23:29:40,FALSE,NA,"488465313433157632",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","heartofmadib",1092,TRUE,FALSE,NA,NA
