"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@Josh23uk Im buying my thomas muller jersey mate LMAO http://t.co/F7KEp4Y5Qz",FALSE,0,"Josh23uk",2014-07-13 23:04:30,FALSE,NA,"488458980386021376","2498244761","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","TrentDancerson",0,FALSE,FALSE,NA,NA
"2","The jersey of Thomas Muller with 4 stars is added to my wish list. #WC14 #GERARG @esmuellert_ #GER",FALSE,0,NA,2014-07-13 22:57:33,FALSE,NA,"488457229558116353",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","akram_gargouri",0,FALSE,FALSE,NA,NA
"3","Anyone want to buy me a jersey with Kroos  or ozil or muller or Klose or gotze on it",FALSE,1,NA,2014-07-13 22:34:03,FALSE,NA,"488451317757538304",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tianlunlee",0,FALSE,FALSE,NA,NA
"4","Oh god,I just realised it i love those guys in Germnay national team with the jersey number 13 14 and 15 ! :) x haha Muller,Draxler and Durm",FALSE,0,NA,2014-07-13 22:28:02,FALSE,NA,"488449801420554242",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","Hayura15",0,FALSE,FALSE,NA,NA
"5","RT @SoccerrUniverse: If #GER win the World Cup today we'll giveaway a #Muller jersey. Retweet and Follow to enter. http://t.co/ZohsF9F7U4",FALSE,0,NA,2014-07-13 22:24:15,FALSE,NA,"488448849577795586",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JaimeBezama_",688,TRUE,FALSE,NA,NA
"6","30% off the bayern shop making me wanna get my gotze robben neuer lewa and muller jersey Ì†ΩÌ∏üÌ†ΩÌ∏üÌ†ΩÌ∏ü",FALSE,1,NA,2014-07-13 22:21:22,FALSE,NA,"488448124038303744",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JulioSoDope",0,FALSE,FALSE,NA,NA
"7","RT @SoccerrUniverse: If #GER win the World Cup today we'll giveaway a #Muller jersey. Retweet and Follow to enter. http://t.co/ZohsF9F7U4",FALSE,0,NA,2014-07-13 22:16:48,FALSE,NA,"488446974618632192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Nino_Andrew",688,TRUE,FALSE,NA,NA
"8","Okay I'm gonna buy another Germany jersey with Muller's name .",FALSE,0,NA,2014-07-13 22:10:20,FALSE,NA,"488445349715927040",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PeterChaii",0,FALSE,FALSE,NA,NA
"9","RT @SoccerrUniverse: If #GER win the World Cup today we'll giveaway a #Muller jersey. Retweet and Follow to enter. http://t.co/ZohsF9F7U4",FALSE,0,NA,2014-07-13 21:56:13,FALSE,NA,"488441794171269121",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","DroxLizzy",688,TRUE,FALSE,NA,NA
"10","My wish now is to have a jersey of Miroslav Klose and Thomas Muller #fingerscrossed @DFB_Team_EN",FALSE,0,NA,2014-07-13 21:52:46,FALSE,NA,"488440929267621888",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry¬Æ</a>","jocereisma",0,FALSE,FALSE,"121.07409","14.51599"
