"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@larissaleungg is it a guy's jersey or is there one for girls? i really want one for Neymar from Bar√ßa, lol :$",FALSE,0,"larissaleungg",2014-07-13 23:59:41,FALSE,"488472278246510592","488472867160334337","1550377801","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","giemilreyes",0,FALSE,FALSE,NA,NA
"2","RT @FootbaIIFunny: In honor of Neymar we are giving away his jersey! 
To be entered u MUST follow @BashingFut &amp; ME, RETWEET when done! http‚Ä¶",FALSE,0,NA,2014-07-13 23:57:10,FALSE,NA,"488472233333891072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","closayles",854,TRUE,FALSE,NA,NA
"3","now i wait for my neymar brazil jersey wow",FALSE,0,NA,2014-07-13 23:57:08,FALSE,NA,"488472226945970176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hungrooo",0,FALSE,FALSE,NA,NA
"4","RT @NeymarStuff: PHOTO: Today's captain David Luiz and Julio Cesar with a Neymar jersey during the national anthem - http://t.co/vYVklLWfIe",FALSE,0,NA,2014-07-13 23:56:03,FALSE,NA,"488471951963209728",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","slaylikejdb",224,TRUE,FALSE,NA,NA
"5","RT @NeymarStuff: Brazil team photo with Neymar jersey - http://t.co/TU5PpUAbGJ",FALSE,0,NA,2014-07-13 23:56:00,FALSE,NA,"488471938520461313",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","slaylikejdb",1209,TRUE,FALSE,NA,NA
"6","RT @NeymarStuff: A wonderful photo of Neymar's jersey being held high by David Luiz during Brazil's national anthem - http://t.co/xYm6ak9i7R",FALSE,0,NA,2014-07-13 23:55:57,FALSE,NA,"488471926038216704",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","slaylikejdb",670,TRUE,FALSE,NA,NA
"7","RT @NeymarStuff: Wonderful gesture: Neymar wearing a jersey signed by the entire Brazil squad at today's press conference - http://t.co/nzT‚Ä¶",FALSE,0,NA,2014-07-13 23:55:17,FALSE,NA,"488471757293367296",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","slaylikejdb",389,TRUE,FALSE,NA,NA
"8","Neymar: Brazil Home Jersey 2014 / 2015 - S: SUPPORT YOUR TEAM IN THE WORLD LARGEST SPORT EVENT. OFFICIAL NIKE AND TEA http://t.co/xhnZlWuOSv",FALSE,0,NA,2014-07-13 23:52:12,FALSE,NA,"488470982567677953",NA,"<a href=""http://amazon.com/?tag=i-us-20"" rel=""nofollow"">Info Us</a>","Info__Us",0,FALSE,FALSE,NA,NA
"9","couldn't find a neymar jersey, so i bought a brazil t-shirt and ironed on neymar's name and number...‚Ä¶ http://t.co/vBjX0el4nc",FALSE,0,NA,2014-07-13 23:47:46,FALSE,NA,"488469867801366529",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","wittlemelody",0,FALSE,FALSE,"-81.2784484","28.76945584"
"10","RT @DerinAdebayo: The Germans held Marco Reus jersey after receiving the world cup, Brazil held Neymar's jersey before receiving 7 goals",FALSE,0,NA,2014-07-13 23:45:53,FALSE,NA,"488469395727859712",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","Taymie_O",6,TRUE,FALSE,NA,NA
"11","A photo of U.S. And #Bajan singer Rihanna with her prezzie from #Brazil's Neymar JR, a jersey top. #WorldCup2014 http://t.co/JB3sWH9DMM",FALSE,1,NA,2014-07-13 23:45:31,FALSE,NA,"488469303004786688",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JaffaOnline",3,FALSE,FALSE,NA,NA
"12","@zaynftnjr I need a neymar jersey nOW",FALSE,0,"zaynftnjr",2014-07-13 23:42:14,FALSE,"488467864337514496","488468476080955392","547854657","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","zaynftnjr",0,FALSE,FALSE,NA,NA
"13","RT @FootbaIIFunny: In honor of Neymar we are giving away his jersey! 
To be entered u MUST follow @BashingFut &amp; ME, RETWEET when done! http‚Ä¶",FALSE,0,NA,2014-07-13 23:40:27,FALSE,NA,"488468025717575680",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","sarahgbl",854,TRUE,FALSE,NA,NA
"14","RT @DerinAdebayo: The Germans held Marco Reus jersey after receiving the world cup, Brazil held Neymar's jersey before receiving 7 goals",FALSE,0,NA,2014-07-13 23:37:02,FALSE,NA,"488467168544448513",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","coolswagas",6,TRUE,FALSE,NA,NA
"15","RT @stratfordbeau: Rihanna poses with a Neymar Brazil jersey. http://t.co/kkMROJjy1p",FALSE,0,NA,2014-07-13 23:36:29,FALSE,NA,"488467028341448704",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NeymarSaves",9,TRUE,FALSE,NA,NA
"16","Man alive! Neymar 2014 World Cup Jersey Brazil Home Sz Small with Patches Brand New Yellow:  $71.00 (7 Bids)En... http://t.co/ZunLmkTu9w",FALSE,0,NA,2014-07-13 23:36:13,FALSE,NA,"488466960653373440",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","bluescomedy",0,FALSE,FALSE,NA,NA
"17","More great choices: Neymar 2014 World Cup Jersey Brazil Home Sz Small with Patches Brand New Yellow:  $71.00 (... http://t.co/zyMWKcJO8q",FALSE,0,NA,2014-07-13 23:36:11,FALSE,NA,"488466951287472130",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","FreeAdsonFilibi",0,FALSE,FALSE,NA,NA
"18","RT @DerinAdebayo: The Germans held Marco Reus jersey after receiving the world cup, Brazil held Neymar's jersey before receiving 7 goals",FALSE,0,NA,2014-07-13 23:35:49,FALSE,NA,"488466862074646528",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LadeJinaduMD",6,TRUE,FALSE,NA,NA
"19","YES OSCAR BRAZIL JERSEY AND NEYMAR FCB JERSEY YOU ARE MINE",FALSE,1,NA,2014-07-13 23:35:33,FALSE,NA,"488466793342586880",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jcrewniall",0,FALSE,FALSE,NA,NA
"20","RT @stratfordbeau: Rihanna poses with a Neymar Brazil jersey. http://t.co/kkMROJjy1p",FALSE,0,NA,2014-07-13 23:34:33,FALSE,NA,"488466541160452096",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","sachi_618",9,TRUE,FALSE,NA,NA
"21","When is my Neymar jersey going to come in the mail?Ì†ΩÌ≤î",FALSE,1,NA,2014-07-13 23:33:35,FALSE,NA,"488466299945635841",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Madison_bell11",0,FALSE,FALSE,NA,NA
"22","RT @DerinAdebayo: The Germans held Marco Reus jersey after receiving the world cup, Brazil held Neymar's jersey before receiving 7 goals",FALSE,0,NA,2014-07-13 23:33:16,FALSE,NA,"488466219247599617",NA,"<a href=""http://www.writelonger.com"" rel=""nofollow"">Write Longer</a>","Dola_Fagsam",6,TRUE,FALSE,NA,NA
