"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@squid_with_ink messi is a great phenomenal player ............ With a Barcelona jersey on ... Robben was Jesus in this cup !!",FALSE,0,"squid_with_ink",2014-07-13 23:44:32,FALSE,"488468784131616768","488469056085704704","40452789","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ILoveJesusWater",0,FALSE,FALSE,NA,NA
"2","@Lord_TCW only if I had a Robben jersey.....",FALSE,0,"Lord_TCW",2014-07-13 22:31:26,FALSE,"488450173257805824","488450659138551808","293515000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","XtremeStyles_",0,FALSE,FALSE,NA,NA
"3","Robben is staying with Bayern. The life of my Robben jersey is no longer in jeopardy",FALSE,2,NA,2014-07-13 22:26:01,FALSE,NA,"488449295859720192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tanmannie",0,FALSE,FALSE,NA,NA
"4","30% off the bayern shop making me wanna get my gotze robben neuer lewa and muller jersey Ì†ΩÌ∏üÌ†ΩÌ∏üÌ†ΩÌ∏ü",FALSE,1,NA,2014-07-13 22:21:22,FALSE,NA,"488448124038303744",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JulioSoDope",0,FALSE,FALSE,NA,NA
"5","Still gonna cop me a Robben Jersey. Them blue ones they wore against Brazil are ill as fuck.",FALSE,3,NA,2014-07-13 22:13:42,FALSE,NA,"488446194754916352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","willstuhh",0,FALSE,FALSE,NA,NA
"6","RT @ThaWorldCup: RT for a chance to win a #Robben #NED Jersey! (Must get 500 RT and we'll select one person at random) winner DM'd. http://‚Ä¶",FALSE,0,NA,2014-07-13 22:08:21,FALSE,NA,"488444848824147968",NA,"<a href=""http://ninjawin.com"" rel=""nofollow"">Ninjawin</a>","bigdc76",328,TRUE,FALSE,NA,NA
"7","Ima get a Robben jersey",FALSE,2,NA,2014-07-13 21:58:38,FALSE,NA,"488442402688868353",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DonSmooove",0,FALSE,FALSE,NA,NA
"8","Robben's gonna come on for Germany in a Bayern jersey to dive and win them a penalty. Watch.",FALSE,0,NA,2014-07-13 21:17:06,FALSE,NA,"488431952383729665",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DollaSign",0,FALSE,FALSE,NA,NA
"9","If the Netherlands had made it to the final instead, I would've worn Robben's Bayern Munich jersey just to mess witchu all. #WorldCupFinal",FALSE,2,NA,2014-07-13 20:44:38,FALSE,NA,"488423781975597056",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","zayedk88",0,FALSE,FALSE,NA,NA
"10","Hey, Robben is wearing a Messi jersey!",FALSE,1,NA,2014-07-13 20:34:02,FALSE,NA,"488421111647182848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cmarcola19",0,FALSE,FALSE,NA,NA
"11","RT @bryandafiend: Wonder if my girlfriend would buy me a Robben jersey Ì†ΩÌ∏ä",FALSE,0,NA,2014-07-13 19:56:21,FALSE,NA,"488411628606476288",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","State_oF_mind_",2,TRUE,FALSE,NA,NA
"12","‚Äú@bryandafiend: Wonder if my girlfriend would buy me a Robben jersey Ì†ΩÌ∏ä‚Äù I would give you a good punch in the jaw, that's free baby Ì†ΩÌ∏ò",FALSE,2,"bryandafiend",2014-07-13 19:55:35,FALSE,"488410853218082816","488411438059229184","1566369626","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alejandrug_",0,FALSE,FALSE,NA,NA
"13","RT @bryandafiend: Wonder if my girlfriend would buy me a Robben jersey Ì†ΩÌ∏ä",FALSE,0,NA,2014-07-13 19:55:16,FALSE,NA,"488411358178721792",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Daddie_Rosa",2,TRUE,FALSE,NA,NA
"14","Wonder if my girlfriend would buy me a Robben jersey Ì†ΩÌ∏ä",FALSE,0,NA,2014-07-13 19:53:16,FALSE,NA,"488410853218082816",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iŒüS</a>","bryandafiend",2,FALSE,FALSE,NA,NA
"15","Robben wearing a Lavezzi jersey today?",FALSE,1,NA,2014-07-13 19:33:34,FALSE,NA,"488405898243891200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dbarrett22",0,FALSE,FALSE,NA,NA
"16","RT @JordiSpijker: I guess Robben also had a say in the new Bayern Away jersey... #dutchflag #bayern #Robben #twelftal #WorldCup http://t.co‚Ä¶",FALSE,0,NA,2014-07-13 19:31:21,FALSE,NA,"488405340481155074",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","zjbmol",1,TRUE,FALSE,NA,NA
"17","RT @ThaWorldCup: RT for a chance to win a #Robben #NED Jersey! (Must get 500 RT and we'll select one person at random) winner DM'd. http://‚Ä¶",FALSE,0,NA,2014-07-13 19:23:32,FALSE,NA,"488403370433327104",NA,"<a href=""http://ninjawin.com"" rel=""nofollow"">Ninjawin</a>","jackybobs",328,TRUE,FALSE,NA,NA
"18","Is that Robben in a Germany Jersey?  Lmao floppin ass",FALSE,0,NA,2014-07-13 19:17:21,FALSE,NA,"488401814878818304",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","84_jd",0,FALSE,FALSE,NA,NA
"19","I guess Robben also had a say in the new Bayern Away jersey... #dutchflag #bayern #Robben #twelftal #WorldCup http://t.co/J95sLtSXLn",FALSE,1,NA,2014-07-13 19:12:16,FALSE,NA,"488400535394201600",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JordiSpijker",1,FALSE,FALSE,NA,NA
"20","RT @Futbol4lifee: in honor of Arjen Robben we are giving away his jersey.
To Enter: u MUST follow me and @Eatsleepplay45 Retweet this! http‚Ä¶",FALSE,0,NA,2014-07-13 19:07:30,FALSE,NA,"488399335235661825",NA,"<a href=""http://twitterbutler.com"" rel=""nofollow"">„ÉÑ„Ç§„ÉÉ„Çø„ÉºÂü∑‰∫ã„Éª„Å§„ÅÑÁà∫</a>","lukgea",277,TRUE,FALSE,NA,NA
"21","RT @2014_WorIdCup: One person to RETWEET and FOLLOW will win this Arjen Robben jersey. (Must be following so i can dm) http://t.co/ETDShQZv‚Ä¶",FALSE,0,NA,2014-07-13 19:07:09,FALSE,NA,"488399248086806531",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wayfastwhitey26",868,TRUE,FALSE,NA,NA
"22","RT @Futbol4lifee: in honor of Arjen Robben we are giving away his jersey.
To Enter: u MUST follow me and @Eatsleepplay45 Retweet this! http‚Ä¶",FALSE,0,NA,2014-07-13 18:57:08,FALSE,NA,"488396727419142145",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SweetRalph",277,TRUE,FALSE,NA,NA
"23","RT @ThaWorldCup: RT for a chance to win a #Robben #NED Jersey! (Must get 500 RT and we'll select one person at random) winner DM'd. http://‚Ä¶",FALSE,0,NA,2014-07-13 18:57:08,FALSE,NA,"488396727117168640",NA,"<a href=""http://ninjawin.com"" rel=""nofollow"">Ninjawin</a>","Lisabak88240175",328,TRUE,FALSE,NA,NA
"24","RT @Futbol4lifee: in honor of Arjen Robben we are giving away his jersey.
To Enter: u MUST follow me and @Eatsleepplay45 Retweet this! http‚Ä¶",FALSE,0,NA,2014-07-13 18:52:28,FALSE,NA,"488395554637242368",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","Fifa_Life7",277,TRUE,FALSE,NA,NA
"25","RT @Futbol4lifee: in honor of Arjen Robben we are giving away his jersey.
To Enter: u MUST follow me and @Eatsleepplay45 Retweet this! http‚Ä¶",FALSE,0,NA,2014-07-13 18:49:17,FALSE,NA,"488394753940398080",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Chaperman",277,TRUE,FALSE,NA,NA
"26","RT @Futbol4lifee: in honor of Arjen Robben we are giving away his jersey.
To Enter: u MUST follow me and @Eatsleepplay45 Retweet this! http‚Ä¶",FALSE,0,NA,2014-07-13 18:42:59,FALSE,NA,"488393167218020352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ving_Er",277,TRUE,FALSE,NA,NA
"27","RT @Futbol4lifee: in honor of Arjen Robben we are giving away his jersey.
To Enter: u MUST follow me and @Eatsleepplay45 Retweet this! http‚Ä¶",FALSE,0,NA,2014-07-13 18:42:22,FALSE,NA,"488393012620578817",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FBFlintegaard",277,TRUE,FALSE,NA,NA
"28","RT @Futbol4lifee: in honor of Arjen Robben we are giving away his jersey.
To Enter: u MUST follow me and @Eatsleepplay45 Retweet this! http‚Ä¶",FALSE,0,NA,2014-07-13 18:42:01,FALSE,NA,"488392922547892227",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mikeall76",277,TRUE,FALSE,NA,NA
"29","RT @Futbol4lifee: in honor of Arjen Robben we are giving away his jersey.
To Enter: u MUST follow me and @Eatsleepplay45 Retweet this! http‚Ä¶",FALSE,0,NA,2014-07-13 18:41:55,FALSE,NA,"488392897331740672",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","futbol_365",277,TRUE,FALSE,NA,NA
"30","RT @Futbol4lifee: in honor of Arjen Robben we are giving away his jersey.
To Enter: u MUST follow me and @Eatsleepplay45 Retweet this! http‚Ä¶",FALSE,0,NA,2014-07-13 18:41:08,FALSE,NA,"488392702849859584",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CoachTommyL",277,TRUE,FALSE,NA,NA
"31","RT @Futbol4lifee: in honor of Arjen Robben we are giving away his jersey.
To Enter: u MUST follow me and @Eatsleepplay45 Retweet this! http‚Ä¶",FALSE,0,NA,2014-07-13 18:40:59,FALSE,NA,"488392663100829696",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MarcClark1",277,TRUE,FALSE,NA,NA
"32","RT @Futbol4lifee: in honor of Arjen Robben we are giving away his jersey.
To Enter: u MUST follow me and @Eatsleepplay45 Retweet this! http‚Ä¶",FALSE,0,NA,2014-07-13 18:40:45,FALSE,NA,"488392602689863680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kay_rule",277,TRUE,FALSE,NA,NA
"33","RT @Futbol4lifee: in honor of Arjen Robben we are giving away his jersey.
To Enter: u MUST follow me and @Eatsleepplay45 Retweet this! http‚Ä¶",FALSE,0,NA,2014-07-13 18:40:13,FALSE,NA,"488392471161106433",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AliOverton11",277,TRUE,FALSE,NA,NA
"34","RT @Futbol4lifee: in honor of Arjen Robben we are giving away his jersey.
To Enter: u MUST follow me and @Eatsleepplay45 Retweet this! http‚Ä¶",FALSE,0,NA,2014-07-13 17:54:08,FALSE,NA,"488380872014327809",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mohamedd_Nazrul",277,TRUE,FALSE,NA,NA
"35","Robben rules out Man Utd move. Did we want him? I can't think of anything worse than him competing in the diving championships in our jersey",FALSE,0,NA,2014-07-13 17:51:16,FALSE,NA,"488380153584943105",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EQuinn1991",0,FALSE,FALSE,NA,NA
"36","@NartSouqar25 Chill, get a Chelsea robben jersey. Ì†ΩÌ±ç",FALSE,1,"NartSouqar25",2014-07-13 17:44:20,FALSE,"488377537396215808","488378405617152000","629918763","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nawrezj",0,FALSE,FALSE,NA,NA
"37","I want a FC Bayern Munich robben jersey lol",FALSE,0,NA,2014-07-13 17:40:53,FALSE,NA,"488377537396215808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NartSouqar25",0,FALSE,FALSE,NA,NA
"38","@supersporttv robben please come to red devils ur Jersey will still be red",FALSE,0,"SuperSportTV",2014-07-13 17:32:43,FALSE,"488342122165440513","488375483177111552","29930178","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","Ikewatters",0,FALSE,FALSE,NA,NA
"39","RT @2014_WorIdCup: One person to RETWEET and FOLLOW will win this Arjen Robben jersey. (Must be following so i can dm) http://t.co/ETDShQZv‚Ä¶",FALSE,0,NA,2014-07-13 17:17:29,FALSE,NA,"488371649066979331",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","a_jcowger",868,TRUE,FALSE,NA,NA
"40","I still need to get me a Robben Hood jersey #11 cus he is a savage in the soccer field and was definitely the best player of the world cup",FALSE,1,NA,2014-07-13 16:50:04,FALSE,NA,"488364752276451329",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","immaculate1jm",0,FALSE,FALSE,NA,NA
