"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Proudly wearing my Ronaldo jersey into tops",FALSE,2,NA,2014-07-13 23:58:46,FALSE,NA,"488472635051741184",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SamLewis4",0,FALSE,FALSE,NA,NA
"2","RT @BabarMallik: #Messi with #Israel but #Ronaldo the Hero refused to exchange jersey with Israeli player 2 condemn attack on #Gaza http://…",FALSE,0,NA,2014-07-13 23:51:48,FALSE,NA,"488470881136439296",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MuetZakir",258,TRUE,FALSE,NA,NA
"3","RT @DrF_Ali: Ronaldo refuses to exchange jersey with Israeli player,bearing Israeli flag,during friendly playoff b4 World Cup 2014
http://t…",FALSE,0,NA,2014-07-13 23:43:20,FALSE,NA,"488468751290208257",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","jamilu1984",11,TRUE,FALSE,NA,NA
"4","I'll have to wait another 4 years to retire my 2006 Ronaldo jersey. I'm just waiting for that 6th star. #WorldChampions #WorldCup2014",FALSE,0,NA,2014-07-13 23:33:18,FALSE,NA,"488466225761378304",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DeeTeeVee",0,FALSE,FALSE,NA,NA
"5","RT @SaqibMasoodPK: Ronaldo refused to wear #Isreal’s jersey in support for #Palestine http://t.co/QMo9muHudq",FALSE,0,NA,2014-07-13 23:33:13,FALSE,NA,"488466207801352192",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NajimeY",49,TRUE,FALSE,NA,NA
"6","RT @B0MBAYCH0PRA: Cristiano Ronaldo refuses to exchange Jersey with Israel players! Respect! ❤ #PrayforGaza http://t.co/uONFEtMAhu",FALSE,0,NA,2014-07-13 23:17:00,FALSE,NA,"488462125874950144",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JiaMenggg",189,TRUE,FALSE,NA,NA
"7","RT @BabarMallik: #Messi with #Israel but #Ronaldo the Hero refused to exchange jersey with Israeli player 2 condemn attack on #Gaza http://…",FALSE,0,NA,2014-07-13 23:10:31,FALSE,NA,"488460491925102592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KerenIbgui",258,TRUE,FALSE,NA,NA
"8","RT @BabarMallik: #Messi with #Israel but #Ronaldo the Hero refused to exchange jersey with Israeli player 2 condemn attack on #Gaza http://…",FALSE,0,NA,2014-07-13 23:10:16,FALSE,NA,"488460431334178816",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Ash_Cebuuuun",258,TRUE,FALSE,NA,NA
"9","http://t.co/L63BIAhtww #2: Youth RONALDO # 7 PORTUGAL World Cup Home jersey with shorts -Many sizes/ages

Youth... http://t.co/TP9W3Z75Pt",FALSE,0,NA,2014-07-13 23:07:33,FALSE,NA,"488459747243204608",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","TristaE6",0,FALSE,FALSE,NA,NA
"10","Ronaldo refused to wear the Israel's jersey in support for Palestine.
#FreePalestine #FIFA2014",FALSE,0,NA,2014-07-13 23:05:38,FALSE,NA,"488459262733979648",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MalindaVillapla",0,FALSE,FALSE,NA,NA
