"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Christie agency awarded $260m to politically connected New Jersey firm | World news | http://t.co/icnVuJ2Y29 http://t.co/FRxv6z1vO7",FALSE,0,NA,2014-07-13 21:00:14,FALSE,NA,"488427708821823488",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Antonio_P_Ruiz",0,FALSE,FALSE,NA,NA
"2","RT @worldsoccershop: CONTEST (1/5) 
If #GER beat #ARG we'll give away a Commemorative #Germany Final jersey. Follow &amp; RT to enter! #allin h…",FALSE,0,NA,2014-07-13 20:21:45,FALSE,NA,"488418023682760704",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ruiz_geovany",10677,TRUE,FALSE,NA,NA
"3","RT @worldsoccershop: CONTEST (2/5)
If #ARG beat #GER we'll give away a Commemorative #Argentina Final jersey. Follow &amp; RT to enter! #allin …",FALSE,0,NA,2014-07-13 20:21:41,FALSE,NA,"488418004393144320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ruiz_geovany",9355,TRUE,FALSE,NA,NA
"4","RT @anthonyladao: So Germany and Argentina...Germany is a great team love the way they play, but I'm rocking my Messi jersey today. http://…",FALSE,0,NA,2014-07-13 19:22:40,FALSE,NA,"488403152757354499",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ruiz_merlin",1092,TRUE,FALSE,NA,NA
"5","RT @SoccerrUniverse: If #ARG win the World Cup today we'll giveaway a #Messi Jersey. Retweet and Follow to enter. http://t.co/PY9W73XHh5",FALSE,0,NA,2014-07-13 19:20:05,FALSE,NA,"488402503986196480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","elsi_ruiz",813,TRUE,FALSE,NA,NA
"6","RT @BleacherReport: A Cavaliers fan's jersey reflects his change of heart regarding LeBron James http://t.co/mDvQ7oqMvQ",FALSE,0,NA,2014-07-13 19:16:03,FALSE,NA,"488401486079328259",NA,"<a href=""http://expertadvice.tk/raven"" rel=""nofollow"">twtdom12</a>","Ruiz_10743",56,TRUE,FALSE,NA,NA
"7","RT @worldsoccershop: CONTEST (1/5) 
If #GER beat #ARG we'll give away a Commemorative #Germany Final jersey. Follow &amp; RT to enter! #allin h…",FALSE,0,NA,2014-07-13 18:35:30,FALSE,NA,"488391284072013824",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ruiz_586",10677,TRUE,FALSE,NA,NA
"8","RT @worldsoccershop: CONTEST (1/5) 
If #GER beat #ARG we'll give away a Commemorative #Germany Final jersey. Follow &amp; RT to enter! #allin h…",FALSE,0,NA,2014-07-13 18:23:42,FALSE,NA,"488388314903642112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","yamileth_ruiz",10677,TRUE,FALSE,NA,NA
"9","Congrats for the yellow jersey @tonygallopin!! Fabian and Machado also helped you in that!! #RadioshackRiders #TDF",FALSE,1,NA,2014-07-13 16:38:00,FALSE,NA,"488361712509546496",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Ruiz_X14",0,FALSE,FALSE,NA,NA
"10","RT @MattFontana83: In the span of 30 seconds I saw a Johnny jersey and a lebron jersey at shooters..... Welcome to the new CLE #CavsGoodKar…",FALSE,0,NA,2014-07-13 08:09:52,FALSE,NA,"488233838024605696",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","King_Ruiz",6,TRUE,FALSE,NA,NA
