"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @FonzyTheKid: I think I'm gonna get a Sch√ºrrle jersey and see if anyone mistakes me for him.",FALSE,0,NA,2014-07-13 23:39:22,FALSE,NA,"488467752353792001",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cardugggx",1,TRUE,FALSE,NA,NA
"2","Congrats my man @Andre_Schuerrle :) see you next month with Chelsea jersey :) #KTBFFH http://t.co/vMeKSC2YZh",FALSE,0,NA,2014-07-13 23:02:43,FALSE,NA,"488458532040081408",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","adryanfirms",1,FALSE,FALSE,"101.44528143","0.57386945"
"3","@oscar11 jersey no 11, @hazardeden10 jersey no 10, @Andre_Schuerrle jersey no 14 , all the number is my fav. Good luck with @chelseafc guys.",FALSE,0,"oscar11",2014-07-13 22:37:56,FALSE,NA,"488452293964988417","2533070650","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","n_imny",0,FALSE,FALSE,NA,NA
"4","@Andre_Schuerrle congrats! Now yu got the trophy as I prayed, me getting your winning jersey is left to yu now.. @Cjmuokwe wha ya say?",FALSE,0,"Andre_Schuerrle",2014-07-13 22:28:34,FALSE,NA,"488449935608922114","368220699","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ogbughalumc",0,FALSE,FALSE,NA,NA
"5","I think I'm gonna get a Sch√ºrrle jersey and see if anyone mistakes me for him.",FALSE,3,NA,2014-07-13 22:22:25,FALSE,NA,"488448388753788928",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FonzyTheKid",1,FALSE,FALSE,NA,NA
"6","Yaa ne ""@Ms_Nkitse: Andre Schuerrle RT Malozah: Germany jersey 9 Chelsea has a player indd""",FALSE,0,NA,2014-07-13 22:07:11,FALSE,NA,"488444555742941184",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry¬Æ</a>","Malozah",0,FALSE,FALSE,NA,NA
"7","Now I need to get my @Andre_Schuerrle jersey Ì†ΩÌπå",FALSE,0,NA,2014-07-13 21:54:34,FALSE,NA,"488441380357046273",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alexisss18_",0,FALSE,FALSE,"-73.55503187","40.70397376"
"8","Next Chelsea jersey will come down to Hazard or Sch√ºrrle #CFC",FALSE,1,NA,2014-07-13 21:48:40,FALSE,NA,"488439893891104769",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shivalive1",0,FALSE,FALSE,NA,NA
"9","I'm getting a SCH√úRRLE jersey, fam....lol #GER #ChelseaFC",FALSE,0,NA,2014-07-13 21:44:06,FALSE,NA,"488438745721765888",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","inspectah94",0,FALSE,FALSE,NA,NA
"10","Great play @Andre_Schuerrle ! Devastating in front of the goal, provide an assist for the 4th star on Germany Jersey. #CFCinBrazil",FALSE,0,NA,2014-07-13 21:42:44,FALSE,NA,"488438402274951170",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","victorlombo",0,FALSE,FALSE,"124.8362451","1.4853737"
