"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Real HouseWives Of New Jersey Ì†ΩÌ≤Å #Bravo @melissagorga teresagiudice @ http://t.co/KCOaJwBMbE http://t.co/0dKWHXcxdU",FALSE,0,NA,2014-07-13 23:41:59,FALSE,NA,"488468412310777856",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","OhSnapItzDaniel",0,FALSE,FALSE,"-75.04809584","40.02712158"
"2","Been wearing my ""Free Tre"" shirt all day in anticipation of the new season of ""Real Housewives of New Jersey"" tonight! #RHONJ #Bravo",FALSE,1,NA,2014-07-13 23:21:46,FALSE,NA,"488463325764648960",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Official_Kara",0,FALSE,FALSE,NA,NA
"3","I'm planning to watch The Real Housewives of New Jersey on Bravo, 8:00 PM. #beamly http://t.co/FDJsftqlz1",FALSE,0,NA,2014-07-13 23:08:35,FALSE,NA,"488460008854540288",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","Redcoat34",0,FALSE,FALSE,NA,NA
"4","G√ñTZE holding up Reus's jersey so sad",FALSE,0,NA,2014-07-13 22:08:15,FALSE,NA,"488444821779275776",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","ono_bravo",0,FALSE,FALSE,NA,NA
"5","Gotze lifting Reus jersey!",FALSE,0,NA,2014-07-13 22:07:40,FALSE,NA,"488444674915319808",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bravo_ThePimp",0,FALSE,FALSE,NA,NA
"6","RT @MerbearMarie: @heysamarnold do you know what today is?!?!? It's finally here!!! Real Housewives of New Jersey #RHONJ #Bravo #TeamTeresa",FALSE,0,NA,2014-07-13 21:59:04,FALSE,NA,"488442512139223042",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","heysamarnold",1,TRUE,FALSE,NA,NA
"7","They're back!! Don't miss the season premiere of RHONJ tonight on Bravo! http://t.co/g4A8XxY9AI",FALSE,0,NA,2014-07-13 21:40:16,FALSE,NA,"488437781614854145",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","GroveTroy",0,FALSE,FALSE,NA,NA
"8","REAL HOUSEWIVES OF NEW JERSEY PREMIERE TONIGHT !!!!!! Ì†ΩÌ≤ã #RHONJ #Bravo",FALSE,1,NA,2014-07-13 21:19:03,FALSE,NA,"488432441393422336",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kaylynkutchie",0,FALSE,FALSE,NA,NA
"9","RT @moisesvega_: Most likely the last time ever he walks off the field with that jersey #ThankYouKlose http://t.co/udG8yKQEMq",FALSE,0,NA,2014-07-13 20:54:38,FALSE,NA,"488426295462608897",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fabrizio_bravo",8,TRUE,FALSE,NA,NA
"10","I'm watching The Real Housewives of New Jersey on Bravo. #beamly http://t.co/b4ZTzCQzLu",FALSE,0,NA,2014-07-13 20:40:52,FALSE,NA,"488422832762679297",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","ushouldthnkpnk",0,FALSE,FALSE,NA,NA
"11","@Andy something is wrong with the bravo channel in jersey (cablevision) keeps losing video momentarily but audio stays on",FALSE,0,"Andy",2014-07-13 20:29:43,FALSE,NA,"488420028963127296","48100887","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","emrjayy",0,FALSE,FALSE,NA,NA
"12","My girls are back tonight! #RHONJ #JerseyHousewives #Jersey #BravoTV #Bravo http://t.co/NMQvObzoZJ",FALSE,1,NA,2014-07-13 20:21:58,FALSE,NA,"488418075688321024",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","omgitspatlong",0,FALSE,FALSE,NA,NA
"13","I'm planning to watch The Real Housewives of New Jersey on Bravo, 8:00 PM. #beamly http://t.co/EOkeZwkQEr",FALSE,0,NA,2014-07-13 20:07:22,FALSE,NA,"488414400982700033",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","ushouldthnkpnk",0,FALSE,FALSE,NA,NA
"14","RT @worldsoccershop: CONTEST (1/5) 
If #GER beat #ARG we'll give away a Commemorative #Germany Final jersey. Follow &amp; RT to enter! #allin h‚Ä¶",FALSE,0,NA,2014-07-13 18:57:34,FALSE,NA,"488396835346591745",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","ono_bravo",10677,TRUE,FALSE,NA,NA
"15","""The Real Housewives of New Jersey"" airs Sundays at 8 p.m. ET/PT on Bravo.   Video: Watch clip http://t.co/e2tLZi6wAf",FALSE,0,NA,2014-07-13 17:41:51,FALSE,NA,"488377780552228864",NA,"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","loveduranduran1",0,FALSE,FALSE,NA,NA
"16","RT @AsSalawat: Cristiano Ronaldo refuses to exchange jersey with Israel players. Bravo! Read &amp; Watch Video &gt; http://t.co/w9lpvSe8e0 http://‚Ä¶",FALSE,0,NA,2014-07-13 17:29:45,FALSE,NA,"488374735349497856",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SunniTvChannel",19,TRUE,FALSE,NA,NA
"17","RT @eva_arsenal: So so happy for @tonygallopin and his yellow jersey. Bravo! Enjoy the feelings tomorrow!",FALSE,0,NA,2014-07-13 17:17:42,FALSE,NA,"488371703677190145",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","thefourcade",1,TRUE,FALSE,NA,NA
"18","So so happy for @tonygallopin and his yellow jersey. Bravo! Enjoy the feelings tomorrow!",FALSE,0,NA,2014-07-13 17:17:20,FALSE,NA,"488371612698542080",NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for  Android</a>","eva_arsenal",1,FALSE,FALSE,NA,NA
"19","Bravo Tony Martin for this victory ! Congratulation Tony Gallopin (former teammate) for the yellow jersey ! :)... http://t.co/h45nkQ0izy",FALSE,0,NA,2014-07-13 16:50:27,FALSE,NA,"488364845251977216",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","LeBiavantRomain",0,FALSE,FALSE,NA,NA
"20","RT @letour: Bravo @tonygallopin nouveau @MaillotjauneLCL / new yellow jersey holder #TDF http://t.co/1UOS0hRbYZ",FALSE,0,NA,2014-07-13 16:36:59,FALSE,NA,"488361459584618496",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BESportsConsult",0,FALSE,FALSE,NA,NA
"21","@MKandMarma Bravo. Premieres the same night as The Real Housewives of New Jersey.",FALSE,0,"MKandMarma",2014-07-13 16:31:01,FALSE,"488359647946895360","488359955767246849","272785056","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LindseySmith818",0,FALSE,FALSE,NA,NA
"22","‚Äú@Lotto_Belisol: THE yellow jersey! @tonygallopin @Roussemarion http://t.co/tB6AxAgw7e‚Äù Bravo @tonygallopin ! Cc @Roussemarion",FALSE,0,"Lotto_Belisol",2014-07-13 16:17:03,FALSE,"488349044864204801","488356441284427776","74688840","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SebastienLmt",0,FALSE,FALSE,NA,NA
"23","My passionate ! #Jersey #germany #worldcup2014 #final #derpanzer #deutschland #bravo http://t.co/TgxiVTuRuc",FALSE,0,NA,2014-07-13 15:42:39,FALSE,NA,"488347785540800512",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","rapika30",0,FALSE,FALSE,NA,NA
"24","Well deserved yellow jersey for @tonygallopin. Bravo! #tdf",FALSE,0,NA,2014-07-13 15:33:01,FALSE,NA,"488345360822456320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WesHellyar",0,FALSE,FALSE,NA,NA
"25","@heysamarnold do you know what today is?!?!? It's finally here!!! Real Housewives of New Jersey #RHONJ #Bravo #TeamTeresa",FALSE,2,"heysamarnold",2014-07-13 15:07:20,FALSE,NA,"488338895965134849","37430694","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MerbearMarie",1,FALSE,FALSE,NA,NA
