"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @footballkitnews: Petr Cech's uniform for Chelsea next season #CFC #newgoalieshirt #Adidas #Courtois http://t.co/4LzKbxwVub http://t.co/…",FALSE,0,NA,2014-07-16 08:34:53,FALSE,NA,"489327294922514432",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ismailis7",5,TRUE,FALSE,NA,NA
"2","I would've loved to see Courtois in a RM jersey tho",FALSE,0,NA,2014-07-16 05:27:40,FALSE,NA,"489280182402826240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ericisthebatman",0,FALSE,FALSE,NA,NA
"3","@BlueOutlaws being a goalie I'll probably grab a Courtois jersey as well",FALSE,0,"BlueOutlaws",2014-07-16 01:17:09,FALSE,"489216968999075840","489217139010596865","16225982","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","brandenfuller15",0,FALSE,FALSE,NA,NA
"4","RT @footballkitnews: Petr Cech's uniform for Chelsea next season #CFC #newgoalieshirt #Adidas #Courtois http://t.co/4LzKbxwVub http://t.co/…",FALSE,0,NA,2014-07-16 08:34:53,FALSE,NA,"489327294922514432",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ismailis7",5,TRUE,FALSE,NA,NA
"5","I would've loved to see Courtois in a RM jersey tho",FALSE,0,NA,2014-07-16 05:27:40,FALSE,NA,"489280182402826240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ericisthebatman",0,FALSE,FALSE,NA,NA
"6","@BlueOutlaws being a goalie I'll probably grab a Courtois jersey as well",FALSE,0,"BlueOutlaws",2014-07-16 01:17:09,FALSE,"489216968999075840","489217139010596865","16225982","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","brandenfuller15",0,FALSE,FALSE,NA,NA
"7","Petr Cech is still expected to leave, possibly to Monaco or PSG. Thibaut Courtois will wear no 01 jersey next season #CFC",FALSE,1,NA,2014-07-18 23:22:47,FALSE,NA,"490275519846293504",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ha_cn",0,FALSE,FALSE,NA,NA
"8","As much as I like Courtois to start next season in goal, I want Cech to retain the No.1 jersey. That's the privilege the legend deserves.",FALSE,1,NA,2014-07-18 16:04:20,FALSE,NA,"490165179091398657",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Me_ArunR",0,FALSE,FALSE,NA,NA
"9","Petr Cech is still expected to leave, possibly to Monaco or PSG. Thibaut Courtois will wear no 01 jersey next season #CFC",FALSE,1,NA,2014-07-18 23:22:47,FALSE,NA,"490275519846293504",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ha_cn",0,FALSE,FALSE,NA,NA
"10","As much as I like Courtois to start next season in goal, I want Cech to retain the No.1 jersey. That's the privilege the legend deserves.",FALSE,1,NA,2014-07-18 16:04:20,FALSE,NA,"490165179091398657",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Me_ArunR",0,FALSE,FALSE,NA,NA
