"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","“@Amoskeytoe: Abegi if 9ja had won, platini fit even ask Musa 4 jersey”...na Enyeama glove",FALSE,0,"Amoskeytoe",2014-07-13 22:40:57,FALSE,"488452769482022913","488453054933368834","198814418","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Ji_Baller",0,FALSE,FALSE,NA,NA
"2","Ehen! Btw Nigeria should take the no 10 jersey of Mikel and leave it empty or switch it with Enyeama...1 for 10",FALSE,0,NA,2014-07-13 20:32:30,FALSE,NA,"488420725704126464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OgaUch3Str33tz",0,FALSE,FALSE,"7.00573549","4.89785347"
"3","“@Amoskeytoe: Abegi if 9ja had won, platini fit even ask Musa 4 jersey”...na Enyeama glove",FALSE,0,"Amoskeytoe",2014-07-13 22:40:57,FALSE,"488452769482022913","488453054933368834","198814418","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Ji_Baller",0,FALSE,FALSE,NA,NA
"4","Ehen! Btw Nigeria should take the no 10 jersey of Mikel and leave it empty or switch it with Enyeama...1 for 10",FALSE,0,NA,2014-07-13 20:32:30,FALSE,NA,"488420725704126464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OgaUch3Str33tz",0,FALSE,FALSE,"7.00573549","4.89785347"
"5","“@Amoskeytoe: Abegi if 9ja had won, platini fit even ask Musa 4 jersey”...na Enyeama glove",FALSE,0,"Amoskeytoe",2014-07-13 22:40:57,FALSE,"488452769482022913","488453054933368834","198814418","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Ji_Baller",0,FALSE,FALSE,NA,NA
"6","Ehen! Btw Nigeria should take the no 10 jersey of Mikel and leave it empty or switch it with Enyeama...1 for 10",FALSE,0,NA,2014-07-13 20:32:30,FALSE,NA,"488420725704126464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OgaUch3Str33tz",0,FALSE,FALSE,"7.00573549","4.89785347"
"7","“@Amoskeytoe: Abegi if 9ja had won, platini fit even ask Musa 4 jersey”...na Enyeama glove",FALSE,0,"Amoskeytoe",2014-07-13 22:40:57,FALSE,"488452769482022913","488453054933368834","198814418","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Ji_Baller",0,FALSE,FALSE,NA,NA
"8","Ehen! Btw Nigeria should take the no 10 jersey of Mikel and leave it empty or switch it with Enyeama...1 for 10",FALSE,0,NA,2014-07-13 20:32:30,FALSE,NA,"488420725704126464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OgaUch3Str33tz",0,FALSE,FALSE,"7.00573549","4.89785347"
"9","“@Amoskeytoe: Abegi if 9ja had won, platini fit even ask Musa 4 jersey”...na Enyeama glove",FALSE,0,"Amoskeytoe",2014-07-13 22:40:57,FALSE,"488452769482022913","488453054933368834","198814418","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Ji_Baller",0,FALSE,FALSE,NA,NA
"10","Ehen! Btw Nigeria should take the no 10 jersey of Mikel and leave it empty or switch it with Enyeama...1 for 10",FALSE,0,NA,2014-07-13 20:32:30,FALSE,NA,"488420725704126464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OgaUch3Str33tz",0,FALSE,FALSE,"7.00573549","4.89785347"
"11","“@Amoskeytoe: Abegi if 9ja had won, platini fit even ask Musa 4 jersey”...na Enyeama glove",FALSE,0,"Amoskeytoe",2014-07-13 22:40:57,FALSE,"488452769482022913","488453054933368834","198814418","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Ji_Baller",0,FALSE,FALSE,NA,NA
"12","Ehen! Btw Nigeria should take the no 10 jersey of Mikel and leave it empty or switch it with Enyeama...1 for 10",FALSE,0,NA,2014-07-13 20:32:30,FALSE,NA,"488420725704126464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OgaUch3Str33tz",0,FALSE,FALSE,"7.00573549","4.89785347"
"13","“@Amoskeytoe: Abegi if 9ja had won, platini fit even ask Musa 4 jersey”...na Enyeama glove",FALSE,0,"Amoskeytoe",2014-07-13 22:40:57,FALSE,"488452769482022913","488453054933368834","198814418","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Ji_Baller",0,FALSE,FALSE,NA,NA
"14","Ehen! Btw Nigeria should take the no 10 jersey of Mikel and leave it empty or switch it with Enyeama...1 for 10",FALSE,0,NA,2014-07-13 20:32:30,FALSE,NA,"488420725704126464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OgaUch3Str33tz",0,FALSE,FALSE,"7.00573549","4.89785347"
