"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Get me a Keyor Navas jersey so I know its real.",FALSE,0,NA,2014-07-13 22:07:41,FALSE,NA,"488444679453569024",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","iYairVilla",0,FALSE,FALSE,NA,NA
"2","Argentinas blue jersey looks amazing! Ì†ΩÌ∏ç",FALSE,1,NA,2014-07-13 18:52:58,FALSE,NA,"488395678825979904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Miteh_Navas",0,FALSE,FALSE,NA,NA
"3","Get me a Keyor Navas jersey so I know its real.",FALSE,0,NA,2014-07-13 22:07:41,FALSE,NA,"488444679453569024",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","iYairVilla",0,FALSE,FALSE,NA,NA
"4","Argentinas blue jersey looks amazing! Ì†ΩÌ∏ç",FALSE,1,NA,2014-07-13 18:52:58,FALSE,NA,"488395678825979904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Miteh_Navas",0,FALSE,FALSE,NA,NA
"5","Get me a Keyor Navas jersey so I know its real.",FALSE,0,NA,2014-07-13 22:07:41,FALSE,NA,"488444679453569024",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","iYairVilla",0,FALSE,FALSE,NA,NA
"6","Argentinas blue jersey looks amazing! Ì†ΩÌ∏ç",FALSE,1,NA,2014-07-13 18:52:58,FALSE,NA,"488395678825979904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Miteh_Navas",0,FALSE,FALSE,NA,NA
"7","Keylor Navas in a Real Madrid Jersey? I think so.",FALSE,2,NA,2014-07-16 18:07:15,FALSE,NA,"489471338147356672",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Albert_Jago",0,FALSE,FALSE,NA,NA
"8","@angie_barrantes I couldn't find a green costa rica NAVAS jersey...so hard to find one...not even in costa rica",FALSE,0,"angie_barrantes",2014-07-16 17:45:10,FALSE,"489465271594123265","489465781013725184","417417504","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JayCald",0,FALSE,FALSE,NA,NA
"9","Look like im copping a Real Madrid NAVAS jersey",FALSE,2,NA,2014-07-16 17:36:24,FALSE,NA,"489463574214238209",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JayCald",0,FALSE,FALSE,NA,NA
"10","Once its official and imm get a Keylor Navas jersey",FALSE,0,NA,2014-07-16 13:20:52,FALSE,NA,"489399267534991361",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","EderChavez7",0,FALSE,FALSE,NA,NA
