"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@Elly4Kyu ‚ô• i should buy you a neuer jersey",FALSE,0,"Elly4Kyu",2014-07-13 23:54:39,FALSE,"488470335667601408","488471600946503680","230698031","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","hanamizukis",0,FALSE,FALSE,NA,NA
"2","Might bring a Celtic jersey to @Manuel_Neuer, because if people wanna bring The Pope a jersey, I'd rather take it to God himself.",FALSE,0,NA,2014-07-13 23:11:35,FALSE,NA,"488460762994974720",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","SourMashNumber7",0,FALSE,FALSE,NA,NA
"3","RT @melancholiclou: 11:11 I WANT NEUER TO TAKE OFF HIS JERSEY AMEN",FALSE,0,NA,2014-07-13 22:59:50,FALSE,NA,"488457805150818306",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","carlotta_s11",52,TRUE,FALSE,NA,NA
"4","Annnnd congrats to Manuel Neuer.. Amazing help this season. Of course getting your jersey :)",FALSE,2,NA,2014-07-13 22:56:18,FALSE,NA,"488456916486856704",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","GermanQueen_xo",0,FALSE,FALSE,NA,NA
"5","Sleeping in my Neuer jersey cause the dudes a fucking beast #GER",FALSE,2,NA,2014-07-13 22:55:05,FALSE,NA,"488456609585446912",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","brom_maddie",0,FALSE,FALSE,NA,NA
"6","RT @melancholiclou: 11:11 I WANT NEUER TO TAKE OFF HIS JERSEY AMEN",FALSE,0,NA,2014-07-13 22:54:20,FALSE,NA,"488456421496074242",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","xjaquelineex",52,TRUE,FALSE,NA,NA
"7","I need a Neuer or G√∂tze jersey with the fourth star!!!!!",FALSE,0,NA,2014-07-13 22:38:56,FALSE,NA,"488452544323416064",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SukiIchigo",0,FALSE,FALSE,NA,NA
"8","RT @melancholiclou: 11:11 I WANT NEUER TO TAKE OFF HIS JERSEY AMEN",FALSE,0,NA,2014-07-13 22:33:37,FALSE,NA,"488451205803544576",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Im_Viktoria_x",52,TRUE,FALSE,NA,NA
"9","RT @melancholiclou: 11:11 I WANT NEUER TO TAKE OFF HIS JERSEY AMEN",FALSE,0,NA,2014-07-13 22:31:15,FALSE,NA,"488450610162065409",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","selinawolf49",52,TRUE,FALSE,NA,NA
"10","RT @melancholiclou: 11:11 I WANT NEUER TO TAKE OFF HIS JERSEY AMEN",FALSE,0,NA,2014-07-13 22:28:39,FALSE,NA,"488449955968065538",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Rebecca_Brooks2",52,TRUE,FALSE,NA,NA
"11","RT @Moonhoez: ""@Renee_Jr5:Now since ima be getting payed good its time for a Quick, Casillas, Ellis, Brady, Iniesta, &amp; a Neuer jersey"" how ‚Ä¶",FALSE,0,NA,2014-07-13 22:22:35,FALSE,NA,"488448429673033728",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ayooo_Jhonny",1,TRUE,FALSE,NA,NA
"12","30% off the bayern shop making me wanna get my gotze robben neuer lewa and muller jersey Ì†ΩÌ∏üÌ†ΩÌ∏üÌ†ΩÌ∏ü",FALSE,1,NA,2014-07-13 22:21:22,FALSE,NA,"488448124038303744",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JulioSoDope",0,FALSE,FALSE,NA,NA
"13","RT @melancholiclou: 11:11 I WANT NEUER TO TAKE OFF HIS JERSEY AMEN",FALSE,0,NA,2014-07-13 22:20:58,FALSE,NA,"488448025761939456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","marufilgueira",52,TRUE,FALSE,NA,NA
"14","RT @calthepalhood: ‚Äú@melancholiclou: 11:11 I WANT NEUER TO TAKE OFF HIS JERSEY AMEN‚Äù tbh",FALSE,0,NA,2014-07-13 22:20:58,FALSE,NA,"488448024109006851",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","motionlessinred",1,TRUE,FALSE,NA,NA
"15","""@Renee_Jr5:Now since ima be getting payed good its time for a Quick, Casillas, Ellis, Brady, Iniesta, &amp; a Neuer jersey"" how about a battery",FALSE,3,NA,2014-07-13 22:20:56,FALSE,NA,"488448016601186305",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Moonhoez",1,FALSE,FALSE,NA,NA
"16","RT @melancholiclou: 11:11 I WANT NEUER TO TAKE OFF HIS JERSEY AMEN",FALSE,0,NA,2014-07-13 22:20:45,FALSE,NA,"488447969361149952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Niallsloverbug",52,TRUE,FALSE,NA,NA
"17","RT @melancholiclou: 11:11 I WANT NEUER TO TAKE OFF HIS JERSEY AMEN",FALSE,0,NA,2014-07-13 22:20:21,FALSE,NA,"488447870262325250",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CarasMofo",52,TRUE,FALSE,NA,NA
"18","‚Äú@Renee_Jr5: Now since ima be getting payed good its time for a Quick, Casillas, Ellis, Brady, Iniesta, &amp; a Neuer jersey‚Äù bandwagon",FALSE,1,"Renee_Jr5",2014-07-13 22:20:15,FALSE,"488447602828922880","488447843770720256","830376078","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ayooo_Jhonny",0,FALSE,FALSE,NA,NA
"19","RT @melancholiclou: 11:11 I WANT NEUER TO TAKE OFF HIS JERSEY AMEN",FALSE,0,NA,2014-07-13 22:19:19,FALSE,NA,"488447606993850370",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gaysus_larry",52,TRUE,FALSE,NA,NA
"20","Now since ima be getting payed good its time for a Quick, Casillas, Ellis, Brady, Iniesta, &amp; a Neuer jersey",FALSE,0,NA,2014-07-13 22:19:18,FALSE,NA,"488447602828922880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Renee_Jr5",0,FALSE,FALSE,"-118.0011845","34.0664303"
"21","RT @melancholiclou: 11:11 I WANT NEUER TO TAKE OFF HIS JERSEY AMEN",FALSE,0,NA,2014-07-13 22:18:30,FALSE,NA,"488447402857476096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LittleMix_1Dx",52,TRUE,FALSE,NA,NA
"22","I'm so on the Manuel Neuer bandwagon! Getting ridiculous...like I'm-thinking-of-getting-a-jersey level. Might settle 4 youtubing hi-lites.",FALSE,0,NA,2014-07-13 22:18:17,FALSE,NA,"488447347475496960",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AdultKidsVent",0,FALSE,FALSE,NA,NA
"23","RT @melancholiclou: 11:11 I WANT NEUER TO TAKE OFF HIS JERSEY AMEN",FALSE,0,NA,2014-07-13 22:17:53,FALSE,NA,"488447248905547776",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","argxbiebs",52,TRUE,FALSE,NA,NA
"24","RT @melancholiclou: 11:11 I WANT NEUER TO TAKE OFF HIS JERSEY AMEN",FALSE,0,NA,2014-07-13 22:17:52,FALSE,NA,"488447242320097280",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ZouisFeathers",52,TRUE,FALSE,NA,NA
"25","RT @melancholiclou: 11:11 I WANT NEUER TO TAKE OFF HIS JERSEY AMEN",FALSE,0,NA,2014-07-13 22:17:25,FALSE,NA,"488447129871196160",NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for  Android</a>","andreeaveliz",52,TRUE,FALSE,NA,NA
"26","RT @melancholiclou: 11:11 I WANT NEUER TO TAKE OFF HIS JERSEY AMEN",FALSE,0,NA,2014-07-13 22:17:12,FALSE,NA,"488447077110644737",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","harryloujaahh",52,TRUE,FALSE,NA,NA
"27","RT @melancholiclou: 11:11 I WANT NEUER TO TAKE OFF HIS JERSEY AMEN",FALSE,0,NA,2014-07-13 22:16:28,FALSE,NA,"488446889344245760",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Always__beliebe",52,TRUE,FALSE,NA,NA
