"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Assuming he'll go back to #23, I regret not buying that LeBron Cavs jersey for $5.99 at the Muncie TJ Maxx 4 years ago...",FALSE,4,NA,2014-07-13 22:50:07,FALSE,NA,"488455361360183296",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Justin_M_Ochoa",0,FALSE,FALSE,NA,NA
"2","Lmao so im washing my clothes , and i see someone threw out there Ochoa jersey in the trash can
Idgi tho ?",FALSE,1,NA,2014-07-13 22:46:20,FALSE,NA,"488454407965913088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","J_Francooo",0,FALSE,FALSE,NA,NA
"3","Don't know if I should wear my Dempsey, neymar, Ochoa or messi jersey and cry.",FALSE,2,NA,2014-07-13 21:43:38,FALSE,NA,"488438627144183808",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vivaalajanet",0,FALSE,FALSE,NA,NA
"4","I NEED TO BUY A MEMO OCHOA JERSEY",FALSE,0,NA,2014-07-13 19:34:07,FALSE,NA,"488406034885509120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RobrighTeous",0,FALSE,FALSE,NA,NA
"5","RT @WorldKeeperShop: And If #Romero keeps a clean sheet for #ARG we'll give away the adidas Onore 14 Jersey (Gold). RT &amp; Follow to enter! h‚Ä¶",FALSE,0,NA,2014-07-13 19:12:13,FALSE,NA,"488400522353729536",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ochoa__",2222,TRUE,FALSE,NA,NA
"6","RT @worldsoccershop: CONTEST (2/5)
If #ARG beat #GER we'll give away a Commemorative #Argentina Final jersey. Follow &amp; RT to enter! #allin ‚Ä¶",FALSE,0,NA,2014-07-13 18:39:20,FALSE,NA,"488392249730793473",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ochoa__",9355,TRUE,FALSE,NA,NA
"7","RT @worldsoccershop: CONTEST (1/5) 
If #GER beat #ARG we'll give away a Commemorative #Germany Final jersey. Follow &amp; RT to enter! #allin h‚Ä¶",FALSE,0,NA,2014-07-13 18:23:44,FALSE,NA,"488388320536584192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","I_am_Ochoa",10677,TRUE,FALSE,NA,NA
"8","RT @worldsoccershop: CONTEST (2/5)
If #ARG beat #GER we'll give away a Commemorative #Argentina Final jersey. Follow &amp; RT to enter! #allin ‚Ä¶",FALSE,0,NA,2014-07-13 18:23:39,FALSE,NA,"488388302232633344",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","I_am_Ochoa",9355,TRUE,FALSE,NA,NA
"9","Happy birthday Ochoa, I like that jersey Ì†ΩÌ∏é http://t.co/tQpfdcsOnu",FALSE,0,NA,2014-07-13 18:13:24,FALSE,NA,"488385719681810432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","aabrilrruby",0,FALSE,FALSE,NA,NA
"10","@RyanLoco while Ochoa saves all the balls, Canelo comes and knock out every child with a Holland jersey",FALSE,0,"RyanLoco",2014-07-13 03:52:23,FALSE,"488168564096909312","488169039248633856","18699142","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iŒüS</a>","RXRashed",0,FALSE,FALSE,NA,NA
"11","RT @YoHensz: I have my Ochoa jersey hanging on my wall over my bed he blocked all the bad dreams and doesn't let them pass haha",FALSE,0,NA,2014-07-14 10:15:22,FALSE,NA,"488627809258983424",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mrkakashi213",8,TRUE,FALSE,NA,NA
"12","RT @YoHensz: I have my Ochoa jersey hanging on my wall over my bed he blocked all the bad dreams and doesn't let them pass haha",FALSE,0,NA,2014-07-14 05:32:11,FALSE,NA,"488556542816710657",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ripnivia",8,TRUE,FALSE,NA,NA
"13","RT @YoHensz: San Ochoa jersey blocking all the bad dreams http://t.co/wfqusT5fCY",FALSE,0,NA,2014-07-14 05:31:30,FALSE,NA,"488556369197268994",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nathan_carbajal",2,TRUE,FALSE,NA,NA
"14","RT @YoHensz: San Ochoa jersey blocking all the bad dreams http://t.co/wfqusT5fCY",FALSE,0,NA,2014-07-14 05:31:07,FALSE,NA,"488556274057895936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Cutie_Love28",2,TRUE,FALSE,NA,NA
"15","RT @YoHensz: I have my Ochoa jersey hanging on my wall over my bed he blocked all the bad dreams and doesn't let them pass haha",FALSE,0,NA,2014-07-14 05:22:34,FALSE,NA,"488554121746587648",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Yoo_Jesse",8,TRUE,FALSE,NA,NA
"16","San Ochoa jersey blocking all the bad dreams http://t.co/wfqusT5fCY",FALSE,9,NA,2014-07-14 05:22:01,FALSE,NA,"488553982894170112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","YoHensz",2,FALSE,FALSE,"-117.90991425","33.82427301"
"17","RT @YoHensz: I have my Ochoa jersey hanging on my wall over my bed he blocked all the bad dreams and doesn't let them pass haha",FALSE,0,NA,2014-07-14 05:17:24,FALSE,NA,"488552822703525888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaaay_96",8,TRUE,FALSE,NA,NA
"18","RT @YoHensz: I have my Ochoa jersey hanging on my wall over my bed he blocked all the bad dreams and doesn't let them pass haha",FALSE,0,NA,2014-07-14 05:16:52,FALSE,NA,"488552689303687168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Daisyy_Roo",8,TRUE,FALSE,NA,NA
"19","""@YoHensz: I have my Ochoa jersey hanging on my wall over my bed he blocked all the bad dreams and doesn't let them pass haha"" lmaoÌ†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏Ç",FALSE,1,NA,2014-07-14 05:08:15,FALSE,NA,"488550520080977920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aaaaprildiaz",0,FALSE,FALSE,NA,NA
"20","RT @YoHensz: I have my Ochoa jersey hanging on my wall over my bed he blocked all the bad dreams and doesn't let them pass haha",FALSE,0,NA,2014-07-14 05:06:11,FALSE,NA,"488549998372483072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CruzDannyy",8,TRUE,FALSE,NA,NA
"21","RT @YoHensz: I have my Ochoa jersey hanging on my wall over my bed he blocked all the bad dreams and doesn't let them pass haha",FALSE,0,NA,2014-07-14 05:05:51,FALSE,NA,"488549915329449985",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bardo_rod24",8,TRUE,FALSE,NA,NA
"22","RT @YoHensz: I have my Ochoa jersey hanging on my wall over my bed he blocked all the bad dreams and doesn't let them pass haha",FALSE,0,NA,2014-07-14 05:05:33,FALSE,NA,"488549842436620289",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Cutie_Love28",8,TRUE,FALSE,NA,NA
"23","I have my Ochoa jersey hanging on my wall over my bed he blocked all the bad dreams and doesn't let them pass haha",FALSE,15,NA,2014-07-14 05:02:31,FALSE,NA,"488549077651439616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","YoHensz",8,FALSE,FALSE,"-117.90988147","33.82424702"
"24","RT @ethanmremy: New gloves and jersey on the way Ì†ΩÌ∏óÌ†ΩÌ∏Å now I don't have to freak out anymore! http://t.co/bQZIpbJfHG",FALSE,0,NA,2014-07-14 03:31:33,FALSE,NA,"488526185698451456",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","I_am_Ochoa",1,TRUE,FALSE,NA,NA
"25","@I_am_Ochoa THE RINAT JERSEY. I FOUND A SITE THAT HAS MY SIZE",FALSE,0,"I_am_Ochoa",2014-07-14 02:01:31,FALSE,"488503418202628096","488503528282144769","1054249838","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ethanmremy",0,FALSE,FALSE,NA,NA
"26","I want an Ochoa or James jersey. They're my bae's lol",FALSE,0,NA,2014-07-14 00:37:05,FALSE,NA,"488482277379158016",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_edithpaif",0,FALSE,FALSE,NA,NA
"27","Memo Ochoa needs to sign with a team soon so I can get his jersey",FALSE,1,NA,2014-07-15 18:04:30,FALSE,NA,"489108256179380225",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","j_DeLeon13",0,FALSE,FALSE,NA,NA
"28","@Azalea_15 yea if not get me a memo Ochoa jersey. He's the goalie",FALSE,0,"Azalea_15",2014-07-15 04:32:32,FALSE,"488903667429285888","488903918710038528","1315807892","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Beto_Frito32",0,FALSE,FALSE,NA,NA
"29","Imma treat this speeding ticket like an old lebron jersey",FALSE,2,NA,2014-07-15 02:46:27,FALSE,NA,"488877224179691520",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jesse_Ochoa",0,FALSE,FALSE,NA,NA
"30","@DOLLVRESSS @shootless bring me an Ochoa jersey so I can wear it when kc is around and he can get hella mad",FALSE,2,"DOLLVRESSS",2014-07-15 00:40:55,FALSE,"488845199234170881","488845632870682625","563709785","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","YUNGEWOK",0,FALSE,FALSE,NA,NA
"31","Cespedes repeat RT ‚Äú@LarryFitzgerald: Pick your @mlb #HRDerby winner for a chance at a signed jersey!!! #ASG #AllStarWeekend‚Äù",FALSE,0,"LarryFitzgerald",2014-07-15 00:04:45,FALSE,"488835436195102720","488836531650457601","39288259","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Spider_Ochoa",0,FALSE,FALSE,NA,NA
"32","RT @rvidxr_chriss: @Edwin_Avocado @Leeeslaaay im getting dressed into my Ochoa jersey! Ima be goalie",FALSE,0,NA,2014-07-16 07:31:04,FALSE,NA,"489311237163859968",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Leeeslaaay",1,TRUE,FALSE,NA,NA
"33","@Edwin_Avocado @Leeeslaaay im getting dressed into my Ochoa jersey! Ima be goalie",FALSE,1,"Edwin_Avocado",2014-07-16 07:30:35,FALSE,"489310860217569280","489311114560147456","1462770426","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rvidxr_chriss",1,FALSE,FALSE,NA,NA
"34","I found the Ochoa jersey last night and I went to go order it right now and now it's sold out. Ì†ΩÌ∏≠Ì†ΩÌ∏©",FALSE,0,NA,2014-07-16 07:03:24,FALSE,NA,"489304274321424384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","June_ya14",0,FALSE,FALSE,NA,NA
"35","@scottysteeze88 @Finally_Michael @antonsp09 hahahah I'm getting an Ochoa jersey Ì†ΩÌ∏úÌ†ΩÌ∏â",FALSE,0,"mariodicalcio",2014-07-17 20:16:17,FALSE,"489865754582343680","489866196612042753","630928839","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mariodicalcio",0,FALSE,FALSE,NA,NA
"36","@zanettihector Ochoa to @Arsenal would be beast! I'd buy his jersey for sure! But... I heard he's linked to Atl. Madrid :(",FALSE,0,"zanettihector",2014-07-17 17:24:16,FALSE,"489822291174252544","489822909251076096","610458362","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DTre26",0,FALSE,FALSE,NA,NA
"37","Bernardo Suaza of @pedaleamosCOL takes over the leader's jersey from teammate Diego Ochoa 3U23",FALSE,0,NA,2014-07-17 14:27:42,FALSE,NA,"489778474371268608",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Vlaanderen90",0,FALSE,FALSE,NA,NA
"38","RT @_edithpaif: I want an Ochoa jersey Ì†ΩÌ∏©",FALSE,0,NA,2014-07-17 03:13:02,FALSE,NA,"489608690157518848",NA,"<a href=""http://www.myplume.com/"" rel=""nofollow"">Plume¬†for¬†Android</a>","J_Sizzle7",1,TRUE,FALSE,NA,NA
"39","I want an Ochoa jersey Ì†ΩÌ∏©",FALSE,1,NA,2014-07-17 03:05:38,FALSE,NA,"489606825852305408",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_edithpaif",1,FALSE,FALSE,NA,NA
"40","‚Äú@bniceloco: Tim Howard performance against Belgium in the World Cup was legendary nigga was IronMan in a soccer jersey‚ÄùOchoa did better tho",FALSE,1,"bniceloco",2014-07-17 01:37:32,FALSE,"489584432769015808","489584655893413889","122881733","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jfuxswitit2",0,FALSE,FALSE,NA,NA
"41","RT @Naomi_Smiley: I used to love jersey shore so much Ì†ΩÌ∏ÇÌ†ΩÌ∏Ç",FALSE,0,NA,2014-07-18 22:50:39,FALSE,NA,"490267435006971904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Lexi_Ochoa",4,TRUE,FALSE,NA,NA
"42","Nike Adidas Club America Mexico Jersey Guillermo Memo Ochoa MEDIUM: $95.00 End Date: Sunday Aug-17-2014 11:23:36... http://t.co/btVGD2tfrs",FALSE,0,NA,2014-07-18 19:51:35,FALSE,NA,"490222368938156033",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","_jessica__alba",0,FALSE,FALSE,NA,NA
"43","Nike Adidas Club America Mexico Jersey Guillermo Memo Ochoa MEDIUM: $95.00 End Date: Sunday Aug-17-2014 11:23:36... http://t.co/4FGylodhlS",FALSE,0,NA,2014-07-18 19:20:40,FALSE,NA,"490214589036912640",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","Sophie__Monk_",0,FALSE,FALSE,NA,NA
"44","Nike Adidas Club America Mexico Jersey Guillermo Memo Ochoa MEDIUM: $95.00 End Date: Sunday Aug-17-2014 11:23:36... http://t.co/hXJvbObHQv",FALSE,0,NA,2014-07-18 19:15:02,FALSE,NA,"490213173551579137",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","hannah_davis_33",0,FALSE,FALSE,NA,NA
"45","Nike Adidas Club America Mexico Jersey Guillermo Memo Ochoa MEDIUM: $95.00 End Date: Sunday‚Ä¶ http://t.co/4ga97ZQUaL",FALSE,0,NA,2014-07-18 18:49:00,FALSE,NA,"490206618357743616",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","_jessica__alba",0,FALSE,FALSE,NA,NA
"46","Nike Adidas Club America Mexico Jersey Guillermo Memo Ochoa MEDIUM: $95.00 End Date: Sunday‚Ä¶ http://t.co/kxhdp1WOKp",FALSE,0,NA,2014-07-18 18:47:55,FALSE,NA,"490206348605288448",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","hannah_davis_33",0,FALSE,FALSE,NA,NA
