"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Finally found an Ospina jersey",FALSE,3,NA,2014-07-14 18:48:35,FALSE,NA,"488756962633342977",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MsRaaager",0,FALSE,FALSE,NA,NA
"2","RT @GunnerAB10: Ospina certainly won't be just a back up. very good goalkeeper. wouldn't be surprised if he got the #1 jersey after a while.",FALSE,0,NA,2014-07-14 15:35:26,FALSE,NA,"488708357096620032",NA,"<a href=""http://seesmic.com/"" rel=""nofollow"">Seesmic</a>","ShazaniSabri",2,TRUE,FALSE,NA,NA
"3","RT @GunnerAB10: Ospina certainly won't be just a back up. very good goalkeeper. wouldn't be surprised if he got the #1 jersey after a while.",FALSE,0,NA,2014-07-14 15:01:51,FALSE,NA,"488699904584589312",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Corkgooner33",2,TRUE,FALSE,NA,NA
"4","Ospina certainly won't be just a back up. very good goalkeeper. wouldn't be surprised if he got the #1 jersey after a while.",FALSE,0,NA,2014-07-14 14:57:50,FALSE,NA,"488698891672780800",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GunnerAB10",2,FALSE,FALSE,NA,NA
"5","Ospina would be exactly what I want for a back up GK. Not shit and cheap.",FALSE,1,NA,2014-07-14 14:50:37,FALSE,NA,"488697078332153858",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","The_Jersey_Fitz",1,FALSE,FALSE,"-77.6080578","37.6650663"
"6","RT @eaamalyon: Arsenal quoted Â£10m for David Marshall and more than that for Alex McCarthy but can likely pick up World Cup star Ospina forâ€¦",FALSE,0,NA,2014-07-14 14:47:24,FALSE,NA,"488696268030754816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","The_Jersey_Fitz",110,TRUE,FALSE,NA,NA
"7","@TasneemSiddique just been told David Ospina Colombia keeper deal is nearly finalised always wanted a keeper jersey.lol.",FALSE,0,"TasneemSiddique",2014-07-14 11:27:00,FALSE,"488643736294150144","488645835954335744","125037780","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wayneo1957",0,FALSE,FALSE,NA,NA
"8","@Arsenal debuchy set to be in a gunner jersey later today and khedira and ospina deal being working out.",FALSE,0,"Arsenal",2014-07-14 05:24:40,FALSE,NA,"488554649771712512","34613288","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerryÂ®</a>","kareemwilliam18",0,FALSE,FALSE,NA,NA
"9","RT @NBA_MLBAccess: Jersey Battle!

RT CAVS

Fav Hornets http://t.co/MQ82ZBMfds",FALSE,0,NA,2014-07-14 03:18:49,FALSE,NA,"488522980348026881",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","emmanuel_ospina",510,TRUE,FALSE,NA,NA
"10","RT @santi_balles12: Just wanna see ospina in the arsenal jersey í ½í¸­í ½í¸ª",FALSE,0,NA,2014-07-15 18:07:28,FALSE,NA,"489109002639671296",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","Lalibelaw",1,TRUE,FALSE,NA,NA
