"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","about to order my rojo jersey. #16 ‚öΩÔ∏è",FALSE,1,NA,2014-07-13 22:41:02,FALSE,NA,"488453074735095809",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Austinn_10",0,FALSE,FALSE,NA,NA
"2","I really want a Marcos Rojo jersey I must cop.",FALSE,3,NA,2014-07-13 22:18:50,FALSE,NA,"488447486285983745",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Alexis_Torres17",0,FALSE,FALSE,NA,NA
"3","I SEEN ROJO ON ONE OF THE ARGENTINA PLAYERS JERSEY AND I SAID ROJO MEANS RED AND MY DAD SAID ""IT MEANS LOSER"" I CANT BREAHTE",FALSE,0,NA,2014-07-13 21:48:26,FALSE,NA,"488439835212800000",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","adeptstyles",0,FALSE,FALSE,NA,NA
"4","RT @ElsaZelada: Need to add getting Rojo's jersey to my list Ì†ΩÌ∏≠Ì†ΩÌ∏çÌ†ΩÌ≤ô",FALSE,0,NA,2014-07-13 21:43:53,FALSE,NA,"488438689488707584",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AngieBaby__",1,TRUE,FALSE,NA,NA
"5","Need to add getting Rojo's jersey to my list Ì†ΩÌ∏≠Ì†ΩÌ∏çÌ†ΩÌ≤ô",FALSE,0,NA,2014-07-13 21:41:55,FALSE,NA,"488438195122499584",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ElsaZelada",1,FALSE,FALSE,NA,NA
"6","Is it just me or was anyone wondering why Rojo was wearing a blue jersey?",FALSE,2,NA,2014-07-13 21:41:42,FALSE,NA,"488438141401845763",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cthakore17",0,FALSE,FALSE,NA,NA
"7","I gotta get me a Messi shirt &amp; a Rojo's jersey ‚öΩÔ∏èÌ†ΩÌ≤ï",FALSE,2,NA,2014-07-13 21:38:06,FALSE,NA,"488437236682063872",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","asssiaj_",0,FALSE,FALSE,NA,NA
"8","That awkward moment when a player's name is rojo but his jersey is azul. #SpanishJokes",FALSE,3,NA,2014-07-13 21:30:16,FALSE,NA,"488435263064915968",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NooruddinD",0,FALSE,FALSE,NA,NA
"9","His name is Rojo but he plays for a team with a blue jersey. Hahaha",FALSE,1,NA,2014-07-13 21:05:16,FALSE,NA,"488428975510007808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","golferjoe24",0,FALSE,FALSE,"-71.61605259","41.66710177"
"10","RT @wallahibro: My dad sees Rojo's jersey and says ""this guy's fasting!"" #KhojaJokes #SoLame",FALSE,0,NA,2014-07-13 20:49:54,FALSE,NA,"488425104653946880",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fatema_xo",2,TRUE,FALSE,NA,NA
"11","RT @wallahibro: My dad sees Rojo's jersey and says ""this guy's fasting!"" #KhojaJokes #SoLame",FALSE,0,NA,2014-07-13 20:49:17,FALSE,NA,"488424951935143936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Sayedargh__",2,TRUE,FALSE,NA,NA
"12","RT @BrandonRasche: Someone tell rojo his jersey is blue. #kneeslapper",FALSE,0,NA,2014-07-13 20:43:32,FALSE,NA,"488423502110666752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NeddyTava",1,TRUE,FALSE,NA,NA
"13","Someone tell rojo his jersey is blue. #kneeslapper",FALSE,1,NA,2014-07-13 20:32:33,FALSE,NA,"488420738332753920",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BrandonRasche",1,FALSE,FALSE,NA,NA
"14","It's ironic how there is a guy in the FIFA named Rojo who wears a blue jersey #jk #FifaWorldCup #2014",FALSE,0,NA,2014-07-13 20:23:35,FALSE,NA,"488418481751064576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","riya_patell",0,FALSE,FALSE,NA,NA
"15","RT @itsPabiAkpala: ‚Äú@JIZZY_YAH: Rojo was using style to ask for mullers jersey‚ÄùLMAO",FALSE,0,NA,2014-07-13 20:17:11,FALSE,NA,"488416872329904128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JIZZY_YAH",1,TRUE,FALSE,NA,NA
"16","Wish a Ref would be brave and give a penalty for jersey pulling from corners!Always favouring the defending team.Rojo all over Muller!!",FALSE,0,NA,2014-07-13 20:17:09,FALSE,NA,"488416862699814912",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PeterLydon10",0,FALSE,FALSE,NA,NA
"17","Garay hugging Hummels and Rojo turning Muller jersey into a U neck.Worried much?FUCK ARGENTINA.",FALSE,0,NA,2014-07-13 20:17:04,FALSE,NA,"488416842864943105",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chueko2187",0,FALSE,FALSE,NA,NA
"18","Y can rojo tear off mullers jersey bt i cant",FALSE,0,NA,2014-07-13 20:16:52,FALSE,NA,"488416791714992130",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_antonellaceci",0,FALSE,FALSE,NA,NA
"19","‚Äú@JIZZY_YAH: Rojo was using style to ask for mullers jersey‚ÄùLMAO",FALSE,0,"JIZZY_YAH",2014-07-13 20:16:24,FALSE,"488416295281766401","488416677068288000","103208976","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","itsPabiAkpala",1,FALSE,FALSE,NA,NA
