"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @LoKarloFollow: Romero: What's your jersey number?
Schurrle: Nine
Romero: What?
Schurrle: Nine
Romero: What? I can't hear you?
Schurrle:‚Ä¶",FALSE,0,NA,2014-07-13 22:30:31,FALSE,NA,"488450426153357312",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pranavhegde",11,TRUE,FALSE,NA,NA
"2","RT @WorldKeeperShop: And If #Romero keeps a clean sheet for #ARG we'll give away the adidas Onore 14 Jersey (Gold). RT &amp; Follow to enter! h‚Ä¶",FALSE,0,NA,2014-07-13 22:26:27,FALSE,NA,"488449404563488768",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","jschlanz",2222,TRUE,FALSE,NA,NA
"3","Good to see the Wexford away Jersey being modelled tonight #romero #gaa http://t.co/5YDkc4S3pA",FALSE,0,NA,2014-07-13 22:09:06,FALSE,NA,"488445038079528961",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CConorod97",0,FALSE,FALSE,NA,NA
"4","RT @WorldKeeperShop: And If #Romero keeps a clean sheet for #ARG we'll give away the adidas Onore 14 Jersey (Gold). RT &amp; Follow to enter! h‚Ä¶",FALSE,0,NA,2014-07-13 22:03:55,FALSE,NA,"488443731138191360",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RetroKicks714",2222,TRUE,FALSE,NA,NA
"5","RT @WorldKeeperShop: And If #Romero keeps a clean sheet for #ARG we'll give away the adidas Onore 14 Jersey (Gold). RT &amp; Follow to enter! h‚Ä¶",FALSE,0,NA,2014-07-13 22:03:50,FALSE,NA,"488443712876195840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mikeygeiger3",2222,TRUE,FALSE,NA,NA
"6","lowkey want a romero jerseyÌ†ΩÌ±Ä",FALSE,1,NA,2014-07-13 21:59:51,FALSE,NA,"488442711712612352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nochillstetter",0,FALSE,FALSE,"-111.91346627","33.41893117"
"7","Romero killed it. I will be getting his jersey.",FALSE,0,NA,2014-07-13 21:53:23,FALSE,NA,"488441081017540609",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","onionsareyummy",0,FALSE,FALSE,NA,NA
"8","RT @WorldKeeperShop: And If #Romero keeps a clean sheet for #ARG we'll give away the adidas Onore 14 Jersey (Gold). RT &amp; Follow to enter! h‚Ä¶",FALSE,0,NA,2014-07-13 21:49:46,FALSE,NA,"488440173542125571",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","4ever_princess7",2222,TRUE,FALSE,NA,NA
"9","RT @WorldKeeperShop: And If #Romero keeps a clean sheet for #ARG we'll give away the adidas Onore 14 Jersey (Gold). RT &amp; Follow to enter! h‚Ä¶",FALSE,0,NA,2014-07-13 21:49:44,FALSE,NA,"488440161726775297",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ThatGirlRuthh",2222,TRUE,FALSE,NA,NA
"10","RT @Humps14: #Arg to win #worldcup Romero wearing purpleandgold jersey From match yesterday the purple and gold are never beaten @officialw‚Ä¶",FALSE,0,NA,2014-07-13 21:49:32,FALSE,NA,"488440113937264641",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ashhen54321",5,TRUE,FALSE,NA,NA
"11","RT @WorldKeeperShop: And If #Romero keeps a clean sheet for #ARG we'll give away the adidas Onore 14 Jersey (Gold). RT &amp; Follow to enter! h‚Ä¶",FALSE,0,NA,2014-07-13 21:48:43,FALSE,NA,"488439909661675522",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Beyondkuh",2222,TRUE,FALSE,NA,NA
"12","RT @WorldKeeperShop: And If #Romero keeps a clean sheet for #ARG we'll give away the adidas Onore 14 Jersey (Gold). RT &amp; Follow to enter! h‚Ä¶",FALSE,0,NA,2014-07-13 21:45:43,FALSE,NA,"488439151004364800",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheMacnabTroll",2222,TRUE,FALSE,NA,NA
"13","RT @WorldKeeperShop: And If #Romero keeps a clean sheet for #ARG we'll give away the adidas Onore 14 Jersey (Gold). RT &amp; Follow to enter! h‚Ä¶",FALSE,0,NA,2014-07-13 21:44:37,FALSE,NA,"488438875300184064",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HerreraSebas12",2222,TRUE,FALSE,NA,NA
"14","RT @WorldKeeperShop: And If #Romero keeps a clean sheet for #ARG we'll give away the adidas Onore 14 Jersey (Gold). RT &amp; Follow to enter! h‚Ä¶",FALSE,0,NA,2014-07-13 21:43:05,FALSE,NA,"488438488514453504",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","spezzakrish",2222,TRUE,FALSE,NA,NA
"15","RT @WorldKeeperShop: And If #Romero keeps a clean sheet for #ARG we'll give away the adidas Onore 14 Jersey (Gold). RT &amp; Follow to enter! h‚Ä¶",FALSE,0,NA,2014-07-13 21:42:19,FALSE,NA,"488438296368791554",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Jozzie_lopez",2222,TRUE,FALSE,NA,NA
"16","RT @WorldKeeperShop: And If #Romero keeps a clean sheet for #ARG we'll give away the adidas Onore 14 Jersey (Gold). RT &amp; Follow to enter! h‚Ä¶",FALSE,0,NA,2014-07-13 21:41:05,FALSE,NA,"488437988410802177",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","babin_simon",2222,TRUE,FALSE,NA,NA
"17","Romero; first man in a Wexford jersey to be on a losing side all week",FALSE,0,NA,2014-07-13 21:39:04,FALSE,NA,"488437478349864960",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RayNoonan01",0,FALSE,FALSE,NA,NA
"18","RT @WorldKeeperShop: And If #Romero keeps a clean sheet for #ARG we'll give away the adidas Onore 14 Jersey (Gold). RT &amp; Follow to enter! h‚Ä¶",FALSE,0,NA,2014-07-13 21:38:44,FALSE,NA,"488437394312400897",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Fischer_Henry",2222,TRUE,FALSE,NA,NA
"19","RT @WorldKeeperShop: And If #Romero keeps a clean sheet for #ARG we'll give away the adidas Onore 14 Jersey (Gold). RT &amp; Follow to enter! h‚Ä¶",FALSE,0,NA,2014-07-13 21:32:48,FALSE,NA,"488435901429604352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","USMNTFan13",2222,TRUE,FALSE,NA,NA
"20","RT @WorldKeeperShop: And If #Romero keeps a clean sheet for #ARG we'll give away the adidas Onore 14 Jersey (Gold). RT &amp; Follow to enter! h‚Ä¶",FALSE,0,NA,2014-07-13 21:31:15,FALSE,NA,"488435514333069313",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DeniseH714",2222,TRUE,FALSE,NA,NA
"21","RT @WorldKeeperShop: And If #Romero keeps a clean sheet for #ARG we'll give away the adidas Onore 14 Jersey (Gold). RT &amp; Follow to enter! h‚Ä¶",FALSE,0,NA,2014-07-13 21:27:51,FALSE,NA,"488434654584647680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GrandMaster_lpz",2222,TRUE,FALSE,NA,NA
"22","RT @WorldKeeperShop: And If #Romero keeps a clean sheet for #ARG we'll give away the adidas Onore 14 Jersey (Gold). RT &amp; Follow to enter! h‚Ä¶",FALSE,0,NA,2014-07-13 21:27:18,FALSE,NA,"488434518920282112",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","norma3I6",2222,TRUE,FALSE,NA,NA
