"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","I want a Germany jersey with the badge WHERE CAN I BUY IT",FALSE,1,NA,2014-07-13 23:40:59,FALSE,NA,"488468161235152896",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ana_kroos",0,FALSE,FALSE,NA,NA
"2","already got my gotze jersey weeks ago.........im just going to get ozil/kroos/schwein when i get money",FALSE,2,NA,2014-07-13 23:35:00,FALSE,NA,"488466655370952704",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ftzouwee",0,FALSE,FALSE,NA,NA
"3","Kroos is going to look mighty fine in a RM jersey",FALSE,2,NA,2014-07-13 23:03:55,FALSE,NA,"488458830921998337",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","danielaa_72",0,FALSE,FALSE,NA,NA
"4","If Kroos does join Madrid not sure to get his or ramos jersey Ì†ΩÌ∏ê",FALSE,0,NA,2014-07-13 22:42:43,FALSE,NA,"488453496249655296",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SenorDenova",0,FALSE,FALSE,NA,NA
"5","Can‚Äôt wait to see Kroos with RM‚Äôs jersey on.",FALSE,0,NA,2014-07-13 22:40:53,FALSE,NA,"488453034750377985",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iŒüS</a>","Zakariya_90",0,FALSE,FALSE,NA,NA
"6","Anyone want to buy me a jersey with Kroos  or ozil or muller or Klose or gotze on it",FALSE,1,NA,2014-07-13 22:34:03,FALSE,NA,"488451317757538304",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tianlunlee",0,FALSE,FALSE,NA,NA
"7","ive been debating between a kroos or gotze jersey for like a month now ,",FALSE,0,NA,2014-07-13 22:27:22,FALSE,NA,"488449633249947648",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","OfficialAndrewM",0,FALSE,FALSE,NA,NA
"8","Cant Wait Til Thursday To Get My Jersey That I Won I Don't Know Whos Name I Should Place On The Back Reus G√∂tze Kroos Or Klose Ì†ΩÌ∏è",FALSE,0,NA,2014-07-13 22:24:05,FALSE,NA,"488448809434103808",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Soccerslife_",0,FALSE,FALSE,NA,NA
"9","Amped to see Kroos play in a Real jersey",FALSE,0,NA,2014-07-13 22:22:30,FALSE,NA,"488448411473956865",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","matteojustquit",0,FALSE,FALSE,NA,NA
"10","√ñzil ‚ù§Ô∏è I don't have my kroos jersey the day Germany wins which makes me mad but still have my arsenal √ñzil jerseyÌ†ºÌ∑©Ì†ºÌ∑™Ì†ΩÌ∏≠ http://t.co/q2hebQglAp",FALSE,1,NA,2014-07-13 22:20:01,FALSE,NA,"488447783838314497",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KZyero",0,FALSE,FALSE,NA,NA
"11","So, can @realmadriden announce toni kroos transfer already? cant wait to see him dorning the famous white jersey.",FALSE,0,NA,2014-07-13 22:17:08,FALSE,NA,"488447057514881024",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Shaymanswaggs",0,FALSE,FALSE,NA,NA
"12","Perhaps it's time me to buy that Toni Kroos German jersey that I've lusted after for so long",FALSE,0,NA,2014-07-13 22:15:29,FALSE,NA,"488446644770189313",NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","gulaghunger",0,FALSE,FALSE,NA,NA
