"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @blazer_ben_420: I made a promise to myself. If Germany won the World Cup I'd buy the new Germany Lahm jersey.Guess it's spending day to‚Ä¶",FALSE,0,NA,2014-07-13 23:22:14,FALSE,NA,"488463441045114880",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JC_Leon59",1,TRUE,FALSE,NA,NA
"2","Class act from the match winner Mario G√∂tze, to hold up a jersey with Reus on the back whilst Lahm lifted the WC. https://t.co/jMjg6DwcOg",FALSE,1,NA,2014-07-13 23:17:13,FALSE,NA,"488462178526429185",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Passology",0,FALSE,FALSE,NA,NA
"3","RT @mb20obsessor: Just modified my 2014 Captain Lahm jersey with a sticker :) 

Ì†ºÌ∑©Ì†ºÌ∑™‚ù§Ô∏èÌ†ºÌ∑©Ì†ºÌ∑™‚ù§Ô∏è

@DFBfanswrldwide @BavariaQ8  http://t.co/1DmEg9Qv‚Ä¶",FALSE,0,NA,2014-07-13 23:13:58,FALSE,NA,"488461363107213312",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iŒüS</a>","Shooker35",4,TRUE,FALSE,NA,NA
"4","I made a promise to myself. If Germany won the World Cup I'd buy the new Germany Lahm jersey.Guess it's spending day tomorrow. @DFB_Team_EN",FALSE,0,NA,2014-07-13 23:05:54,FALSE,NA,"488459329939714048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","blazer_ben_420",1,FALSE,FALSE,NA,NA
"5","RT @mb20obsessor: Just modified my 2014 Captain Lahm jersey with a sticker :) 

Ì†ºÌ∑©Ì†ºÌ∑™‚ù§Ô∏èÌ†ºÌ∑©Ì†ºÌ∑™‚ù§Ô∏è

@DFBfanswrldwide @BavariaQ8  http://t.co/1DmEg9Qv‚Ä¶",FALSE,0,NA,2014-07-13 23:00:54,FALSE,NA,"488458073733091328",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","maria_bayern",4,TRUE,FALSE,NA,NA
"6","RT @mb20obsessor: Just modified my 2014 Captain Lahm jersey with a sticker :) 

Ì†ºÌ∑©Ì†ºÌ∑™‚ù§Ô∏èÌ†ºÌ∑©Ì†ºÌ∑™‚ù§Ô∏è

@DFBfanswrldwide @BavariaQ8  http://t.co/1DmEg9Qv‚Ä¶",FALSE,0,NA,2014-07-13 22:51:30,FALSE,NA,"488455709839732736",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DFBfanswrldwide",4,TRUE,FALSE,NA,NA
"7","RT @89_59: Philip Lahm's the 2nd captain wearing a 2-digit jersey no. other than #10 or #11 to lift the WC trophy. 1st was Fritz Walter (#1‚Ä¶",FALSE,0,NA,2014-07-13 22:50:07,FALSE,NA,"488455359527264256",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","Edbdah",2,TRUE,FALSE,NA,NA
"8","RT @89_59: Philip Lahm's the 2nd captain wearing a 2-digit jersey no. other than #10 or #11 to lift the WC trophy. 1st was Fritz Walter (#1‚Ä¶",FALSE,0,NA,2014-07-13 22:45:44,FALSE,NA,"488454254881828864",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","madnjomz",2,TRUE,FALSE,NA,NA
"9","‚Äú@LukeShaw3: Lahm has been incredible Ì†ΩÌ±è‚Äù....just wat u shld be doin in a red jersey mate #mufc",FALSE,0,"LukeShaw3",2014-07-13 22:38:00,FALSE,"488437337115095041","488452311896055808","359621966","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","99thcorquette",0,FALSE,FALSE,NA,NA
"10","Just modified my 2014 Captain Lahm jersey with a sticker :) 

Ì†ºÌ∑©Ì†ºÌ∑™‚ù§Ô∏èÌ†ºÌ∑©Ì†ºÌ∑™‚ù§Ô∏è

@DFBfanswrldwide @BavariaQ8  http://t.co/1DmEg9QvRw",FALSE,7,NA,2014-07-13 22:35:39,FALSE,NA,"488451719257268224",NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","mb20obsessor",4,FALSE,FALSE,NA,NA
