"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","I still want a Di Maria jersey",FALSE,1,NA,2014-07-13 23:11:36,FALSE,NA,"488460764743602176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thalianicoleee",0,FALSE,FALSE,NA,NA
"2","RT @mb20obsessor: Just modified my 2014 Captain Lahm jersey with a sticker :) 

Ì†ºÌ∑©Ì†ºÌ∑™‚ù§Ô∏èÌ†ºÌ∑©Ì†ºÌ∑™‚ù§Ô∏è

@DFBfanswrldwide @BavariaQ8  http://t.co/1DmEg9Qv‚Ä¶",FALSE,0,NA,2014-07-13 23:00:54,FALSE,NA,"488458073733091328",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","maria_bayern",4,TRUE,FALSE,NA,NA
"3","‚Äú@__silentSTORM: this video of a girl being tossed at nupe jersey is spreading like wildfire‚Äù",FALSE,1,"__silentSTORM",2014-07-13 22:58:02,FALSE,"488354009846411264","488457353792995328","263898049","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","maria_knows",0,FALSE,FALSE,NA,NA
"4","Should grab Di Maria's jersey before he leaves Madrid.",FALSE,1,NA,2014-07-13 22:54:34,FALSE,NA,"488456479142182912",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AhsanJaved22",0,FALSE,FALSE,NA,NA
"5","@Tyler_wynk might actually get you a di maria jersey",FALSE,1,"Tyler_wynk",2014-07-13 22:47:45,FALSE,"488453910768934913","488454766133903361","937984988","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_Luis_Burgos",0,FALSE,FALSE,NA,NA
"6","Still planning on buying a jersey. Deciding wether it should be Messi,Aguero, or Di Maria",FALSE,0,NA,2014-07-13 22:41:58,FALSE,NA,"488453307136872448",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MuadhAgraw",0,FALSE,FALSE,NA,NA
"7","‚Äú@gigigigigiraldo: Plot twist; the german team takes off their jerseys only to reveal the Colombian jersey #EraGolDeYepes Ì†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏Ç‚ÄùÌ†ΩÌ∏ÇÌ†ΩÌ∏Ç",FALSE,0,"gigigigigiraldo",2014-07-13 22:22:30,FALSE,"488445189246046209","488448409783640064","589428542","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","yarii_maria",0,FALSE,FALSE,NA,NA
"8","@07reddevilz thanks :D where is my jersey? :P",FALSE,0,"07reddevilz",2014-07-13 22:18:02,FALSE,"488446770720952320","488447286423195650","36418033","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","maria_mufc",0,FALSE,FALSE,NA,NA
"9","RT @fuckachris: @maria_andreaaa ok get ready though buy a Mexico jersey now cause were gonna win it next ;)",FALSE,0,NA,2014-07-13 22:14:11,FALSE,NA,"488446317535182849",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","maria_andreaaa",1,TRUE,FALSE,NA,NA
"10","@maria_andreaaa ok get ready though buy a Mexico jersey now cause were gonna win it next ;)",FALSE,1,"maria_andreaaa",2014-07-13 22:13:40,FALSE,"488445562338156545","488446187746643970","457709754","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fuckachris",1,FALSE,FALSE,NA,NA
