"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","My cousin owes me a Mascherano jersey",FALSE,0,NA,2014-07-13 22:21:23,FALSE,NA,"488448129839030273",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","xArturitox14",0,FALSE,FALSE,NA,NA
"2","@vampire_monkey don't feel bad for mascherano. don't feel bad for anyone that wears barca's jersey for most of the year",FALSE,1,"vampire_monkey",2014-07-13 22:03:06,FALSE,"488443131487338500","488443527898988545","738309918","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","johnny_williams",0,FALSE,FALSE,NA,NA
"3","mascherano was better in an Argentina jersey. Messi was rotten the full tourney. How he won that is beyond me. Joke",FALSE,2,NA,2014-07-13 21:59:36,FALSE,NA,"488442646537707520",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RickySmith1985",0,FALSE,FALSE,NA,NA
"4","Im still buying a Mascherano jersey",FALSE,0,NA,2014-07-13 21:44:07,FALSE,NA,"488438748560904193",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","marcysweatshirt",0,FALSE,FALSE,NA,NA
"5","RT @tokyodayori: MANNSCHAFT BETTER RELEASE A MIROSLAV KLOSE JERSEY WITH FOUR STARS OR I‚ÄôLL GO MASCHERANO ON THEM",FALSE,0,NA,2014-07-13 21:34:53,FALSE,NA,"488436427948961793",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","inawarminister",2,TRUE,FALSE,NA,NA
"6","RT @tokyodayori: MANNSCHAFT BETTER RELEASE A MIROSLAV KLOSE JERSEY WITH FOUR STARS OR I‚ÄôLL GO MASCHERANO ON THEM",FALSE,0,NA,2014-07-13 21:33:42,FALSE,NA,"488436127326412800",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Crimsondramon",2,TRUE,FALSE,NA,NA
"7","MANNSCHAFT BETTER RELEASE A MIROSLAV KLOSE JERSEY WITH FOUR STARS OR I‚ÄôLL GO MASCHERANO ON THEM",FALSE,0,NA,2014-07-13 21:32:41,FALSE,NA,"488435874611212288",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","tokyodayori",2,FALSE,FALSE,NA,NA
"8","If Argentina win this game, Imma get a jersey. Either Messi, Mascherano, Aguero, or Higuain.",FALSE,0,NA,2014-07-13 21:17:03,FALSE,NA,"488431938861281282",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FDB_Chris",0,FALSE,FALSE,NA,NA
"9","my moms got Mascherano's jersey #14  #ARG // so jelly rn Ì†ΩÌ∏≠",FALSE,0,NA,2014-07-13 21:03:19,FALSE,NA,"488428480867368960",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Bbaby_Mama",0,FALSE,FALSE,NA,NA
"10","Prima with the old school Messi jersey! #Argentina #SheKnowsTheDeal #Messi #Mascherano #WorldCup‚Ä¶ http://t.co/LvB0tNMBXL",FALSE,0,NA,2014-07-13 20:07:18,FALSE,NA,"488414384532623362",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","reyeskid42",0,FALSE,FALSE,NA,NA
