"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@AnnMarieCFoster walken might get supp actor oscar for Jersey Boys",FALSE,0,"AnnMarieCFoster",2014-07-13 23:59:32,FALSE,NA,"488472827767848960","108970075","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GerardKennelly",0,FALSE,FALSE,NA,NA
"2","i'm gonna wear my Oscar brazil jersey to the first day of school NO RAGRETS",FALSE,1,NA,2014-07-13 23:42:29,FALSE,NA,"488468537174798337",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jcrewniall",0,FALSE,FALSE,NA,NA
"3","YES OSCAR BRAZIL JERSEY AND NEYMAR FCB JERSEY YOU ARE MINE",FALSE,1,NA,2014-07-13 23:35:33,FALSE,NA,"488466793342586880",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jcrewniall",0,FALSE,FALSE,NA,NA
"4","I need to get me a Blake bortles jersey and manziel jersey",FALSE,0,NA,2014-07-13 23:34:43,FALSE,NA,"488466584407900161",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","oscar_rosado7",0,FALSE,FALSE,NA,NA
"5","When I finally get around to buying the new Chelsea jersey, I think Oscar will be going on the backÌ†ΩÌ±å",FALSE,0,NA,2014-07-13 23:34:26,FALSE,NA,"488466514493050880",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ConallMaher",0,FALSE,FALSE,NA,NA
"6","FOUND A $40 OSCAR BRAZIL JERSEY PRAYING MY PARENTS WILL SAY YES",FALSE,2,NA,2014-07-13 23:19:02,FALSE,NA,"488462637517119488",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jcrewniall",0,FALSE,FALSE,NA,NA
"7","@jcrewniall i'm gonna get a oscar brazil then neymar fcb jersey Ì†ΩÌ∏äÌ†ΩÌ∏ä",FALSE,1,"jcrewniall",2014-07-13 22:54:29,FALSE,"488455685659955201","488456459924279296","559088932","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jcrewniall",0,FALSE,FALSE,NA,NA
"8","SHOULD I GET A NEYMAR OR OSCAR BRAZIL JERSEY",FALSE,1,NA,2014-07-13 22:51:25,FALSE,NA,"488455685659955201",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jcrewniall",0,FALSE,FALSE,NA,NA
"9","need a oscar or neymar brazil jersey",FALSE,1,NA,2014-07-13 22:51:00,FALSE,NA,"488455582303911936",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jcrewniall",0,FALSE,FALSE,NA,NA
"10","I'll be at the next World Cup wearing an Oscar jersey, standing sidelines photographing and interviewing them.Ì†ΩÌ±å",FALSE,1,NA,2014-07-13 22:12:33,FALSE,NA,"488445907466067968",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","princessleahh_",0,FALSE,FALSE,NA,NA
"11","Now i need a Muller jersey",FALSE,0,NA,2014-07-13 21:39:02,FALSE,NA,"488437469629542401",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oscar_Torres24",0,FALSE,FALSE,NA,NA
"12","RT @Rhinoscreamsgo: Everyone about to be like ""now gotta go buy a Germany jersey""",FALSE,0,NA,2014-07-13 21:30:09,FALSE,NA,"488435235550273536",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BAMF_Oscar",2,TRUE,FALSE,NA,NA
"13","‚Äú@___gms: ‚Äú@Oscar_Oreo: Hmmm http://t.co/CXoCF10XeI‚Äù she owns a Brazil jersey too lmao‚ÄùI'm doneÌ†ΩÌ∏©Ì†ΩÌ∏©Ì†ΩÌ∏©Ì†ΩÌ∏ÇÌ†ΩÌ∏Ç",FALSE,1,"___gms",2014-07-13 21:15:15,FALSE,"488430398628589569","488431484517515264","65425197","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_kalynescobarx3",0,FALSE,FALSE,NA,NA
"14","‚Äú@___gms: ‚Äú@Oscar_Oreo: Hmmm http://t.co/55YHQh6F7G‚Äù she owns a Brazil jersey too lmao‚Äù &amp;&amp; Shes a ref",FALSE,2,"___gms",2014-07-13 21:12:10,FALSE,"488430398628589569","488430710865530881","65425197","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ThaatMexicann",0,FALSE,FALSE,NA,NA
"15","RT @OSida5: If #Argentina wins the #World Cup I will give away an Official Autographed Oscar Sida jersey. Follow and RT to Enter.",FALSE,0,NA,2014-07-13 19:56:49,FALSE,NA,"488411746185404417",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","eyyitsfelix",5,TRUE,FALSE,NA,NA
"16","Saw a guy with an Oscar Robinson Jersey..... not a Bucks fan tho :((((",FALSE,1,NA,2014-07-13 19:48:47,FALSE,NA,"488409723729743873",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","M4GNITUDE",0,FALSE,FALSE,NA,NA
"17","@cute_yaadieplz I told them I wanted an oscar jersey but knowing them they'll get me probably neymar lmfaoo which is coollll",FALSE,0,"cute_yaadieplz",2014-07-13 19:42:42,FALSE,"488407367386546176","488408196432670721","1321247851","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Biebsharryx",0,FALSE,FALSE,NA,NA
"18","RT @worldsoccershop: CONTEST (1/5) 
If #GER beat #ARG we'll give away a Commemorative #Germany Final jersey. Follow &amp; RT to enter! #allin h‚Ä¶",FALSE,0,NA,2014-07-13 19:18:14,FALSE,NA,"488402038858846209",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_oscar_castillo",10677,TRUE,FALSE,NA,NA
"19","RT @worldsoccershop: CONTEST (2/5)
If #ARG beat #GER we'll give away a Commemorative #Argentina Final jersey. Follow &amp; RT to enter! #allin ‚Ä¶",FALSE,0,NA,2014-07-13 19:18:08,FALSE,NA,"488402013709824001",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_oscar_castillo",9355,TRUE,FALSE,NA,NA
"20","RT @OSida5: If #Argentina wins the #World Cup I will give away an Official Autographed Oscar Sida jersey. Follow and RT to Enter.",FALSE,0,NA,2014-07-13 19:01:34,FALSE,NA,"488397843904741376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JM_TheGreat",5,TRUE,FALSE,NA,NA
"21","RT @OSida5: If #Argentina wins the #World Cup I will give away an Official Autographed Oscar Sida jersey. Follow and RT to Enter.",FALSE,0,NA,2014-07-13 18:57:51,FALSE,NA,"488396907564498944",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jasminee333",5,TRUE,FALSE,NA,NA
"22","RT @OSida5: If #Argentina wins the #World Cup I will give away an Official Autographed Oscar Sida jersey. Follow and RT to Enter.",FALSE,0,NA,2014-07-13 18:54:39,FALSE,NA,"488396103742541824",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LevyValenzuela",5,TRUE,FALSE,NA,NA
