"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","So I was offered this fantastic job in Jersey, but it's just not something I'm passionate about and I'd love to... http://t.co/uGaHlQg7ji",FALSE,0,NA,2014-07-13 23:57:33,FALSE,NA,"488472331330002944",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","wingzfly",0,FALSE,FALSE,NA,NA
"2","@__lub still owes me a birthday present so James Rodriguez Colombia jersey pls. Ì†ΩÌ∏ä",FALSE,1,"__lub",2014-07-13 23:42:53,FALSE,NA,"488468639364829184","404577203","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","davidhantz",0,FALSE,FALSE,NA,NA
"3","Wow i wish my germany jersey wasnt small on me anymore im wastin ma paycheck on a rodriguez jersey but i wanna repÌ†ºÌ∑©Ì†ºÌ∑™:(",FALSE,0,NA,2014-07-13 23:39:28,FALSE,NA,"488467779196973057",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KingAksel",0,FALSE,FALSE,NA,NA
"4","I can't wait to see James Rodriguez in a R.Madrid jersey",FALSE,4,NA,2014-07-13 23:33:19,FALSE,NA,"488466230181756928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TheDesertRose_",0,FALSE,FALSE,NA,NA
"5","@Raini_Rodriguez :( housewives of New Jersey is on during A&amp;A tonight!!!!! Now I have to wait for tomorrow to watch the new episode!!! :(",FALSE,0,"Raini_Rodriguez",2014-07-13 23:20:02,FALSE,"488462476317425666","488462890492383233","116310869","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","R5pokkadots",0,FALSE,FALSE,NA,NA
"6","@realmadriden can't wait to see Rodriguez and Kross in a Madrid Jersey",FALSE,0,"realmadriden",2014-07-13 23:09:56,FALSE,"488459802092515328","488460348534837248","452155423","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","seiduadebayo",0,FALSE,FALSE,"3.50313513","6.60976872"
"7","RT @NubiKay: What are the odds? He's wearing an @adidas jersey too ---&gt; ""@adidasfootball: Golden Boot, James Rodr√≠guez. #allin http://t.co/‚Ä¶",FALSE,0,NA,2014-07-13 22:26:34,FALSE,NA,"488449434662236160",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","denimworld06",3,TRUE,FALSE,NA,NA
"8","RT @NubiKay: What are the odds? He's wearing an @adidas jersey too ---&gt; ""@adidasfootball: Golden Boot, James Rodr√≠guez. #allin http://t.co/‚Ä¶",FALSE,0,NA,2014-07-13 22:22:23,FALSE,NA,"488448380558139392",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","IamAyomiDotun",3,TRUE,FALSE,NA,NA
"9","RT @NubiKay: What are the odds? He's wearing an @adidas jersey too ---&gt; ""@adidasfootball: Golden Boot, James Rodr√≠guez. #allin http://t.co/‚Ä¶",FALSE,0,NA,2014-07-13 22:21:06,FALSE,NA,"488448057227227137",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","OgbuchiStanley",3,TRUE,FALSE,NA,NA
"10","What are the odds? He's wearing an @adidas jersey too ---&gt; ""@adidasfootball: Golden Boot, James Rodr√≠guez. #allin http://t.co/WJ2C75sFWq""",FALSE,0,"adidasfootball",2014-07-13 22:19:17,FALSE,"488443232947552258","488447599041871872","219683269","<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","NubiKay",3,FALSE,FALSE,"-6.18010333","53.28387333"
