"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Schweinsteiger wearing a Brazil jersey? http://t.co/n5804k6fN6",FALSE,0,NA,2014-07-13 23:55:19,FALSE,NA,"488471768160411648",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_Carte",0,FALSE,FALSE,NA,NA
"2","There's a German guy in Schweinsteiger jersey and a neck brace in the lobby of this hotel. Best or worst ever day for him?",FALSE,0,NA,2014-07-13 23:45:36,FALSE,NA,"488469320964800512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","porsche914yr74",0,FALSE,FALSE,NA,NA
"3","@KellyCoutinho_x you got his jersey already? Haha I'll get Schweinsteiger's as soon as they add the fourth star",FALSE,0,"KellyCoutinho_x",2014-07-13 23:43:55,FALSE,"488468204076142592","488468899944734720","442293269","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry¬Æ</a>","mnotthere",0,FALSE,FALSE,NA,NA
"4","I suppose I'll wear my Schweinsteiger jersey tomorrow",FALSE,0,NA,2014-07-13 23:43:22,FALSE,NA,"488468760185946112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MikePomo",0,FALSE,FALSE,NA,NA
"5","My Schweinsteiger jersey will forever be my lucky charm‚ù§‚ù§‚ù§ #NUMBER7 http://t.co/l8YUXcdgC0",FALSE,1,NA,2014-07-13 23:36:46,FALSE,NA,"488467098352373760",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Joelle_Sfeir",1,FALSE,FALSE,"35.6568687","33.9944801"
"6","RT @OctoberAeowyn: This Christmas, all I want is a new Schweinsteiger jersey. Red and black. Four stars.",FALSE,0,NA,2014-07-13 23:27:27,FALSE,NA,"488464755972386816",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EmilyOrosz",3,TRUE,FALSE,NA,NA
"7","This Christmas, all I want is a new Schweinsteiger jersey. Red and black. Four stars.",FALSE,6,NA,2014-07-13 23:26:26,FALSE,NA,"488464501033799680",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","OctoberAeowyn",3,FALSE,FALSE,NA,NA
"8","If I ever buy a Germany jersey best believe it will be Schweinsteiger. I love my nigga",FALSE,1,NA,2014-07-13 23:25:20,FALSE,NA,"488464222804660225",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","YooGirlNanis",0,FALSE,FALSE,NA,NA
"9","http://t.co/eLeDO8dmIe 2014 GERMANY HOME SCHWEINSTEIGER 7 FOOTBALL SOCCER KIDS JERSEY

2014 GERMANY HOME SCHWEI... http://t.co/5qZq61NkkH",FALSE,0,NA,2014-07-13 23:25:04,FALSE,NA,"488464156899545088",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","tatyana478",0,FALSE,FALSE,NA,NA
"10","I refused to wear my Germany Bastian Schweinsteiger jersey because they were drawn in the same group as USA But they won So it's ok by me Ì†ºÌ∑©Ì†ºÌ∑™",FALSE,1,NA,2014-07-13 23:23:36,FALSE,NA,"488463787016478720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BrianNestel",0,FALSE,FALSE,NA,NA
