"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","No doubt my next jersey is a Xherdan Shaqiri Bayern Munich...",FALSE,0,NA,2014-07-13 20:43:34,FALSE,NA,"488423512407678976",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MaceJagavern",0,FALSE,FALSE,"-78.75633311","42.7356509"
"2","I need a Shaqiri Jersey before I hit Kosov this summer #thatSwissCheeseNigga",FALSE,3,NA,2014-07-13 20:35:10,FALSE,NA,"488421399095431168",NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","MitchyRosay",0,FALSE,FALSE,NA,NA
"3","RT @GetFootballNews: Bayern Munich have ruled out the sale of Xherdan Shaqiri after the sporting director labelled him ""an important playerâ€¦",FALSE,0,NA,2014-07-14 15:25:23,FALSE,NA,"488705828774739968",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","The_Jersey_Fitz",44,TRUE,FALSE,NA,NA
"4","RT @GetFootballNews: Bayern Munich have ruled out the sale of Xherdan Shaqiri after the sporting director labelled him ""an important playerâ€¦",FALSE,0,NA,2014-07-14 15:25:23,FALSE,NA,"488705828774739968",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","The_Jersey_Fitz",44,TRUE,FALSE,NA,NA
"5","@pumafootball Why is it so hard to find a Shaqiri Swiss home jersey? I love the design, but I can't find any legit sites to buy it. @PUMA",FALSE,0,"pumafootball",2014-07-16 17:40:25,FALSE,NA,"489464583447252992","88944305","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BenEckold",0,FALSE,FALSE,NA,NA
"6","Can't decide if I should get a Henderson or Lallana jersey or if I should wait and see if we sign Shaqiri or Reus í ½í¸­",FALSE,0,NA,2014-07-17 17:26:21,FALSE,NA,"489823433765564416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AtFulwider",0,FALSE,FALSE,NA,NA
"7","Can't decide if I should get a Henderson or Lallana jersey or if I should wait and see if we sign Shaqiri or Reus í ½í¸­",FALSE,0,NA,2014-07-17 17:26:21,FALSE,NA,"489823433765564416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AtFulwider",0,FALSE,FALSE,NA,NA
"8","RT @PetritMusliu: If Juve sign Shaqiri: I'll  accept Allegri, I'll buy a jersey this season, I'll rate our mercato as good &amp; I'll visit Turâ€¦",FALSE,0,NA,2014-07-19 11:11:24,FALSE,NA,"490453848994353152",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aka_X",4,TRUE,FALSE,NA,NA
"9","RT @PetritMusliu: If Juve sign Shaqiri: I'll  accept Allegri, I'll buy a jersey this season, I'll rate our mercato as good &amp; I'll visit Turâ€¦",FALSE,0,NA,2014-07-19 10:03:23,FALSE,NA,"490436731100213248",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","elc0mmandante",4,TRUE,FALSE,NA,NA
"10","RT @PetritMusliu: If Juve sign Shaqiri: I'll  accept Allegri, I'll buy a jersey this season, I'll rate our mercato as good &amp; I'll visit Turâ€¦",FALSE,0,NA,2014-07-19 09:43:55,FALSE,NA,"490431833419841536",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KlevisZugu",4,TRUE,FALSE,NA,NA
"11","RT @PetritMusliu: If Juve sign Shaqiri: I'll  accept Allegri, I'll buy a jersey this season, I'll rate our mercato as good &amp; I'll visit Turâ€¦",FALSE,0,NA,2014-07-19 09:42:59,FALSE,NA,"490431597724696576",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","reJUVEnated1897",4,TRUE,FALSE,NA,NA
"12","If Juve sign Shaqiri: I'll  accept Allegri, I'll buy a jersey this season, I'll rate our mercato as good &amp; I'll visit Turin! #AlbanianEffect",FALSE,7,NA,2014-07-19 09:41:35,FALSE,NA,"490431244015243264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PetritMusliu",4,FALSE,FALSE,NA,NA
