position,player,fileSrc,nation,positionRank,overallRank,performance
Goalkeeper,Manuel NEUER,data/players/gk/NEUER.csv,Germany,1,17,9.33
Goalkeeper,Jasper CILLESSEN,data/players/gk/CILLESSEN.csv,Netherland,2,21,9.25
Goalkeeper,Sergio ROMERO,data/players/gk/ROMERO.csv,Argentina,3,24,9.19
Goalkeeper,Keylor NAVAS,data/players/gk/NAVAS.csv,Costa Rica,4,31,9.08
Goalkeeper,Thibaut COURTOIS,data/players/gk/COURTOIS.csv,Belgium,5,40,8.94
Goalkeeper,Hugo LLORIS,data/players/gk/LLORIS.csv,France,7,55,8.74
Goalkeeper,David OSPINA,data/players/gk/OSPINA.csv,Colombia,8,66,8.61
Goalkeeper,Vincent ENYEAMA,data/players/gk/ENYEAMA.csv,Nigeria,9,68,8.58
Goalkeeper,Guillermo OCHOA,data/players/gk/OCHOA.csv,Mexico,10,85,8.39
Defender,Stefan DE VRIJ,data/players/df/VRIJ.csv,Netherland,1,3,9.7
Defender,Mats HUMMELS,data/players/df/HUMMELS.csv,Germany,2,4,9.66
Defender,Thiago SILVA,data/players/df/SILVA.csv,Brazil,3,8,9.54
Defender,Marcos ROJO,data/players/df/ROJO.csv,Argentina,4,9,9.51
Defender,Ron VLAAR,data/players/df/VLAAR.csv,Netherland,5,10,9.48
Defender,Ezequiel GARAY,data/players/df/GARAY.csv,Argentina,6,12,9.44
Defender,DAVID LUIZ,data/players/df/LUIZ.csv,Brazil,7,13,9.41
Defender,Benedikt HOEWEDES,data/players/df/HOEWEDES.csv,Germany,8,20,9.27
Defender,Raphael VARANE,data/players/df/VARANE.csv,France,9,22,9.23
Defender,Jan VERTONGHEN,data/players/df/VERTONGHEN.csv,Belgium,10,26,9.16
Midfielder,Toni KROOS,data/players/mi/KROOS.csv,Germany,1,1,9.79
Midfielder,Philipp LAHM,data/players/mi/LAHM.csv,Germany,3,14,9.39
Midfielder,James RODRIGUEZ,data/players/mi/RODRIGUEZ.csv,Colombia,4,15,9.37
Midfielder,Mesut OEZIL,data/players/mi/OEZIL.csv,Germany,5,18,9.31
Midfielder,Wesley SNEIJDER,data/players/mi/SNEIJDER.csv,Netherland,6,19,9.29
Midfielder,Javier MASCHERANO,data/players/mi/MASCHERANO.csv,Argentina,7,23,9.21
Midfielder,Bastian SCHWEINSTEIGER,data/players/mi/SCHWEINSTEIGER.csv,Germany,8,25,9.18
Midfielder,Angel DI MARIA,data/players/mi/MARIA.csv,Argentina,10,34,9.03
Midfielder,Xherdan SHAQIRI ,data/players/mi/SHAQIRI.csv,Switzerland,11,39,8.96
Forward,Arjen ROBBEN,data/players/fp/ROBBEN.csv,Netherland,1,2,9.74
Forward,Thomas MUELLER,data/players/fp/MUELLER.csv,Germany,2,5,9.63
Forward,Karim BENZEMA,data/players/fp/BENZEMA.csv,France,3,6,9.6
Forward,Lionel MESSI,data/players/fp/MESSI.csv,Argentina,4,11,9.46
Forward,NEYMAR,data/players/fp/NEYMAR.csv,Brazil,5,16,9.35
Forward,Robin VAN PERSIE,data/players/fp/PERSIE.csv,Netherland,6,28,9.13
Forward,Gonzalo HIGUAIN,data/players/fp/HIGUAIN.csv,Argentina,7,35,9.01
Forward,Andre SCHUERRLE,data/players/fp/SCHUERRLE.csv,Germany,9,45,8.87
Forward,Bryan RUIZ,data/players/fp/RUIZ.csv,Costa Rica,10,49,8.82
Forward,Miroslav KLOSE,data/players/fp/KLOSE.csv,Germany,11,62,8.65
Forward,Mario GOETZE,data/players/fp/GOETZE.csv,Germany,12,64,8.63
Forward,Cristiano RONALDO,data/players/fp/RONALDO.csv,Portugal,27,128,7.96
