"","x"
"1","amazing"
"2","awesome"
"3","breathtaking"
"4","brilliant"
"5","ecstatic"
"6","euphoric"
"7","exuberant"
"8","fabulous"
"9","fantastic"
"10","fun"
"11","funnier"
"12","funny"
"13","godsend"
"14","heavenly"
"15","hurrah"
"16","lifesaver"
"17","lmao"
"18","lmfao"
"19","masterpiece"
"20","masterpieces"
"21","miracle"
"22","outstanding"
"23","overjoyed"
"24","rapturous"
"25","rejoice"
"26","rejoiced"
"27","rejoices"
"28","rejoicing"
"29","rofl"
"30","roflcopter"
"31","roflmao"
"32","rotfl"
"33","rotflmfao"
"34","rotflol"
"35","stunning"
"36","superb"
"37","terrific"
"38","thrilled"
"39","triumph"
"40","triumphant"
"41","win"
"42","winner"
"43","winning"
"44","wins"
"45","wonderful"
"46","wooo"
"47","woow"
"48","wow"
"49","wowow"
"50","wowww"
"51","want"
"52","cant wait"
"53","buy"
"54","bought"
"55","look forward"
