"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","‚Äú@WilliamWidzo: @edshirhan Neuer can you organize me e new jersey with 4stars , this side in South Africa its expensive bro‚Äù No can do boss",FALSE,1,"WilliamWidzo",2014-07-16 21:10:41,FALSE,"489516785998106625","489517501508620290","2617673789","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","edshirhan",0,FALSE,FALSE,NA,NA
"2","@edshirhan Neuer can you organize me e new jersey with 4stars , this side in South Africa its too expensive bro",FALSE,0,"edshirhan",2014-07-16 21:07:51,FALSE,"489515171010707456","489516785998106625","564939184","<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","WilliamWidzo",0,FALSE,FALSE,NA,NA
"3","I want a Bayern M√ºnchen jersey but idk if I want a robben neuer or m√ºller jersey",FALSE,0,NA,2014-07-16 20:14:09,FALSE,NA,"489503273934942208",NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","igotpLENNYmoney",0,FALSE,FALSE,NA,NA
"4","my family got me a Neuer jersey‚öΩÔ∏èÌ†ΩÌ∏≠",FALSE,3,NA,2014-07-16 18:08:32,FALSE,NA,"489471662275194880",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Taylor_Dawkins",0,FALSE,FALSE,"11.37053755","48.7966428"
"5","I need a manuel neuer jersey",FALSE,0,NA,2014-07-16 17:44:51,FALSE,NA,"489465700293959680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Joooooosseee",0,FALSE,FALSE,NA,NA
"6","OMG OMG I CANT BELIEVE I JUST WON A JERSEY SIGNED BY THE GERMANY NT OMG THANK YOU NEUER ILY &lt;333333 @edshirhan",FALSE,4,NA,2014-07-16 17:37:32,FALSE,NA,"489463857392676865",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LegendaryJustin",0,FALSE,FALSE,NA,NA
"7","http://t.co/iNBVw4PFWt Adias Neuer #1 Germany Home Jersey World Cup 2014 (Youth)

Adias Neuer #1 Germany Home J... http://t.co/fGkMqneI4l",FALSE,0,NA,2014-07-16 17:29:35,FALSE,NA,"489461857103519745",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","cristal4828",0,FALSE,FALSE,NA,NA
"8","*Manuel Neuer ""@mcchrischris: Once I get the money, I'm going to order a Mesut √ñzil Arsenal jersey.""",FALSE,0,NA,2014-07-16 16:49:13,FALSE,NA,"489451698847371264",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","El_BigDog",0,FALSE,FALSE,NA,NA
"9","Contemplating if I should get a Chile's jersey (Sanchez) or Germany's (Neuer). Hmmmmm",FALSE,0,NA,2014-07-16 10:08:51,FALSE,NA,"489350945986207744",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","drummydom",0,FALSE,FALSE,"103.85718299","1.29546803"
"10","Manuel Neuer: ADIDAS NEUER #1 BAYERN MUNICH HOME JERSEY 2012 YOUTH. (YXL): THIS ITEM IS FOR YOUTH. http://t.co/5REAOq5Xhg",FALSE,0,NA,2014-07-16 09:24:27,FALSE,NA,"489339769814810625",NA,"<a href=""http://amazon.com/?tag=i-us-20"" rel=""nofollow"">Info Us</a>","Info__Us",0,FALSE,FALSE,NA,NA
"11","I came SO CLOSE to finding a Neuer jersey but then I clicked and it said sold out siiiggggghhhh",FALSE,0,NA,2014-07-16 07:58:26,FALSE,NA,"489318124173656064",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sarahpiont",0,FALSE,FALSE,NA,NA
"12","Jersey baru kan?ciyeee‚ô•bintangnya udah 4 #Stern4 @Manuel_Neuer @MarioGoetze http://t.co/niD3T8dkCo",FALSE,0,NA,2014-07-16 06:21:40,FALSE,NA,"489293772853751808",NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for  Android</a>","NdySharma",0,FALSE,FALSE,NA,NA
